2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"ACT","318","Bean","0","ABSENT","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Count","372"
"ACT","318","Bean","0","ABSENT","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","21.500"
"ACT","318","Bean","0","ABSENT","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","318","Bean","0","ABSENT","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","318","Bean","0","ABSENT","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Count","362"
"ACT","318","Bean","0","ABSENT","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Percent","20.920"
"ACT","318","Bean","0","ABSENT","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Count","0"
"ACT","318","Bean","0","ABSENT","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Percent","0.000"
"ACT","318","Bean","0","ABSENT","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Count","322"
"ACT","318","Bean","0","ABSENT","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Percent","18.610"
"ACT","318","Bean","0","ABSENT","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Count","0"
"ACT","318","Bean","0","ABSENT","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","318","Bean","0","ABSENT","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","674"
"ACT","318","Bean","0","ABSENT","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","38.960"
"ACT","318","Bean","0","ABSENT","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","318","Bean","0","ABSENT","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","318","Bean","0","ABSENT","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Count","386"
"ACT","318","Bean","0","ABSENT","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","22.310"
"ACT","318","Bean","0","ABSENT","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","14"
"ACT","318","Bean","0","ABSENT","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","4.350"
"ACT","318","Bean","0","ABSENT","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Count","490"
"ACT","318","Bean","0","ABSENT","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Percent","28.320"
"ACT","318","Bean","0","ABSENT","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Count","128"
"ACT","318","Bean","0","ABSENT","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Percent","39.750"
"ACT","318","Bean","0","ABSENT","1","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Count","0"
"ACT","318","Bean","0","ABSENT","1","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Percent","0.000"
"ACT","318","Bean","0","ABSENT","1","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Count","-322"
"ACT","318","Bean","0","ABSENT","1","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Percent","-100.000"
"ACT","318","Bean","0","ABSENT","1","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","854"
"ACT","318","Bean","0","ABSENT","1","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","49.360"
"ACT","318","Bean","0","ABSENT","1","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","180"
"ACT","318","Bean","0","ABSENT","1","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","55.900"
"ACT","318","Bean","0","ABSENT","2","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Count","0"
"ACT","318","Bean","0","ABSENT","2","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","0.000"
"ACT","318","Bean","0","ABSENT","2","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","-386"
"ACT","318","Bean","0","ABSENT","2","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","-100.000"
"ACT","318","Bean","0","ABSENT","2","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Count","775"
"ACT","318","Bean","0","ABSENT","2","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Percent","44.800"
"ACT","318","Bean","0","ABSENT","2","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Count","285"
"ACT","318","Bean","0","ABSENT","2","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Percent","73.830"
"ACT","318","Bean","0","ABSENT","2","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Count","0"
"ACT","318","Bean","0","ABSENT","2","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Percent","0.000"
"ACT","318","Bean","0","ABSENT","2","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Count","0"
"ACT","318","Bean","0","ABSENT","2","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","318","Bean","0","ABSENT","2","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","955"
"ACT","318","Bean","0","ABSENT","2","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","55.200"
"ACT","318","Bean","0","ABSENT","2","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","101"
"ACT","318","Bean","0","ABSENT","2","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","26.170"
"ACT","318","Bean","0","POSTAL","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Count","2090"
"ACT","318","Bean","0","POSTAL","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","28.750"
"ACT","318","Bean","0","POSTAL","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","0"
"ACT","318","Bean","0","POSTAL","0","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","0.000"
"ACT","318","Bean","0","POSTAL","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Count","1627"
"ACT","318","Bean","0","POSTAL","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Percent","22.380"
"ACT","318","Bean","0","POSTAL","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Count","0"
"ACT","318","Bean","0","POSTAL","0","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Percent","0.000"
"ACT","318","Bean","0","POSTAL","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Count","623"
"ACT","318","Bean","0","POSTAL","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Percent","8.570"
"ACT","318","Bean","0","POSTAL","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Count","0"
"ACT","318","Bean","0","POSTAL","0","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Transfer Percent","0.000"
"ACT","318","Bean","0","POSTAL","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Count","2929"
"ACT","318","Bean","0","POSTAL","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Preference Percent","40.290"
"ACT","318","Bean","0","POSTAL","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Count","0"
"ACT","318","Bean","0","POSTAL","0","4","40676","SMITH","David Philip Benedict","ALP","Australian Labor Party (ACT Branch)","Y","Transfer Percent","0.000"
"ACT","318","Bean","0","POSTAL","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Count","2110"
"ACT","318","Bean","0","POSTAL","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Preference Percent","29.030"
"ACT","318","Bean","0","POSTAL","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Count","20"
"ACT","318","Bean","0","POSTAL","1","1","41076","LAMERTON","David Fletcher","LP","Liberal Party of Australia - ACT Division","N","Transfer Percent","3.210"
"ACT","318","Bean","0","POSTAL","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Count","1927"
"ACT","318","Bean","0","POSTAL","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Preference Percent","26.510"
"ACT","318","Bean","0","POSTAL","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Count","300"
"ACT","318","Bean","0","POSTAL","1","2","41682","PRICE","Jessie Ann","IND","Independent","N","Transfer Percent","48.150"
"ACT","318","Bean","0","POSTAL","1","3","41436","CARTER","Samuel","GRN","Australian Greens","N","Preference Count","0"
