2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","104","Barton","0","ABSENT","0","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Count","189"
"NSW","104","Barton","0","ABSENT","0","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Percent","4.750"
"NSW","104","Barton","0","ABSENT","0","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","0","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Count","255"
"NSW","104","Barton","0","ABSENT","0","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Percent","6.410"
"NSW","104","Barton","0","ABSENT","0","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","0","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1604"
"NSW","104","Barton","0","ABSENT","0","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","40.300"
"NSW","104","Barton","0","ABSENT","0","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","0","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Count","866"
"NSW","104","Barton","0","ABSENT","0","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","21.760"
"NSW","104","Barton","0","ABSENT","0","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","0","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Count","894"
"NSW","104","Barton","0","ABSENT","0","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Percent","22.460"
"NSW","104","Barton","0","ABSENT","0","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","0","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Count","172"
"NSW","104","Barton","0","ABSENT","0","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Percent","4.320"
"NSW","104","Barton","0","ABSENT","0","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","0","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","1","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Count","0"
"NSW","104","Barton","0","ABSENT","1","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","104","Barton","0","ABSENT","1","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Count","-189"
"NSW","104","Barton","0","ABSENT","1","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"NSW","104","Barton","0","ABSENT","1","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Count","355"
"NSW","104","Barton","0","ABSENT","1","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Percent","8.920"
"NSW","104","Barton","0","ABSENT","1","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Count","100"
"NSW","104","Barton","0","ABSENT","1","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Percent","52.910"
"NSW","104","Barton","0","ABSENT","1","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1635"
"NSW","104","Barton","0","ABSENT","1","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.080"
"NSW","104","Barton","0","ABSENT","1","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","31"
"NSW","104","Barton","0","ABSENT","1","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","16.400"
"NSW","104","Barton","0","ABSENT","1","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Count","899"
"NSW","104","Barton","0","ABSENT","1","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","22.590"
"NSW","104","Barton","0","ABSENT","1","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","33"
"NSW","104","Barton","0","ABSENT","1","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","17.460"
"NSW","104","Barton","0","ABSENT","1","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Count","904"
"NSW","104","Barton","0","ABSENT","1","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Percent","22.710"
"NSW","104","Barton","0","ABSENT","1","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Count","10"
"NSW","104","Barton","0","ABSENT","1","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Percent","5.290"
"NSW","104","Barton","0","ABSENT","1","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Count","187"
"NSW","104","Barton","0","ABSENT","1","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Percent","4.700"
"NSW","104","Barton","0","ABSENT","1","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Count","15"
"NSW","104","Barton","0","ABSENT","1","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Percent","7.940"
"NSW","104","Barton","0","ABSENT","2","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Count","0"
"NSW","104","Barton","0","ABSENT","2","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","104","Barton","0","ABSENT","2","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","2","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","2","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Count","441"
"NSW","104","Barton","0","ABSENT","2","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Percent","11.080"
"NSW","104","Barton","0","ABSENT","2","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Count","86"
"NSW","104","Barton","0","ABSENT","2","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Percent","45.990"
"NSW","104","Barton","0","ABSENT","2","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1662"
"NSW","104","Barton","0","ABSENT","2","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.760"
"NSW","104","Barton","0","ABSENT","2","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","27"
"NSW","104","Barton","0","ABSENT","2","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","14.440"
"NSW","104","Barton","0","ABSENT","2","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Count","934"
"NSW","104","Barton","0","ABSENT","2","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.470"
"NSW","104","Barton","0","ABSENT","2","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","35"
"NSW","104","Barton","0","ABSENT","2","4","41448","DOUSKOU","Fiona","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","18.720"
"NSW","104","Barton","0","ABSENT","2","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Count","943"
"NSW","104","Barton","0","ABSENT","2","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Preference Percent","23.690"
"NSW","104","Barton","0","ABSENT","2","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Count","39"
"NSW","104","Barton","0","ABSENT","2","5","41494","BAHSA","Manal Faten","GRN","The Greens NSW","N","Transfer Percent","20.860"
"NSW","104","Barton","0","ABSENT","2","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","104","Barton","0","ABSENT","2","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","104","Barton","0","ABSENT","2","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Count","-187"
"NSW","104","Barton","0","ABSENT","2","6","41768","PAMBRIS","Thomas","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","104","Barton","0","ABSENT","3","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Count","0"
"NSW","104","Barton","0","ABSENT","3","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","104","Barton","0","ABSENT","3","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","104","Barton","0","ABSENT","3","1","41874","KOLHATKAR","Vinay Prabhakar","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","104","Barton","0","ABSENT","3","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","104","Barton","0","ABSENT","3","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","104","Barton","0","ABSENT","3","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Count","-441"
"NSW","104","Barton","0","ABSENT","3","2","41862","NICOLIS","Christos","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"NSW","104","Barton","0","ABSENT","3","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1816"
"NSW","104","Barton","0","ABSENT","3","3","41339","AMBIHAIPAHAR","Ashvini","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","45.630"
