2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","105","Bennelong","0","ABSENT","0","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Count","959"
"NSW","105","Bennelong","0","ABSENT","0","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","29.750"
"NSW","105","Bennelong","0","ABSENT","0","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","40"
"NSW","105","Bennelong","0","ABSENT","0","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","1.240"
"NSW","105","Bennelong","0","ABSENT","0","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Count","86"
"NSW","105","Bennelong","0","ABSENT","0","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Percent","2.670"
"NSW","105","Bennelong","0","ABSENT","0","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1287"
"NSW","105","Bennelong","0","ABSENT","0","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","39.920"
"NSW","105","Bennelong","0","ABSENT","0","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Count","582"
"NSW","105","Bennelong","0","ABSENT","0","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Percent","18.050"
"NSW","105","Bennelong","0","ABSENT","0","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Count","70"
"NSW","105","Bennelong","0","ABSENT","0","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Percent","2.170"
"NSW","105","Bennelong","0","ABSENT","0","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Count","130"
"NSW","105","Bennelong","0","ABSENT","0","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Percent","4.030"
"NSW","105","Bennelong","0","ABSENT","0","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","0","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","70"
"NSW","105","Bennelong","0","ABSENT","0","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","2.170"
"NSW","105","Bennelong","0","ABSENT","0","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","0","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","1","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Count","967"
"NSW","105","Bennelong","0","ABSENT","1","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","29.990"
"NSW","105","Bennelong","0","ABSENT","1","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","8"
"NSW","105","Bennelong","0","ABSENT","1","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","20.000"
"NSW","105","Bennelong","0","ABSENT","1","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","0"
"NSW","105","Bennelong","0","ABSENT","1","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","1","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","-40"
"NSW","105","Bennelong","0","ABSENT","1","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","-100.000"
"NSW","105","Bennelong","0","ABSENT","1","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Count","95"
"NSW","105","Bennelong","0","ABSENT","1","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Percent","2.950"
"NSW","105","Bennelong","0","ABSENT","1","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Count","9"
"NSW","105","Bennelong","0","ABSENT","1","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Percent","22.500"
"NSW","105","Bennelong","0","ABSENT","1","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1290"
"NSW","105","Bennelong","0","ABSENT","1","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","40.010"
"NSW","105","Bennelong","0","ABSENT","1","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","3"
"NSW","105","Bennelong","0","ABSENT","1","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","7.500"
"NSW","105","Bennelong","0","ABSENT","1","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Count","584"
"NSW","105","Bennelong","0","ABSENT","1","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Percent","18.110"
"NSW","105","Bennelong","0","ABSENT","1","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Count","2"
"NSW","105","Bennelong","0","ABSENT","1","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Percent","5.000"
"NSW","105","Bennelong","0","ABSENT","1","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Count","79"
"NSW","105","Bennelong","0","ABSENT","1","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Percent","2.450"
"NSW","105","Bennelong","0","ABSENT","1","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Count","9"
"NSW","105","Bennelong","0","ABSENT","1","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Percent","22.500"
"NSW","105","Bennelong","0","ABSENT","1","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Count","134"
"NSW","105","Bennelong","0","ABSENT","1","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Percent","4.160"
"NSW","105","Bennelong","0","ABSENT","1","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Transfer Count","4"
"NSW","105","Bennelong","0","ABSENT","1","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Transfer Percent","10.000"
"NSW","105","Bennelong","0","ABSENT","1","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","75"
"NSW","105","Bennelong","0","ABSENT","1","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","2.330"
"NSW","105","Bennelong","0","ABSENT","1","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","5"
"NSW","105","Bennelong","0","ABSENT","1","8","41851","AUGUST","John Peter","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","12.500"
"NSW","105","Bennelong","0","ABSENT","2","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Count","988"
"NSW","105","Bennelong","0","ABSENT","2","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","30.650"
"NSW","105","Bennelong","0","ABSENT","2","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","21"
"NSW","105","Bennelong","0","ABSENT","2","1","41444","YUNG","Scott Shi Cheng","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","22.110"
"NSW","105","Bennelong","0","ABSENT","2","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Count","0"
"NSW","105","Bennelong","0","ABSENT","2","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Preference Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","2","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Count","0"
"NSW","105","Bennelong","0","ABSENT","2","2","41987","DEVINE","Barry Michael","IMO","Health Environment Accountability Rights Transparency (HEART)","N","Transfer Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","2","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","105","Bennelong","0","ABSENT","2","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","105","Bennelong","0","ABSENT","2","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Count","-95"
"NSW","105","Bennelong","0","ABSENT","2","3","41765","NALBANDIAN","Robert Shant","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","105","Bennelong","0","ABSENT","2","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1308"
"NSW","105","Bennelong","0","ABSENT","2","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","40.570"
"NSW","105","Bennelong","0","ABSENT","2","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","18"
"NSW","105","Bennelong","0","ABSENT","2","4","41329","LAXALE","Jerome Alexandre Alain","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","18.950"
"NSW","105","Bennelong","0","ABSENT","2","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Count","598"
"NSW","105","Bennelong","0","ABSENT","2","5","41504","HART","Adam David","GRN","The Greens NSW","N","Preference Percent","18.550"
"NSW","105","Bennelong","0","ABSENT","2","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Count","14"
"NSW","105","Bennelong","0","ABSENT","2","5","41504","HART","Adam David","GRN","The Greens NSW","N","Transfer Percent","14.740"
"NSW","105","Bennelong","0","ABSENT","2","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Count","91"
"NSW","105","Bennelong","0","ABSENT","2","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Preference Percent","2.820"
"NSW","105","Bennelong","0","ABSENT","2","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Count","12"
"NSW","105","Bennelong","0","ABSENT","2","6","41881","CHAN","Eric Yan-Hao","FFPA","Family First Party Australia","N","Transfer Percent","12.630"
"NSW","105","Bennelong","0","ABSENT","2","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Count","160"
"NSW","105","Bennelong","0","ABSENT","2","7","41869","BENNETT","Craig Raymond","ON","Pauline Hanson's One Nation","N","Preference Percent","4.960"
