2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","106","Berowra","0","ABSENT","0","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Preference Count","519"
"NSW","106","Berowra","0","ABSENT","0","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Preference Percent","16.450"
"NSW","106","Berowra","0","ABSENT","0","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Preference Count","182"
"NSW","106","Berowra","0","ABSENT","0","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Preference Percent","5.770"
"NSW","106","Berowra","0","ABSENT","0","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","916"
"NSW","106","Berowra","0","ABSENT","0","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","29.030"
"NSW","106","Berowra","0","ABSENT","0","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Preference Count","65"
"NSW","106","Berowra","0","ABSENT","0","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Preference Percent","2.060"
"NSW","106","Berowra","0","ABSENT","0","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","5","41855","CLARKE","Brendan Michael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","47"
"NSW","106","Berowra","0","ABSENT","0","5","41855","CLARKE","Brendan Michael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.490"
"NSW","106","Berowra","0","ABSENT","0","5","41855","CLARKE","Brendan Michael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","5","41855","CLARKE","Brendan Michael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","6","41991","BROWN","Tina","IND","Independent","N","Preference Count","191"
"NSW","106","Berowra","0","ABSENT","0","6","41991","BROWN","Tina","IND","Independent","N","Preference Percent","6.050"
"NSW","106","Berowra","0","ABSENT","0","6","41991","BROWN","Tina","IND","Independent","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","6","41991","BROWN","Tina","IND","Independent","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","7","41697","BASTIAN","Stephen John","CYA","Trumpet of Patriots","N","Preference Count","99"
"NSW","106","Berowra","0","ABSENT","0","7","41697","BASTIAN","Stephen John","CYA","Trumpet of Patriots","N","Preference Percent","3.140"
"NSW","106","Berowra","0","ABSENT","0","7","41697","BASTIAN","Stephen John","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","7","41697","BASTIAN","Stephen John","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","0","8","41442","LEESER","Julian Martin","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1136"
"NSW","106","Berowra","0","ABSENT","0","8","41442","LEESER","Julian Martin","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","36.010"
"NSW","106","Berowra","0","ABSENT","0","8","41442","LEESER","Julian Martin","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","106","Berowra","0","ABSENT","0","8","41442","LEESER","Julian Martin","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","106","Berowra","0","ABSENT","1","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Preference Count","529"
"NSW","106","Berowra","0","ABSENT","1","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Preference Percent","16.770"
"NSW","106","Berowra","0","ABSENT","1","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Transfer Count","10"
"NSW","106","Berowra","0","ABSENT","1","1","41506","COUSINS","Martin John","GRN","The Greens NSW","N","Transfer Percent","21.280"
"NSW","106","Berowra","0","ABSENT","1","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Preference Count","183"
"NSW","106","Berowra","0","ABSENT","1","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Preference Percent","5.800"
"NSW","106","Berowra","0","ABSENT","1","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Transfer Count","1"
"NSW","106","Berowra","0","ABSENT","1","2","41879","MATTINSON","Gerald Richard","ON","Pauline Hanson's One Nation","N","Transfer Percent","2.130"
"NSW","106","Berowra","0","ABSENT","1","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","920"
"NSW","106","Berowra","0","ABSENT","1","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","29.160"
"NSW","106","Berowra","0","ABSENT","1","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","4"
"NSW","106","Berowra","0","ABSENT","1","3","41338","KOSCHINSKI","Benson Rudolf","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","8.510"
"NSW","106","Berowra","0","ABSENT","1","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Preference Count","76"
"NSW","106","Berowra","0","ABSENT","1","4","27974","WOODWARD","Roger Charles","IND","Independent","N","Preference Percent","2.410"
