2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","112","Cook","0","ABSENT","0","1","41788","FULLER","Natalie Anne","FFPA","Family First Party Australia","N","Preference Count","169"
"NSW","112","Cook","0","ABSENT","0","1","41788","FULLER","Natalie Anne","FFPA","Family First Party Australia","N","Preference Percent","6.050"
"NSW","112","Cook","0","ABSENT","0","1","41788","FULLER","Natalie Anne","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","1","41788","FULLER","Natalie Anne","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","0","2","41452","KENNEDY","Simon Peter","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","981"
"NSW","112","Cook","0","ABSENT","0","2","41452","KENNEDY","Simon Peter","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","35.110"
"NSW","112","Cook","0","ABSENT","0","2","41452","KENNEDY","Simon Peter","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","2","41452","KENNEDY","Simon Peter","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","0","3","41766","HAMMOND","Sharon Ann","CYA","Trumpet of Patriots","N","Preference Count","132"
"NSW","112","Cook","0","ABSENT","0","3","41766","HAMMOND","Sharon Ann","CYA","Trumpet of Patriots","N","Preference Percent","4.720"
"NSW","112","Cook","0","ABSENT","0","3","41766","HAMMOND","Sharon Ann","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","3","41766","HAMMOND","Sharon Ann","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","0","4","41336","EARLE","Simon Roger","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","883"
"NSW","112","Cook","0","ABSENT","0","4","41336","EARLE","Simon Roger","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","31.600"
"NSW","112","Cook","0","ABSENT","0","4","41336","EARLE","Simon Roger","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","4","41336","EARLE","Simon Roger","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","0","5","41548","MOORE","Martin Ronald","GRN","The Greens NSW","N","Preference Count","442"
"NSW","112","Cook","0","ABSENT","0","5","41548","MOORE","Martin Ronald","GRN","The Greens NSW","N","Preference Percent","15.820"
"NSW","112","Cook","0","ABSENT","0","5","41548","MOORE","Martin Ronald","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","5","41548","MOORE","Martin Ronald","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","0","6","41913","PRESTON","Mark Lane","ON","Pauline Hanson's One Nation","N","Preference Count","187"
"NSW","112","Cook","0","ABSENT","0","6","41913","PRESTON","Mark Lane","ON","Pauline Hanson's One Nation","N","Preference Percent","6.690"
"NSW","112","Cook","0","ABSENT","0","6","41913","PRESTON","Mark Lane","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","112","Cook","0","ABSENT","0","6","41913","PRESTON","Mark Lane","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","112","Cook","0","ABSENT","1","1","41788","FULLER","Natalie Anne","FFPA","Family First Party Australia","N","Preference Count","194"
