2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","120","Gilmore","0","ABSENT","0","1","41365","PHILLIPS","Fiona Evon","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","699"
"NSW","120","Gilmore","0","ABSENT","0","1","41365","PHILLIPS","Fiona Evon","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","35.900"
"NSW","120","Gilmore","0","ABSENT","0","1","41365","PHILLIPS","Fiona Evon","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","120","Gilmore","0","ABSENT","0","1","41365","PHILLIPS","Fiona Evon","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","120","Gilmore","0","ABSENT","0","2","42070","DEZARNAULDS","Katherine Louise","IND","Independent","N","Preference Count","105"
"NSW","120","Gilmore","0","ABSENT","0","2","42070","DEZARNAULDS","Katherine Louise","IND","Independent","N","Preference Percent","5.390"
"NSW","120","Gilmore","0","ABSENT","0","2","42070","DEZARNAULDS","Katherine Louise","IND","Independent","N","Transfer Count","0"
"NSW","120","Gilmore","0","ABSENT","0","2","42070","DEZARNAULDS","Katherine Louise","IND","Independent","N","Transfer Percent","0.000"
"NSW","120","Gilmore","0","ABSENT","0","3","41710","WISE","Melissa","CYA","Trumpet of Patriots","N","Preference Count","52"
"NSW","120","Gilmore","0","ABSENT","0","3","41710","WISE","Melissa","CYA","Trumpet of Patriots","N","Preference Percent","2.670"
"NSW","120","Gilmore","0","ABSENT","0","3","41710","WISE","Melissa","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","120","Gilmore","0","ABSENT","0","3","41710","WISE","Melissa","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
