2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","121","Grayndler","0","ABSENT","0","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Count","175"
"NSW","121","Grayndler","0","ABSENT","0","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Percent","4.070"
"NSW","121","Grayndler","0","ABSENT","0","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","0","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Preference Count","576"
"NSW","121","Grayndler","0","ABSENT","0","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","13.400"
"NSW","121","Grayndler","0","ABSENT","0","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","0","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Preference Count","107"
"NSW","121","Grayndler","0","ABSENT","0","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Preference Percent","2.490"
"NSW","121","Grayndler","0","ABSENT","0","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","0","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Preference Count","1307"
"NSW","121","Grayndler","0","ABSENT","0","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Preference Percent","30.400"
"NSW","121","Grayndler","0","ABSENT","0","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","0","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1999"
"NSW","121","Grayndler","0","ABSENT","0","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","46.500"
"NSW","121","Grayndler","0","ABSENT","0","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","0","6","40978","BRADBURY","David","IND","Independent","N","Preference Count","135"
"NSW","121","Grayndler","0","ABSENT","0","6","40978","BRADBURY","David","IND","Independent","N","Preference Percent","3.140"
"NSW","121","Grayndler","0","ABSENT","0","6","40978","BRADBURY","David","IND","Independent","N","Transfer Count","0"
"NSW","121","Grayndler","0","ABSENT","0","6","40978","BRADBURY","David","IND","Independent","N","Transfer Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","1","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Count","224"
"NSW","121","Grayndler","0","ABSENT","1","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Percent","5.210"
"NSW","121","Grayndler","0","ABSENT","1","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Transfer Count","49"
"NSW","121","Grayndler","0","ABSENT","1","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Transfer Percent","45.790"
"NSW","121","Grayndler","0","ABSENT","1","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Preference Count","594"
"NSW","121","Grayndler","0","ABSENT","1","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","13.820"
"NSW","121","Grayndler","0","ABSENT","1","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","18"
"NSW","121","Grayndler","0","ABSENT","1","2","41472","SMALLBONE","David Andrew","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","16.820"
"NSW","121","Grayndler","0","ABSENT","1","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Preference Count","0"
"NSW","121","Grayndler","0","ABSENT","1","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"NSW","121","Grayndler","0","ABSENT","1","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Transfer Count","-107"
"NSW","121","Grayndler","0","ABSENT","1","3","41714","BURRELL","Cheri Rae","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"NSW","121","Grayndler","0","ABSENT","1","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Preference Count","1324"
"NSW","121","Grayndler","0","ABSENT","1","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Preference Percent","30.800"
"NSW","121","Grayndler","0","ABSENT","1","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Transfer Count","17"
"NSW","121","Grayndler","0","ABSENT","1","4","41565","THOMAS","Hannah Michelle","GRN","The Greens NSW","N","Transfer Percent","15.890"
"NSW","121","Grayndler","0","ABSENT","1","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","2014"
"NSW","121","Grayndler","0","ABSENT","1","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","46.850"
"NSW","121","Grayndler","0","ABSENT","1","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","15"
"NSW","121","Grayndler","0","ABSENT","1","5","41373","ALBANESE","Anthony Norman","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","14.020"
"NSW","121","Grayndler","0","ABSENT","1","6","40978","BRADBURY","David","IND","Independent","N","Preference Count","143"
"NSW","121","Grayndler","0","ABSENT","1","6","40978","BRADBURY","David","IND","Independent","N","Preference Percent","3.330"
"NSW","121","Grayndler","0","ABSENT","1","6","40978","BRADBURY","David","IND","Independent","N","Transfer Count","8"
"NSW","121","Grayndler","0","ABSENT","1","6","40978","BRADBURY","David","IND","Independent","N","Transfer Percent","7.480"
"NSW","121","Grayndler","0","ABSENT","2","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Count","250"
"NSW","121","Grayndler","0","ABSENT","2","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Preference Percent","5.820"
"NSW","121","Grayndler","0","ABSENT","2","1","41960","SMITH","Rodney Mcdonald","ON","Pauline Hanson's One Nation","N","Transfer Count","26"
