2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","125","Hume","0","ABSENT","0","1","41471","TAYLOR","Angus James","LP","Liberal Party of Australia, NSW Division","Y","Preference Count","1139"
"NSW","125","Hume","0","ABSENT","0","1","41471","TAYLOR","Angus James","LP","Liberal Party of Australia, NSW Division","Y","Preference Percent","37.470"
"NSW","125","Hume","0","ABSENT","0","1","41471","TAYLOR","Angus James","LP","Liberal Party of Australia, NSW Division","Y","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","1","41471","TAYLOR","Angus James","LP","Liberal Party of Australia, NSW Division","Y","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","2","41955","SEIDEL","Bryan David","FFPA","Family First Party Australia","N","Preference Count","132"
"NSW","125","Hume","0","ABSENT","0","2","41955","SEIDEL","Bryan David","FFPA","Family First Party Australia","N","Preference Percent","4.340"
"NSW","125","Hume","0","ABSENT","0","2","41955","SEIDEL","Bryan David","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","2","41955","SEIDEL","Bryan David","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","3","41868","REES","Adrian Thomas","LTP","Libertarian Party","N","Preference Count","71"
"NSW","125","Hume","0","ABSENT","0","3","41868","REES","Adrian Thomas","LTP","Libertarian Party","N","Preference Percent","2.340"
"NSW","125","Hume","0","ABSENT","0","3","41868","REES","Adrian Thomas","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","3","41868","REES","Adrian Thomas","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","4","41584","BRUCE","Stephen John","GRN","The Greens NSW","N","Preference Count","403"
"NSW","125","Hume","0","ABSENT","0","4","41584","BRUCE","Stephen John","GRN","The Greens NSW","N","Preference Percent","13.260"
"NSW","125","Hume","0","ABSENT","0","4","41584","BRUCE","Stephen John","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","4","41584","BRUCE","Stephen John","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","5","41966","DUCKER","Helen Nance","ON","Pauline Hanson's One Nation","N","Preference Count","281"
"NSW","125","Hume","0","ABSENT","0","5","41966","DUCKER","Helen Nance","ON","Pauline Hanson's One Nation","N","Preference Percent","9.240"
"NSW","125","Hume","0","ABSENT","0","5","41966","DUCKER","Helen Nance","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","5","41966","DUCKER","Helen Nance","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","6","41670","WOZNIAK","Troy Richard","CYA","Trumpet of Patriots","N","Preference Count","115"
"NSW","125","Hume","0","ABSENT","0","6","41670","WOZNIAK","Troy Richard","CYA","Trumpet of Patriots","N","Preference Percent","3.780"
"NSW","125","Hume","0","ABSENT","0","6","41670","WOZNIAK","Troy Richard","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","6","41670","WOZNIAK","Troy Richard","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","7","41405","HUANG","Thomas","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","784"
"NSW","125","Hume","0","ABSENT","0","7","41405","HUANG","Thomas","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","25.790"
"NSW","125","Hume","0","ABSENT","0","7","41405","HUANG","Thomas","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","125","Hume","0","ABSENT","0","7","41405","HUANG","Thomas","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","125","Hume","0","ABSENT","0","8","41183","McLEAN","Peter Adam","IND","Independent","N","Preference Count","115"
"NSW","125","Hume","0","ABSENT","0","8","41183","McLEAN","Peter Adam","IND","Independent","N","Preference Percent","3.780"
"NSW","125","Hume","0","ABSENT","0","8","41183","McLEAN","Peter Adam","IND","Independent","N","Transfer Count","0"
