2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","126","Hunter","0","ABSENT","0","1","41965","BONDS","Stuart Thomas","ON","Pauline Hanson's One Nation","N","Preference Count","505"
"NSW","126","Hunter","0","ABSENT","0","1","41965","BONDS","Stuart Thomas","ON","Pauline Hanson's One Nation","N","Preference Percent","16.860"
"NSW","126","Hunter","0","ABSENT","0","1","41965","BONDS","Stuart Thomas","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","1","41965","BONDS","Stuart Thomas","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","2","41944","GILROY","Suellen Clariss Jane","NP","National Party of Australia - N.S.W.","N","Preference Count","289"
"NSW","126","Hunter","0","ABSENT","0","2","41944","GILROY","Suellen Clariss Jane","NP","National Party of Australia - N.S.W.","N","Preference Percent","9.650"
"NSW","126","Hunter","0","ABSENT","0","2","41944","GILROY","Suellen Clariss Jane","NP","National Party of Australia - N.S.W.","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","2","41944","GILROY","Suellen Clariss Jane","NP","National Party of Australia - N.S.W.","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","3","41948","FENWICK","Andrew David","HMP","Legalise Cannabis Australia","N","Preference Count","353"
"NSW","126","Hunter","0","ABSENT","0","3","41948","FENWICK","Andrew David","HMP","Legalise Cannabis Australia","N","Preference Percent","11.790"
"NSW","126","Hunter","0","ABSENT","0","3","41948","FENWICK","Andrew David","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","3","41948","FENWICK","Andrew David","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","4","40876","DAVIES","Victoria Ellen","AJP","Animal Justice Party","N","Preference Count","77"
"NSW","126","Hunter","0","ABSENT","0","4","40876","DAVIES","Victoria Ellen","AJP","Animal Justice Party","N","Preference Percent","2.570"
"NSW","126","Hunter","0","ABSENT","0","4","40876","DAVIES","Victoria Ellen","AJP","Animal Justice Party","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","4","40876","DAVIES","Victoria Ellen","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","5","41796","FARRELLY","Paul James","FFPA","Family First Party Australia","N","Preference Count","126"
"NSW","126","Hunter","0","ABSENT","0","5","41796","FARRELLY","Paul James","FFPA","Family First Party Australia","N","Preference Percent","4.210"
"NSW","126","Hunter","0","ABSENT","0","5","41796","FARRELLY","Paul James","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","5","41796","FARRELLY","Paul James","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","6","41646","BODDAN","Kyle","ASP","Shooters, Fishers and Farmers Party","N","Preference Count","116"
"NSW","126","Hunter","0","ABSENT","0","6","41646","BODDAN","Kyle","ASP","Shooters, Fishers and Farmers Party","N","Preference Percent","3.870"
"NSW","126","Hunter","0","ABSENT","0","6","41646","BODDAN","Kyle","ASP","Shooters, Fishers and Farmers Party","N","Transfer Count","0"
"NSW","126","Hunter","0","ABSENT","0","6","41646","BODDAN","Kyle","ASP","Shooters, Fishers and Farmers Party","N","Transfer Percent","0.000"
"NSW","126","Hunter","0","ABSENT","0","7","41778","WRIGHTSON","Suellen","CYA","Trumpet of Patriots","N","Preference Count","125"
"NSW","126","Hunter","0","ABSENT","0","7","41778","WRIGHTSON","Suellen","CYA","Trumpet of Patriots","N","Preference Percent","4.170"
