2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","127","Kingsford Smith","0","ABSENT","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","260"
"NSW","127","Kingsford Smith","0","ABSENT","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","8.330"
"NSW","127","Kingsford Smith","0","ABSENT","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1304"
"NSW","127","Kingsford Smith","0","ABSENT","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.780"
"NSW","127","Kingsford Smith","0","ABSENT","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","0","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Count","744"
"NSW","127","Kingsford Smith","0","ABSENT","0","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.840"
"NSW","127","Kingsford Smith","0","ABSENT","0","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","0","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","0","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Count","185"
"NSW","127","Kingsford Smith","0","ABSENT","0","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Percent","5.930"
"NSW","127","Kingsford Smith","0","ABSENT","0","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","0","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","0","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Count","628"
"NSW","127","Kingsford Smith","0","ABSENT","0","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Percent","20.120"
"NSW","127","Kingsford Smith","0","ABSENT","0","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","0","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","1","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","291"
"NSW","127","Kingsford Smith","0","ABSENT","1","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","9.320"
"NSW","127","Kingsford Smith","0","ABSENT","1","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","31"
"NSW","127","Kingsford Smith","0","ABSENT","1","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.760"
"NSW","127","Kingsford Smith","0","ABSENT","1","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1344"
"NSW","127","Kingsford Smith","0","ABSENT","1","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","43.060"
"NSW","127","Kingsford Smith","0","ABSENT","1","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","40"
"NSW","127","Kingsford Smith","0","ABSENT","1","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","21.620"
"NSW","127","Kingsford Smith","0","ABSENT","1","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Count","790"
"NSW","127","Kingsford Smith","0","ABSENT","1","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.310"
"NSW","127","Kingsford Smith","0","ABSENT","1","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","46"
"NSW","127","Kingsford Smith","0","ABSENT","1","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","24.860"
"NSW","127","Kingsford Smith","0","ABSENT","1","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","1","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","1","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Count","-185"
"NSW","127","Kingsford Smith","0","ABSENT","1","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Percent","-100.000"
"NSW","127","Kingsford Smith","0","ABSENT","1","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Count","696"
"NSW","127","Kingsford Smith","0","ABSENT","1","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Percent","22.300"
"NSW","127","Kingsford Smith","0","ABSENT","1","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Count","68"
"NSW","127","Kingsford Smith","0","ABSENT","1","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Percent","36.760"
"NSW","127","Kingsford Smith","0","ABSENT","2","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","2","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","2","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","-291"
"NSW","127","Kingsford Smith","0","ABSENT","2","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"NSW","127","Kingsford Smith","0","ABSENT","2","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1426"
"NSW","127","Kingsford Smith","0","ABSENT","2","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","45.690"
"NSW","127","Kingsford Smith","0","ABSENT","2","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","82"
"NSW","127","Kingsford Smith","0","ABSENT","2","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","28.180"
"NSW","127","Kingsford Smith","0","ABSENT","2","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Count","954"
"NSW","127","Kingsford Smith","0","ABSENT","2","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","30.570"
"NSW","127","Kingsford Smith","0","ABSENT","2","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","164"
"NSW","127","Kingsford Smith","0","ABSENT","2","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","56.360"
"NSW","127","Kingsford Smith","0","ABSENT","2","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","2","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","2","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","2","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","2","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Count","741"
"NSW","127","Kingsford Smith","0","ABSENT","2","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Percent","23.740"
"NSW","127","Kingsford Smith","0","ABSENT","2","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Count","45"
"NSW","127","Kingsford Smith","0","ABSENT","2","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Percent","15.460"
"NSW","127","Kingsford Smith","0","ABSENT","3","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","3","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","3","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","3","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","3","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","2055"
"NSW","127","Kingsford Smith","0","ABSENT","3","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","65.840"
"NSW","127","Kingsford Smith","0","ABSENT","3","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","629"
"NSW","127","Kingsford Smith","0","ABSENT","3","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","84.890"
"NSW","127","Kingsford Smith","0","ABSENT","3","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1066"
"NSW","127","Kingsford Smith","0","ABSENT","3","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","34.160"
"NSW","127","Kingsford Smith","0","ABSENT","3","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","112"
"NSW","127","Kingsford Smith","0","ABSENT","3","3","41477","COLE","Bradley David","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","15.110"
"NSW","127","Kingsford Smith","0","ABSENT","3","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","3","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","3","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","3","4","41978","PARKER","Elsa Rose Binti","IND","Independent","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","3","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Count","0"
"NSW","127","Kingsford Smith","0","ABSENT","3","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Preference Percent","0.000"
"NSW","127","Kingsford Smith","0","ABSENT","3","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Count","-741"
"NSW","127","Kingsford Smith","0","ABSENT","3","5","41587","BROWN","Keiron Shayne","GRN","The Greens NSW","N","Transfer Percent","-100.000"
"NSW","127","Kingsford Smith","0","POSTAL","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","552"
"NSW","127","Kingsford Smith","0","POSTAL","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","5.720"
"NSW","127","Kingsford Smith","0","POSTAL","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","127","Kingsford Smith","0","POSTAL","0","1","42027","JELIC","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","127","Kingsford Smith","0","POSTAL","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","4762"
"NSW","127","Kingsford Smith","0","POSTAL","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","49.340"
"NSW","127","Kingsford Smith","0","POSTAL","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","127","Kingsford Smith","0","POSTAL","0","2","41386","THISTLETHWAITE","Matthew James","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
