2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","131","Macarthur","0","ABSENT","0","1","41482","SCOTT","Frankie Louise","GRN","The Greens NSW","N","Preference Count","626"
"NSW","131","Macarthur","0","ABSENT","0","1","41482","SCOTT","Frankie Louise","GRN","The Greens NSW","N","Preference Percent","19.030"
"NSW","131","Macarthur","0","ABSENT","0","1","41482","SCOTT","Frankie Louise","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","1","41482","SCOTT","Frankie Louise","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","131","Macarthur","0","ABSENT","0","2","41864","PALMER","Edward John","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","75"
"NSW","131","Macarthur","0","ABSENT","0","2","41864","PALMER","Edward John","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","2.280"
"NSW","131","Macarthur","0","ABSENT","0","2","41864","PALMER","Edward John","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","2","41864","PALMER","Edward John","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"NSW","131","Macarthur","0","ABSENT","0","3","41396","FREELANDER","Michael Randolph","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1311"
"NSW","131","Macarthur","0","ABSENT","0","3","41396","FREELANDER","Michael Randolph","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","39.860"
"NSW","131","Macarthur","0","ABSENT","0","3","41396","FREELANDER","Michael Randolph","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","3","41396","FREELANDER","Michael Randolph","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","131","Macarthur","0","ABSENT","0","4","41747","HARVEY","Connie","LTP","Libertarian Party","N","Preference Count","68"
"NSW","131","Macarthur","0","ABSENT","0","4","41747","HARVEY","Connie","LTP","Libertarian Party","N","Preference Percent","2.070"
"NSW","131","Macarthur","0","ABSENT","0","4","41747","HARVEY","Connie","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","4","41747","HARVEY","Connie","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","131","Macarthur","0","ABSENT","0","5","41875","GROGAN","Gregory Bernard","ON","Pauline Hanson's One Nation","N","Preference Count","306"
"NSW","131","Macarthur","0","ABSENT","0","5","41875","GROGAN","Gregory Bernard","ON","Pauline Hanson's One Nation","N","Preference Percent","9.300"
"NSW","131","Macarthur","0","ABSENT","0","5","41875","GROGAN","Gregory Bernard","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","5","41875","GROGAN","Gregory Bernard","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","131","Macarthur","0","ABSENT","0","6","41476","PAUDEL","Binod","LP","Liberal Party of Australia, NSW Division","N","Preference Count","704"
"NSW","131","Macarthur","0","ABSENT","0","6","41476","PAUDEL","Binod","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","21.400"
"NSW","131","Macarthur","0","ABSENT","0","6","41476","PAUDEL","Binod","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","131","Macarthur","0","ABSENT","0","6","41476","PAUDEL","Binod","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
