2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","315","McMahon","0","ABSENT","0","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Count","512"
"NSW","315","McMahon","0","ABSENT","0","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Percent","12.210"
"NSW","315","McMahon","0","ABSENT","0","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","315","McMahon","0","ABSENT","0","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","315","McMahon","0","ABSENT","0","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Preference Count","976"
"NSW","315","McMahon","0","ABSENT","0","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","23.280"
"NSW","315","McMahon","0","ABSENT","0","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","315","McMahon","0","ABSENT","0","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","315","McMahon","0","ABSENT","0","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1740"
"NSW","315","McMahon","0","ABSENT","0","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","41.510"
"NSW","315","McMahon","0","ABSENT","0","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","315","McMahon","0","ABSENT","0","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","315","McMahon","0","ABSENT","0","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Preference Count","333"
"NSW","315","McMahon","0","ABSENT","0","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Preference Percent","7.940"
"NSW","315","McMahon","0","ABSENT","0","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Transfer Count","0"
"NSW","315","McMahon","0","ABSENT","0","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Transfer Percent","0.000"
"NSW","315","McMahon","0","ABSENT","0","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Preference Count","631"
"NSW","315","McMahon","0","ABSENT","0","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Preference Percent","15.050"
"NSW","315","McMahon","0","ABSENT","0","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","315","McMahon","0","ABSENT","0","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","315","McMahon","0","ABSENT","1","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","315","McMahon","0","ABSENT","1","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"NSW","315","McMahon","0","ABSENT","1","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Transfer Count","-512"
"NSW","315","McMahon","0","ABSENT","1","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"NSW","315","McMahon","0","ABSENT","1","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Preference Count","1190"
"NSW","315","McMahon","0","ABSENT","1","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","28.390"
"NSW","315","McMahon","0","ABSENT","1","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","214"
"NSW","315","McMahon","0","ABSENT","1","2","41484","LAZAR","Carmen","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","41.800"
"NSW","315","McMahon","0","ABSENT","1","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1838"
"NSW","315","McMahon","0","ABSENT","1","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","43.850"
"NSW","315","McMahon","0","ABSENT","1","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","98"
"NSW","315","McMahon","0","ABSENT","1","3","41416","BOWEN","Christopher Eyles Guy","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","19.140"
"NSW","315","McMahon","0","ABSENT","1","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Preference Count","481"
"NSW","315","McMahon","0","ABSENT","1","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Preference Percent","11.470"
"NSW","315","McMahon","0","ABSENT","1","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Transfer Count","148"
"NSW","315","McMahon","0","ABSENT","1","4","42062","CAMENZULI","Matthew Louis","IND","Independent","N","Transfer Percent","28.910"
"NSW","315","McMahon","0","ABSENT","1","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Preference Count","683"
"NSW","315","McMahon","0","ABSENT","1","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Preference Percent","16.290"
"NSW","315","McMahon","0","ABSENT","1","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Transfer Count","52"
"NSW","315","McMahon","0","ABSENT","1","5","41608","HAMMOND","Ben","GRN","The Greens NSW","N","Transfer Percent","10.160"
"NSW","315","McMahon","0","ABSENT","2","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"NSW","315","McMahon","0","ABSENT","2","1","41884","JANICSKA","Melissa Lee","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
