2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","135","New England","0","ABSENT","0","1","41945","JOYCE","Barnaby Thomas","NP","National Party of Australia - N.S.W.","Y","Preference Count","795"
"NSW","135","New England","0","ABSENT","0","1","41945","JOYCE","Barnaby Thomas","NP","National Party of Australia - N.S.W.","Y","Preference Percent","38.890"
"NSW","135","New England","0","ABSENT","0","1","41945","JOYCE","Barnaby Thomas","NP","National Party of Australia - N.S.W.","Y","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","1","41945","JOYCE","Barnaby Thomas","NP","National Party of Australia - N.S.W.","Y","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","2","41622","WALES","Wendy Gay","GRN","The Greens NSW","N","Preference Count","291"
"NSW","135","New England","0","ABSENT","0","2","41622","WALES","Wendy Gay","GRN","The Greens NSW","N","Preference Percent","14.240"
"NSW","135","New England","0","ABSENT","0","2","41622","WALES","Wendy Gay","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","2","41622","WALES","Wendy Gay","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","3","33409","LEDGER","Natasha","IND","Independent","N","Preference Count","93"
"NSW","135","New England","0","ABSENT","0","3","33409","LEDGER","Natasha","IND","Independent","N","Preference Percent","4.550"
"NSW","135","New England","0","ABSENT","0","3","33409","LEDGER","Natasha","IND","Independent","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","3","33409","LEDGER","Natasha","IND","Independent","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","4","41423","HUGHES","Laura Jean","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","429"
"NSW","135","New England","0","ABSENT","0","4","41423","HUGHES","Laura Jean","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","20.990"
"NSW","135","New England","0","ABSENT","0","4","41423","HUGHES","Laura Jean","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","4","41423","HUGHES","Laura Jean","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","5","41805","MASTERS","Holly","FFPA","Family First Party Australia","N","Preference Count","99"
"NSW","135","New England","0","ABSENT","0","5","41805","MASTERS","Holly","FFPA","Family First Party Australia","N","Preference Percent","4.840"
"NSW","135","New England","0","ABSENT","0","5","41805","MASTERS","Holly","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","5","41805","MASTERS","Holly","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","6","41681","JUCHAU","Todd Charles","CYA","Trumpet of Patriots","N","Preference Count","84"
"NSW","135","New England","0","ABSENT","0","6","41681","JUCHAU","Todd Charles","CYA","Trumpet of Patriots","N","Preference Percent","4.110"
"NSW","135","New England","0","ABSENT","0","6","41681","JUCHAU","Todd Charles","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","6","41681","JUCHAU","Todd Charles","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","0","7","41894","LARKHAM","Brent William","ON","Pauline Hanson's One Nation","N","Preference Count","253"
"NSW","135","New England","0","ABSENT","0","7","41894","LARKHAM","Brent William","ON","Pauline Hanson's One Nation","N","Preference Percent","12.380"
"NSW","135","New England","0","ABSENT","0","7","41894","LARKHAM","Brent William","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","135","New England","0","ABSENT","0","7","41894","LARKHAM","Brent William","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","135","New England","0","ABSENT","1","1","41945","JOYCE","Barnaby Thomas","NP","National Party of Australia - N.S.W.","Y","Preference Count","809"
