2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","145","Richmond","0","ABSENT","0","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Count","538"
"NSW","145","Richmond","0","ABSENT","0","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Percent","31.760"
"NSW","145","Richmond","0","ABSENT","0","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","458"
"NSW","145","Richmond","0","ABSENT","0","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","27.040"
"NSW","145","Richmond","0","ABSENT","0","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Count","36"
"NSW","145","Richmond","0","ABSENT","0","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Percent","2.130"
"NSW","145","Richmond","0","ABSENT","0","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Count","105"
"NSW","145","Richmond","0","ABSENT","0","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Percent","6.200"
"NSW","145","Richmond","0","ABSENT","0","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Count","135"
"NSW","145","Richmond","0","ABSENT","0","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Percent","7.970"
"NSW","145","Richmond","0","ABSENT","0","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Preference Count","63"
"NSW","145","Richmond","0","ABSENT","0","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Preference Percent","3.720"
"NSW","145","Richmond","0","ABSENT","0","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Preference Count","207"
"NSW","145","Richmond","0","ABSENT","0","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Preference Percent","12.220"
"NSW","145","Richmond","0","ABSENT","0","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Preference Count","54"
"NSW","145","Richmond","0","ABSENT","0","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Preference Percent","3.190"
"NSW","145","Richmond","0","ABSENT","0","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","9","41986","McKENZIE","James Ian","IND","Independent","N","Preference Count","25"
"NSW","145","Richmond","0","ABSENT","0","9","41986","McKENZIE","James Ian","IND","Independent","N","Preference Percent","1.480"
"NSW","145","Richmond","0","ABSENT","0","9","41986","McKENZIE","James Ian","IND","Independent","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","9","41986","McKENZIE","James Ian","IND","Independent","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","0","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Preference Count","73"
"NSW","145","Richmond","0","ABSENT","0","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Preference Percent","4.310"
"NSW","145","Richmond","0","ABSENT","0","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","0","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","1","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Count","540"
"NSW","145","Richmond","0","ABSENT","1","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Percent","31.880"
"NSW","145","Richmond","0","ABSENT","1","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Count","2"
"NSW","145","Richmond","0","ABSENT","1","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Percent","8.000"
"NSW","145","Richmond","0","ABSENT","1","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","461"
"NSW","145","Richmond","0","ABSENT","1","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","27.210"
"NSW","145","Richmond","0","ABSENT","1","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","3"
"NSW","145","Richmond","0","ABSENT","1","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","12.000"
"NSW","145","Richmond","0","ABSENT","1","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Count","50"
"NSW","145","Richmond","0","ABSENT","1","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Percent","2.950"
"NSW","145","Richmond","0","ABSENT","1","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Count","14"
"NSW","145","Richmond","0","ABSENT","1","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Percent","56.000"
"NSW","145","Richmond","0","ABSENT","1","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Count","105"
"NSW","145","Richmond","0","ABSENT","1","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Percent","6.200"
"NSW","145","Richmond","0","ABSENT","1","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","1","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","1","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Count","136"
"NSW","145","Richmond","0","ABSENT","1","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Percent","8.030"
"NSW","145","Richmond","0","ABSENT","1","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Transfer Count","1"
"NSW","145","Richmond","0","ABSENT","1","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Transfer Percent","4.000"
"NSW","145","Richmond","0","ABSENT","1","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Preference Count","65"
"NSW","145","Richmond","0","ABSENT","1","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Preference Percent","3.840"
"NSW","145","Richmond","0","ABSENT","1","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Transfer Count","2"
"NSW","145","Richmond","0","ABSENT","1","6","41700","PETERKIN","Phillip Byron","CYA","Trumpet of Patriots","N","Transfer Percent","8.000"
"NSW","145","Richmond","0","ABSENT","1","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Preference Count","208"
"NSW","145","Richmond","0","ABSENT","1","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Preference Percent","12.280"
"NSW","145","Richmond","0","ABSENT","1","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Transfer Count","1"
"NSW","145","Richmond","0","ABSENT","1","7","41958","HONE","Kimberly Jane","NP","National Party of Australia - N.S.W.","N","Transfer Percent","4.000"
"NSW","145","Richmond","0","ABSENT","1","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Preference Count","54"
"NSW","145","Richmond","0","ABSENT","1","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Preference Percent","3.190"
"NSW","145","Richmond","0","ABSENT","1","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","145","Richmond","0","ABSENT","1","8","41674","WILLIS","Ian Cherry","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","145","Richmond","0","ABSENT","1","9","41986","McKENZIE","James Ian","IND","Independent","N","Preference Count","0"
"NSW","145","Richmond","0","ABSENT","1","9","41986","McKENZIE","James Ian","IND","Independent","N","Preference Percent","0.000"
"NSW","145","Richmond","0","ABSENT","1","9","41986","McKENZIE","James Ian","IND","Independent","N","Transfer Count","-25"
"NSW","145","Richmond","0","ABSENT","1","9","41986","McKENZIE","James Ian","IND","Independent","N","Transfer Percent","-100.000"
"NSW","145","Richmond","0","ABSENT","1","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Preference Count","75"
"NSW","145","Richmond","0","ABSENT","1","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Preference Percent","4.430"
"NSW","145","Richmond","0","ABSENT","1","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Transfer Count","2"
"NSW","145","Richmond","0","ABSENT","1","10","42073","CURTIN","Richard","GRPF","Gerard Rennick People First","N","Transfer Percent","8.000"
"NSW","145","Richmond","0","ABSENT","2","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Count","548"
"NSW","145","Richmond","0","ABSENT","2","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Preference Percent","32.350"
"NSW","145","Richmond","0","ABSENT","2","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Count","8"
"NSW","145","Richmond","0","ABSENT","2","1","41348","NOLAN","Amanda Jane","GRN","The Greens NSW","N","Transfer Percent","14.810"
"NSW","145","Richmond","0","ABSENT","2","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","466"
"NSW","145","Richmond","0","ABSENT","2","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","27.510"
"NSW","145","Richmond","0","ABSENT","2","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","5"
"NSW","145","Richmond","0","ABSENT","2","2","41432","ELLIOT","Maria Justine","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","9.260"
"NSW","145","Richmond","0","ABSENT","2","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Count","54"
"NSW","145","Richmond","0","ABSENT","2","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Preference Percent","3.190"
"NSW","145","Richmond","0","ABSENT","2","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Count","4"
"NSW","145","Richmond","0","ABSENT","2","3","41972","LOUGHREY","Kevin Andrew","IND","Independent","N","Transfer Percent","7.410"
"NSW","145","Richmond","0","ABSENT","2","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Count","114"
"NSW","145","Richmond","0","ABSENT","2","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Preference Percent","6.730"
"NSW","145","Richmond","0","ABSENT","2","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Count","9"
"NSW","145","Richmond","0","ABSENT","2","4","41907","MYE","Ian Clive","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.670"
"NSW","145","Richmond","0","ABSENT","2","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Count","143"
"NSW","145","Richmond","0","ABSENT","2","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Preference Percent","8.440"
"NSW","145","Richmond","0","ABSENT","2","5","42068","McMAHON","Vivian Leon","HMP","Legalise Cannabis Australia","N","Transfer Count","7"
