2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","148","Shortland","0","ABSENT","0","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Preference Count","117"
"NSW","148","Shortland","0","ABSENT","0","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Preference Percent","3.500"
"NSW","148","Shortland","0","ABSENT","0","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Preference Count","199"
"NSW","148","Shortland","0","ABSENT","0","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Preference Percent","5.950"
"NSW","148","Shortland","0","ABSENT","0","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1240"
"NSW","148","Shortland","0","ABSENT","0","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","37.060"
"NSW","148","Shortland","0","ABSENT","0","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Preference Count","385"
"NSW","148","Shortland","0","ABSENT","0","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Preference Percent","11.510"
"NSW","148","Shortland","0","ABSENT","0","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Preference Count","121"
"NSW","148","Shortland","0","ABSENT","0","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Preference Percent","3.620"
"NSW","148","Shortland","0","ABSENT","0","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","6","41545","KING","Emma Jane","LP","Liberal Party of Australia, NSW Division","N","Preference Count","598"
"NSW","148","Shortland","0","ABSENT","0","6","41545","KING","Emma Jane","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","17.870"
"NSW","148","Shortland","0","ABSENT","0","6","41545","KING","Emma Jane","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","6","41545","KING","Emma Jane","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","0","7","41632","DOYLE","Therese","GRN","The Greens NSW","N","Preference Count","686"
"NSW","148","Shortland","0","ABSENT","0","7","41632","DOYLE","Therese","GRN","The Greens NSW","N","Preference Percent","20.500"
"NSW","148","Shortland","0","ABSENT","0","7","41632","DOYLE","Therese","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","148","Shortland","0","ABSENT","0","7","41632","DOYLE","Therese","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","148","Shortland","0","ABSENT","1","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Preference Count","0"
"NSW","148","Shortland","0","ABSENT","1","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Preference Percent","0.000"
"NSW","148","Shortland","0","ABSENT","1","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Transfer Count","-117"
"NSW","148","Shortland","0","ABSENT","1","1","41861","ROBERTSON","Geoffrey Mark","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"NSW","148","Shortland","0","ABSENT","1","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Preference Count","246"
"NSW","148","Shortland","0","ABSENT","1","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Preference Percent","7.350"
"NSW","148","Shortland","0","ABSENT","1","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Transfer Count","47"
"NSW","148","Shortland","0","ABSENT","1","2","40672","PHEILS","James Michael Campbell","IND","Independent","N","Transfer Percent","40.170"
"NSW","148","Shortland","0","ABSENT","1","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1261"
"NSW","148","Shortland","0","ABSENT","1","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","37.690"
"NSW","148","Shortland","0","ABSENT","1","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","21"
"NSW","148","Shortland","0","ABSENT","1","3","41347","CONROY","Patrick Martin","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","17.950"
"NSW","148","Shortland","0","ABSENT","1","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Preference Count","403"
"NSW","148","Shortland","0","ABSENT","1","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Preference Percent","12.040"
"NSW","148","Shortland","0","ABSENT","1","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Transfer Count","18"
"NSW","148","Shortland","0","ABSENT","1","4","41908","REED","Barry Edwin","ON","Pauline Hanson's One Nation","N","Transfer Percent","15.380"
"NSW","148","Shortland","0","ABSENT","1","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Preference Count","133"
"NSW","148","Shortland","0","ABSENT","1","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Preference Percent","3.970"
"NSW","148","Shortland","0","ABSENT","1","5","41825","DI GIROLAMO","Pietro","FFPA","Family First Party Australia","N","Transfer Count","12"
