2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","251","Watson","0","ABSENT","0","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1609"
"NSW","251","Watson","0","ABSENT","0","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.050"
"NSW","251","Watson","0","ABSENT","0","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Count","149"
"NSW","251","Watson","0","ABSENT","0","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Percent","3.890"
"NSW","251","Watson","0","ABSENT","0","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Count","376"
"NSW","251","Watson","0","ABSENT","0","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Percent","9.830"
"NSW","251","Watson","0","ABSENT","0","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","4","41976","KHAN","Zain Ullah","IND","Independent","N","Preference Count","85"
"NSW","251","Watson","0","ABSENT","0","4","41976","KHAN","Zain Ullah","IND","Independent","N","Preference Percent","2.220"
"NSW","251","Watson","0","ABSENT","0","4","41976","KHAN","Zain Ullah","IND","Independent","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","4","41976","KHAN","Zain Ullah","IND","Independent","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Preference Count","147"
"NSW","251","Watson","0","ABSENT","0","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Preference Percent","3.840"
"NSW","251","Watson","0","ABSENT","0","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Preference Count","625"
"NSW","251","Watson","0","ABSENT","0","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","16.340"
"NSW","251","Watson","0","ABSENT","0","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Preference Count","103"
"NSW","251","Watson","0","ABSENT","0","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Preference Percent","2.690"
"NSW","251","Watson","0","ABSENT","0","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Preference Count","592"
"NSW","251","Watson","0","ABSENT","0","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Preference Percent","15.470"
"NSW","251","Watson","0","ABSENT","0","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","0","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Preference Count","140"
"NSW","251","Watson","0","ABSENT","0","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Preference Percent","3.660"
"NSW","251","Watson","0","ABSENT","0","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Transfer Count","0"
"NSW","251","Watson","0","ABSENT","0","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"NSW","251","Watson","0","ABSENT","1","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1622"
"NSW","251","Watson","0","ABSENT","1","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.390"
"NSW","251","Watson","0","ABSENT","1","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","13"
"NSW","251","Watson","0","ABSENT","1","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","15.290"
"NSW","251","Watson","0","ABSENT","1","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Count","156"
"NSW","251","Watson","0","ABSENT","1","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Percent","4.080"
"NSW","251","Watson","0","ABSENT","1","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Count","7"
"NSW","251","Watson","0","ABSENT","1","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Percent","8.240"
"NSW","251","Watson","0","ABSENT","1","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Count","412"
"NSW","251","Watson","0","ABSENT","1","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Percent","10.770"
"NSW","251","Watson","0","ABSENT","1","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Count","36"
"NSW","251","Watson","0","ABSENT","1","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Percent","42.350"
"NSW","251","Watson","0","ABSENT","1","4","41976","KHAN","Zain Ullah","IND","Independent","N","Preference Count","0"
"NSW","251","Watson","0","ABSENT","1","4","41976","KHAN","Zain Ullah","IND","Independent","N","Preference Percent","0.000"
"NSW","251","Watson","0","ABSENT","1","4","41976","KHAN","Zain Ullah","IND","Independent","N","Transfer Count","-85"
"NSW","251","Watson","0","ABSENT","1","4","41976","KHAN","Zain Ullah","IND","Independent","N","Transfer Percent","-100.000"
"NSW","251","Watson","0","ABSENT","1","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Preference Count","156"
"NSW","251","Watson","0","ABSENT","1","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Preference Percent","4.080"
"NSW","251","Watson","0","ABSENT","1","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Transfer Count","9"
"NSW","251","Watson","0","ABSENT","1","5","41920","TREVENA","Elisha Anne","ON","Pauline Hanson's One Nation","N","Transfer Percent","10.590"
"NSW","251","Watson","0","ABSENT","1","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Preference Count","636"
"NSW","251","Watson","0","ABSENT","1","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","16.620"
"NSW","251","Watson","0","ABSENT","1","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","11"
"NSW","251","Watson","0","ABSENT","1","6","41499","ALAM","Md Zakir","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","12.940"
"NSW","251","Watson","0","ABSENT","1","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Preference Count","106"
"NSW","251","Watson","0","ABSENT","1","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Preference Percent","2.770"
"NSW","251","Watson","0","ABSENT","1","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Transfer Count","3"
"NSW","251","Watson","0","ABSENT","1","7","41847","MANNAH","John Nicholas","FFPA","Family First Party Australia","N","Transfer Percent","3.530"
"NSW","251","Watson","0","ABSENT","1","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Preference Count","596"
"NSW","251","Watson","0","ABSENT","1","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Preference Percent","15.580"
"NSW","251","Watson","0","ABSENT","1","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Transfer Count","4"
"NSW","251","Watson","0","ABSENT","1","8","41645","BREWER","Jocelyn Anne","GRN","The Greens NSW","N","Transfer Percent","4.710"
"NSW","251","Watson","0","ABSENT","1","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Preference Count","142"
"NSW","251","Watson","0","ABSENT","1","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Preference Percent","3.710"
"NSW","251","Watson","0","ABSENT","1","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Transfer Count","2"
"NSW","251","Watson","0","ABSENT","1","9","41680","KOUKOULIS","John","CYA","Trumpet of Patriots","N","Transfer Percent","2.350"
"NSW","251","Watson","0","ABSENT","2","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Count","1641"
"NSW","251","Watson","0","ABSENT","2","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Preference Percent","42.890"
"NSW","251","Watson","0","ABSENT","2","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Count","19"
"NSW","251","Watson","0","ABSENT","2","1","41331","BURKE","Anthony Stephen","ALP","Australian Labor Party (N.S.W. Branch)","Y","Transfer Percent","17.920"
"NSW","251","Watson","0","ABSENT","2","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Count","159"
"NSW","251","Watson","0","ABSENT","2","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Preference Percent","4.160"
"NSW","251","Watson","0","ABSENT","2","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Count","3"
"NSW","251","Watson","0","ABSENT","2","2","41642","HADCHITI","Vanessa","LTP","Libertarian Party","N","Transfer Percent","2.830"
"NSW","251","Watson","0","ABSENT","2","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Count","418"
"NSW","251","Watson","0","ABSENT","2","3","40898","BASYOUNY","Ziad","IND","Independent","N","Preference Percent","10.930"
"NSW","251","Watson","0","ABSENT","2","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Count","6"
"NSW","251","Watson","0","ABSENT","2","3","40898","BASYOUNY","Ziad","IND","Independent","N","Transfer Percent","5.660"
"NSW","251","Watson","0","ABSENT","2","4","41976","KHAN","Zain Ullah","IND","Independent","N","Preference Count","0"
