2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"NSW","152","Wentworth","0","ABSENT","0","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Count","80"
"NSW","152","Wentworth","0","ABSENT","0","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Percent","2.390"
"NSW","152","Wentworth","0","ABSENT","0","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","0","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Preference Count","638"
"NSW","152","Wentworth","0","ABSENT","0","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Preference Percent","19.070"
"NSW","152","Wentworth","0","ABSENT","0","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","0","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Preference Count","146"
"NSW","152","Wentworth","0","ABSENT","0","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Preference Percent","4.360"
"NSW","152","Wentworth","0","ABSENT","0","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","0","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Preference Count","843"
"NSW","152","Wentworth","0","ABSENT","0","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.190"
"NSW","152","Wentworth","0","ABSENT","0","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","0","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","749"
"NSW","152","Wentworth","0","ABSENT","0","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","22.380"
"NSW","152","Wentworth","0","ABSENT","0","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","0","6","37451","SPENDER","Allegra May","IND","Independent","Y","Preference Count","890"
"NSW","152","Wentworth","0","ABSENT","0","6","37451","SPENDER","Allegra May","IND","Independent","Y","Preference Percent","26.600"
"NSW","152","Wentworth","0","ABSENT","0","6","37451","SPENDER","Allegra May","IND","Independent","Y","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","0","6","37451","SPENDER","Allegra May","IND","Independent","Y","Transfer Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","1","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Count","0"
"NSW","152","Wentworth","0","ABSENT","1","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","1","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Count","-80"
"NSW","152","Wentworth","0","ABSENT","1","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Percent","-100.000"
"NSW","152","Wentworth","0","ABSENT","1","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Preference Count","666"
"NSW","152","Wentworth","0","ABSENT","1","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Preference Percent","19.900"
"NSW","152","Wentworth","0","ABSENT","1","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Transfer Count","28"
"NSW","152","Wentworth","0","ABSENT","1","2","41532","WARD","Nicholas Raymond","GRN","The Greens NSW","N","Transfer Percent","35.000"
"NSW","152","Wentworth","0","ABSENT","1","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Preference Count","160"
"NSW","152","Wentworth","0","ABSENT","1","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Preference Percent","4.780"
"NSW","152","Wentworth","0","ABSENT","1","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Transfer Count","14"
"NSW","152","Wentworth","0","ABSENT","1","3","41912","STERNHELL","James Frank","ON","Pauline Hanson's One Nation","N","Transfer Percent","17.500"
"NSW","152","Wentworth","0","ABSENT","1","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Preference Count","849"
"NSW","152","Wentworth","0","ABSENT","1","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Preference Percent","25.370"
"NSW","152","Wentworth","0","ABSENT","1","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Transfer Count","6"
"NSW","152","Wentworth","0","ABSENT","1","4","41497","KNOX","Roanne Elvira","LP","Liberal Party of Australia, NSW Division","N","Transfer Percent","7.500"
"NSW","152","Wentworth","0","ABSENT","1","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Count","756"
"NSW","152","Wentworth","0","ABSENT","1","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Preference Percent","22.590"
"NSW","152","Wentworth","0","ABSENT","1","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Count","7"
"NSW","152","Wentworth","0","ABSENT","1","5","41326","PEAKE","Savanna","ALP","Australian Labor Party (N.S.W. Branch)","N","Transfer Percent","8.750"
"NSW","152","Wentworth","0","ABSENT","1","6","37451","SPENDER","Allegra May","IND","Independent","Y","Preference Count","915"
"NSW","152","Wentworth","0","ABSENT","1","6","37451","SPENDER","Allegra May","IND","Independent","Y","Preference Percent","27.350"
"NSW","152","Wentworth","0","ABSENT","1","6","37451","SPENDER","Allegra May","IND","Independent","Y","Transfer Count","25"
"NSW","152","Wentworth","0","ABSENT","1","6","37451","SPENDER","Allegra May","IND","Independent","Y","Transfer Percent","31.250"
"NSW","152","Wentworth","0","ABSENT","2","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Count","0"
"NSW","152","Wentworth","0","ABSENT","2","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Preference Percent","0.000"
"NSW","152","Wentworth","0","ABSENT","2","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Count","0"
"NSW","152","Wentworth","0","ABSENT","2","1","41967","RICHMOND","Michael Peter","IND","Independent","N","Transfer Percent","0.000"
