2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","304","Blair","0","ABSENT","0","1","41202","MUTZELBURG","Carl Phillip","LNP","Liberal National Party of Queensland","N","Preference Count","657"
"QLD","304","Blair","0","ABSENT","0","1","41202","MUTZELBURG","Carl Phillip","LNP","Liberal National Party of Queensland","N","Preference Percent","22.130"
"QLD","304","Blair","0","ABSENT","0","1","41202","MUTZELBURG","Carl Phillip","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","1","41202","MUTZELBURG","Carl Phillip","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","2","42043","BULL","Anthony William","LTP","Libertarian Party","N","Preference Count","67"
"QLD","304","Blair","0","ABSENT","0","2","42043","BULL","Anthony William","LTP","Libertarian Party","N","Preference Percent","2.260"
"QLD","304","Blair","0","ABSENT","0","2","42043","BULL","Anthony William","LTP","Libertarian Party","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","2","42043","BULL","Anthony William","LTP","Libertarian Party","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","3","40963","CHADWICK","Kathryn Anne","GRPF","Gerard Rennick People First","N","Preference Count","107"
"QLD","304","Blair","0","ABSENT","0","3","40963","CHADWICK","Kathryn Anne","GRPF","Gerard Rennick People First","N","Preference Percent","3.600"
"QLD","304","Blair","0","ABSENT","0","3","40963","CHADWICK","Kathryn Anne","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","3","40963","CHADWICK","Kathryn Anne","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","4","41530","LOWERY","Angela Jayne","AJP","Animal Justice Party","N","Preference Count","64"
"QLD","304","Blair","0","ABSENT","0","4","41530","LOWERY","Angela Jayne","AJP","Animal Justice Party","N","Preference Percent","2.160"
"QLD","304","Blair","0","ABSENT","0","4","41530","LOWERY","Angela Jayne","AJP","Animal Justice Party","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","4","41530","LOWERY","Angela Jayne","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","5","41325","McDONALD","Edward James","CYA","Trumpet of Patriots","N","Preference Count","120"
"QLD","304","Blair","0","ABSENT","0","5","41325","McDONALD","Edward James","CYA","Trumpet of Patriots","N","Preference Percent","4.040"
"QLD","304","Blair","0","ABSENT","0","5","41325","McDONALD","Edward James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","5","41325","McDONALD","Edward James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","6","40725","NEUMANN","Shayne Kenneth","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","869"
"QLD","304","Blair","0","ABSENT","0","6","40725","NEUMANN","Shayne Kenneth","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","29.270"
"QLD","304","Blair","0","ABSENT","0","6","40725","NEUMANN","Shayne Kenneth","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","6","40725","NEUMANN","Shayne Kenneth","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","7","40846","PURDON","John Frederick","FFPA","Family First Party Australia","N","Preference Count","76"
"QLD","304","Blair","0","ABSENT","0","7","40846","PURDON","John Frederick","FFPA","Family First Party Australia","N","Preference Percent","2.560"
"QLD","304","Blair","0","ABSENT","0","7","40846","PURDON","John Frederick","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","304","Blair","0","ABSENT","0","7","40846","PURDON","John Frederick","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","304","Blair","0","ABSENT","0","8","41250","TONER","Paul Joseph","GRN","Queensland Greens","N","Preference Count","422"
"QLD","304","Blair","0","ABSENT","0","8","41250","TONER","Paul Joseph","GRN","Queensland Greens","N","Preference Percent","14.210"
