2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","310","Bonner","0","ABSENT","0","1","40849","DOVEY","Anthony Ross","FFPA","Family First Party Australia","N","Preference Count","158"
"QLD","310","Bonner","0","ABSENT","0","1","40849","DOVEY","Anthony Ross","FFPA","Family First Party Australia","N","Preference Percent","4.350"
"QLD","310","Bonner","0","ABSENT","0","1","40849","DOVEY","Anthony Ross","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","310","Bonner","0","ABSENT","0","1","40849","DOVEY","Anthony Ross","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","310","Bonner","0","ABSENT","0","2","40689","BHASIN","Shalini","LTP","Libertarian Party","N","Preference Count","57"
"QLD","310","Bonner","0","ABSENT","0","2","40689","BHASIN","Shalini","LTP","Libertarian Party","N","Preference Percent","1.570"
"QLD","310","Bonner","0","ABSENT","0","2","40689","BHASIN","Shalini","LTP","Libertarian Party","N","Transfer Count","0"
"QLD","310","Bonner","0","ABSENT","0","2","40689","BHASIN","Shalini","LTP","Libertarian Party","N","Transfer Percent","0.000"
"QLD","310","Bonner","0","ABSENT","0","3","41205","VASTA","Ross Xavier","LNP","Liberal National Party of Queensland","N","Preference Count","991"
"QLD","310","Bonner","0","ABSENT","0","3","41205","VASTA","Ross Xavier","LNP","Liberal National Party of Queensland","N","Preference Percent","27.280"
"QLD","310","Bonner","0","ABSENT","0","3","41205","VASTA","Ross Xavier","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","310","Bonner","0","ABSENT","0","3","41205","VASTA","Ross Xavier","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","310","Bonner","0","ABSENT","0","4","40926","HILL","Kenneth Craig","HMP","Legalise Cannabis Australia","N","Preference Count","189"
"QLD","310","Bonner","0","ABSENT","0","4","40926","HILL","Kenneth Craig","HMP","Legalise Cannabis Australia","N","Preference Percent","5.200"
"QLD","310","Bonner","0","ABSENT","0","4","40926","HILL","Kenneth Craig","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"QLD","310","Bonner","0","ABSENT","0","4","40926","HILL","Kenneth Craig","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"QLD","310","Bonner","0","ABSENT","0","5","41254","LI","Wen","GRN","Queensland Greens","N","Preference Count","701"
