2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","156","Brisbane","0","ABSENT","0","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Preference Count","195"
"QLD","156","Brisbane","0","ABSENT","0","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Preference Percent","3.770"
"QLD","156","Brisbane","0","ABSENT","0","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1603"
"QLD","156","Brisbane","0","ABSENT","0","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","31.010"
"QLD","156","Brisbane","0","ABSENT","0","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","3","40884","SANDS","Kirsten Nicole","FFPA","Family First Party Australia","N","Preference Count","65"
"QLD","156","Brisbane","0","ABSENT","0","3","40884","SANDS","Kirsten Nicole","FFPA","Family First Party Australia","N","Preference Percent","1.260"
"QLD","156","Brisbane","0","ABSENT","0","3","40884","SANDS","Kirsten Nicole","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","3","40884","SANDS","Kirsten Nicole","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","4","41268","BATES","Stephen James","GRN","Queensland Greens","N","Preference Count","1553"
"QLD","156","Brisbane","0","ABSENT","0","4","41268","BATES","Stephen James","GRN","Queensland Greens","N","Preference Percent","30.040"
"QLD","156","Brisbane","0","ABSENT","0","4","41268","BATES","Stephen James","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","4","41268","BATES","Stephen James","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","5","41215","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Preference Count","1415"
"QLD","156","Brisbane","0","ABSENT","0","5","41215","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Preference Percent","27.370"
"QLD","156","Brisbane","0","ABSENT","0","5","41215","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","5","41215","EVANS","Trevor Mark","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","6","41335","THIELE","Brian William","CYA","Trumpet of Patriots","N","Preference Count","119"
"QLD","156","Brisbane","0","ABSENT","0","6","41335","THIELE","Brian William","CYA","Trumpet of Patriots","N","Preference Percent","2.300"
"QLD","156","Brisbane","0","ABSENT","0","6","41335","THIELE","Brian William","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","6","41335","THIELE","Brian William","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","7","40964","WHEELER","Joseph Charles","GRPF","Gerard Rennick People First","N","Preference Count","149"
"QLD","156","Brisbane","0","ABSENT","0","7","40964","WHEELER","Joseph Charles","GRPF","Gerard Rennick People First","N","Preference Percent","2.880"
"QLD","156","Brisbane","0","ABSENT","0","7","40964","WHEELER","Joseph Charles","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","7","40964","WHEELER","Joseph Charles","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","0","8","40685","BLACKWOOD","Rachael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","70"
"QLD","156","Brisbane","0","ABSENT","0","8","40685","BLACKWOOD","Rachael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.350"
"QLD","156","Brisbane","0","ABSENT","0","8","40685","BLACKWOOD","Rachael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"QLD","156","Brisbane","0","ABSENT","0","8","40685","BLACKWOOD","Rachael","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"QLD","156","Brisbane","0","ABSENT","1","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Preference Count","206"
"QLD","156","Brisbane","0","ABSENT","1","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Preference Percent","3.990"
"QLD","156","Brisbane","0","ABSENT","1","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Transfer Count","11"
"QLD","156","Brisbane","0","ABSENT","1","1","40933","WOOD","Cheryl Joyce","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.920"
"QLD","156","Brisbane","0","ABSENT","1","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1613"
"QLD","156","Brisbane","0","ABSENT","1","2","40731","JARRETT","Madonna Louise","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","31.210"
