2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","158","Dawson","0","ABSENT","0","1","41367","LOCKYER","Michael James","CYA","Trumpet of Patriots","N","Preference Count","201"
"QLD","158","Dawson","0","ABSENT","0","1","41367","LOCKYER","Michael James","CYA","Trumpet of Patriots","N","Preference Percent","8.570"
"QLD","158","Dawson","0","ABSENT","0","1","41367","LOCKYER","Michael James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","1","41367","LOCKYER","Michael James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","2","40965","BEAUMONT","Alexander John","GRPF","Gerard Rennick People First","N","Preference Count","157"
"QLD","158","Dawson","0","ABSENT","0","2","40965","BEAUMONT","Alexander John","GRPF","Gerard Rennick People First","N","Preference Percent","6.700"
"QLD","158","Dawson","0","ABSENT","0","2","40965","BEAUMONT","Alexander John","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","2","40965","BEAUMONT","Alexander John","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","3","40862","NICKSON","Amanda","FFPA","Family First Party Australia","N","Preference Count","95"
"QLD","158","Dawson","0","ABSENT","0","3","40862","NICKSON","Amanda","FFPA","Family First Party Australia","N","Preference Percent","4.050"
"QLD","158","Dawson","0","ABSENT","0","3","40862","NICKSON","Amanda","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","3","40862","NICKSON","Amanda","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","4","41203","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Count","746"
"QLD","158","Dawson","0","ABSENT","0","4","41203","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Preference Percent","31.810"
"QLD","158","Dawson","0","ABSENT","0","4","41203","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","4","41203","WILLCOX","Andrew John","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","158","Dawson","0","ABSENT","0","5","40938","BROWN","Darren Craig","ON","Pauline Hanson's One Nation","N","Preference Count","291"
"QLD","158","Dawson","0","ABSENT","0","5","40938","BROWN","Darren Craig","ON","Pauline Hanson's One Nation","N","Preference Percent","12.410"
"QLD","158","Dawson","0","ABSENT","0","5","40938","BROWN","Darren Craig","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","158","Dawson","0","ABSENT","0","5","40938","BROWN","Darren Craig","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
