2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","252","Dickson","0","ABSENT","0","1","40867","HEWETT","Suniti","FFPA","Family First Party Australia","N","Preference Count","136"
"QLD","252","Dickson","0","ABSENT","0","1","40867","HEWETT","Suniti","FFPA","Family First Party Australia","N","Preference Percent","4.030"
"QLD","252","Dickson","0","ABSENT","0","1","40867","HEWETT","Suniti","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","252","Dickson","0","ABSENT","0","1","40867","HEWETT","Suniti","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","252","Dickson","0","ABSENT","0","2","40742","FRANCE","Allison Anne","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1052"
"QLD","252","Dickson","0","ABSENT","0","2","40742","FRANCE","Allison Anne","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","31.140"
"QLD","252","Dickson","0","ABSENT","0","2","40742","FRANCE","Allison Anne","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","252","Dickson","0","ABSENT","0","2","40742","FRANCE","Allison Anne","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","252","Dickson","0","ABSENT","0","3","41275","BATTEN","Vincent Nicolo","GRN","Queensland Greens","N","Preference Count","496"
"QLD","252","Dickson","0","ABSENT","0","3","41275","BATTEN","Vincent Nicolo","GRN","Queensland Greens","N","Preference Percent","14.680"
"QLD","252","Dickson","0","ABSENT","0","3","41275","BATTEN","Vincent Nicolo","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","252","Dickson","0","ABSENT","0","3","41275","BATTEN","Vincent Nicolo","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","252","Dickson","0","ABSENT","0","4","40941","STEVENSON","Joel Phillip","ON","Pauline Hanson's One Nation","N","Preference Count","201"
"QLD","252","Dickson","0","ABSENT","0","4","40941","STEVENSON","Joel Phillip","ON","Pauline Hanson's One Nation","N","Preference Percent","5.950"
"QLD","252","Dickson","0","ABSENT","0","4","40941","STEVENSON","Joel Phillip","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","252","Dickson","0","ABSENT","0","4","40941","STEVENSON","Joel Phillip","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","252","Dickson","0","ABSENT","0","5","41208","DUTTON","Peter Craig","LNP","Liberal National Party of Queensland","N","Preference Count","827"
"QLD","252","Dickson","0","ABSENT","0","5","41208","DUTTON","Peter Craig","LNP","Liberal National Party of Queensland","N","Preference Percent","24.480"
