2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","168","Leichhardt","0","ABSENT","0","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Preference Count","198"
"QLD","168","Leichhardt","0","ABSENT","0","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Preference Percent","11.970"
"QLD","168","Leichhardt","0","ABSENT","0","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","2","40953","HICKS","Robert John","ON","Pauline Hanson's One Nation","N","Preference Count","134"
"QLD","168","Leichhardt","0","ABSENT","0","2","40953","HICKS","Robert John","ON","Pauline Hanson's One Nation","N","Preference Percent","8.100"
"QLD","168","Leichhardt","0","ABSENT","0","2","40953","HICKS","Robert John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","2","40953","HICKS","Robert John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","3","42026","RUSSELL","Lloyd Thomas John","LTP","Libertarian Party","N","Preference Count","25"
"QLD","168","Leichhardt","0","ABSENT","0","3","42026","RUSSELL","Lloyd Thomas John","LTP","Libertarian Party","N","Preference Percent","1.510"
"QLD","168","Leichhardt","0","ABSENT","0","3","42026","RUSSELL","Lloyd Thomas John","LTP","Libertarian Party","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","3","42026","RUSSELL","Lloyd Thomas John","LTP","Libertarian Party","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","4","41835","COLLINS","Daniel Corazon","KAP","Katter's Australian Party (KAP)","N","Preference Count","150"
"QLD","168","Leichhardt","0","ABSENT","0","4","41835","COLLINS","Daniel Corazon","KAP","Katter's Australian Party (KAP)","N","Preference Percent","9.070"
"QLD","168","Leichhardt","0","ABSENT","0","4","41835","COLLINS","Daniel Corazon","KAP","Katter's Australian Party (KAP)","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","4","41835","COLLINS","Daniel Corazon","KAP","Katter's Australian Party (KAP)","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","5","40771","SMITH","Matthew John Howe","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","473"
"QLD","168","Leichhardt","0","ABSENT","0","5","40771","SMITH","Matthew John Howe","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","28.600"
"QLD","168","Leichhardt","0","ABSENT","0","5","40771","SMITH","Matthew John Howe","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","5","40771","SMITH","Matthew John Howe","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","6","40903","SEARLE","Leslie Eric","FFPA","Family First Party Australia","N","Preference Count","64"
"QLD","168","Leichhardt","0","ABSENT","0","6","40903","SEARLE","Leslie Eric","FFPA","Family First Party Australia","N","Preference Percent","3.870"
"QLD","168","Leichhardt","0","ABSENT","0","6","40903","SEARLE","Leslie Eric","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","6","40903","SEARLE","Leslie Eric","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","7","41187","NEAL","Jeremy Brett","LNP","Liberal National Party of Queensland","N","Preference Count","301"
"QLD","168","Leichhardt","0","ABSENT","0","7","41187","NEAL","Jeremy Brett","LNP","Liberal National Party of Queensland","N","Preference Percent","18.200"
"QLD","168","Leichhardt","0","ABSENT","0","7","41187","NEAL","Jeremy Brett","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","7","41187","NEAL","Jeremy Brett","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","8","40621","MILLER","Norman Barclay","IND","Independent","N","Preference Count","32"
"QLD","168","Leichhardt","0","ABSENT","0","8","40621","MILLER","Norman Barclay","IND","Independent","N","Preference Percent","1.930"
"QLD","168","Leichhardt","0","ABSENT","0","8","40621","MILLER","Norman Barclay","IND","Independent","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","8","40621","MILLER","Norman Barclay","IND","Independent","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","9","41258","MUSUMECI","Phillip Carl Vito","GRN","Queensland Greens","N","Preference Count","225"
"QLD","168","Leichhardt","0","ABSENT","0","9","41258","MUSUMECI","Phillip Carl Vito","GRN","Queensland Greens","N","Preference Percent","13.600"
"QLD","168","Leichhardt","0","ABSENT","0","9","41258","MUSUMECI","Phillip Carl Vito","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","9","41258","MUSUMECI","Phillip Carl Vito","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","0","10","41374","DOWLING","Greg Ian","CYA","Trumpet of Patriots","N","Preference Count","52"
"QLD","168","Leichhardt","0","ABSENT","0","10","41374","DOWLING","Greg Ian","CYA","Trumpet of Patriots","N","Preference Percent","3.140"
"QLD","168","Leichhardt","0","ABSENT","0","10","41374","DOWLING","Greg Ian","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","168","Leichhardt","0","ABSENT","0","10","41374","DOWLING","Greg Ian","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","168","Leichhardt","0","ABSENT","1","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Preference Count","204"
"QLD","168","Leichhardt","0","ABSENT","1","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Preference Percent","12.330"
"QLD","168","Leichhardt","0","ABSENT","1","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Transfer Count","6"
"QLD","168","Leichhardt","0","ABSENT","1","1","40935","DANIELS","Nicholas James Nigel","HMP","Legalise Cannabis Australia","N","Transfer Percent","24.000"
"QLD","168","Leichhardt","0","ABSENT","1","2","40953","HICKS","Robert John","ON","Pauline Hanson's One Nation","N","Preference Count","140"
