2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","169","Lilley","0","ABSENT","0","1","41376","MORRISON","Joshua John","CYA","Trumpet of Patriots","N","Preference Count","179"
"QLD","169","Lilley","0","ABSENT","0","1","41376","MORRISON","Joshua John","CYA","Trumpet of Patriots","N","Preference Percent","4.670"
"QLD","169","Lilley","0","ABSENT","0","1","41376","MORRISON","Joshua John","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","1","41376","MORRISON","Joshua John","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","2","40777","WELLS","Anika Shay","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1499"
"QLD","169","Lilley","0","ABSENT","0","2","40777","WELLS","Anika Shay","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","39.120"
"QLD","169","Lilley","0","ABSENT","0","2","40777","WELLS","Anika Shay","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","2","40777","WELLS","Anika Shay","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","3","41290","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Preference Count","897"
"QLD","169","Lilley","0","ABSENT","0","3","41290","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Preference Percent","23.410"
"QLD","169","Lilley","0","ABSENT","0","3","41290","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","3","41290","STEVENS","Melissa Grace","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","4","40904","DENARO","Alan Thomas","FFPA","Family First Party Australia","N","Preference Count","159"
"QLD","169","Lilley","0","ABSENT","0","4","40904","DENARO","Alan Thomas","FFPA","Family First Party Australia","N","Preference Percent","4.150"
"QLD","169","Lilley","0","ABSENT","0","4","40904","DENARO","Alan Thomas","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","169","Lilley","0","ABSENT","0","4","40904","DENARO","Alan Thomas","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","169","Lilley","0","ABSENT","0","5","40956","McKAY","Michelle Leigh","ON","Pauline Hanson's One Nation","N","Preference Count","222"
"QLD","169","Lilley","0","ABSENT","0","5","40956","McKAY","Michelle Leigh","ON","Pauline Hanson's One Nation","N","Preference Percent","5.790"
"QLD","169","Lilley","0","ABSENT","0","5","40956","McKAY","Michelle Leigh","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
