2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","170","Maranoa","0","ABSENT","0","1","40975","DRAPER","Rodney Paul","GRPF","Gerard Rennick People First","N","Preference Count","187"
"QLD","170","Maranoa","0","ABSENT","0","1","40975","DRAPER","Rodney Paul","GRPF","Gerard Rennick People First","N","Preference Percent","7.850"
"QLD","170","Maranoa","0","ABSENT","0","1","40975","DRAPER","Rodney Paul","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","1","40975","DRAPER","Rodney Paul","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","2","41162","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Preference Count","1050"
"QLD","170","Maranoa","0","ABSENT","0","2","41162","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Preference Percent","44.080"
"QLD","170","Maranoa","0","ABSENT","0","2","41162","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","2","41162","LITTLEPROUD","David Kelly","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","3","41274","JOHNSTON","Elizabeth Ann","GRN","Queensland Greens","N","Preference Count","228"
"QLD","170","Maranoa","0","ABSENT","0","3","41274","JOHNSTON","Elizabeth Ann","GRN","Queensland Greens","N","Preference Percent","9.570"
"QLD","170","Maranoa","0","ABSENT","0","3","41274","JOHNSTON","Elizabeth Ann","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","3","41274","JOHNSTON","Elizabeth Ann","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","4","40690","OFFERDAHL","Michael John Allan","LTP","Libertarian Party","N","Preference Count","50"
"QLD","170","Maranoa","0","ABSENT","0","4","40690","OFFERDAHL","Michael John Allan","LTP","Libertarian Party","N","Preference Percent","2.100"
"QLD","170","Maranoa","0","ABSENT","0","4","40690","OFFERDAHL","Michael John Allan","LTP","Libertarian Party","N","Transfer Count","0"
"QLD","170","Maranoa","0","ABSENT","0","4","40690","OFFERDAHL","Michael John Allan","LTP","Libertarian Party","N","Transfer Percent","0.000"
"QLD","170","Maranoa","0","ABSENT","0","5","40912","WHITTLE","John Matthew","FFPA","Family First Party Australia","N","Preference Count","85"
"QLD","170","Maranoa","0","ABSENT","0","5","40912","WHITTLE","John Matthew","FFPA","Family First Party Australia","N","Preference Percent","3.570"
"QLD","170","Maranoa","0","ABSENT","0","5","40912","WHITTLE","John Matthew","FFPA","Family First Party Australia","N","Transfer Count","0"
