2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","174","Oxley","0","ABSENT","0","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1625"
"QLD","174","Oxley","0","ABSENT","0","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","46.240"
"QLD","174","Oxley","0","ABSENT","0","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Preference Count","249"
"QLD","174","Oxley","0","ABSENT","0","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Preference Percent","7.090"
"QLD","174","Oxley","0","ABSENT","0","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Preference Count","64"
"QLD","174","Oxley","0","ABSENT","0","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Preference Percent","1.820"
"QLD","174","Oxley","0","ABSENT","0","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Preference Count","122"
"QLD","174","Oxley","0","ABSENT","0","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Preference Percent","3.470"
"QLD","174","Oxley","0","ABSENT","0","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Preference Count","609"
"QLD","174","Oxley","0","ABSENT","0","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Preference Percent","17.330"
"QLD","174","Oxley","0","ABSENT","0","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Preference Count","693"
"QLD","174","Oxley","0","ABSENT","0","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Preference Percent","19.720"
"QLD","174","Oxley","0","ABSENT","0","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","0","7","40913","TENTO","William Rainero","FFPA","Family First Party Australia","N","Preference Count","152"
"QLD","174","Oxley","0","ABSENT","0","7","40913","TENTO","William Rainero","FFPA","Family First Party Australia","N","Preference Percent","4.330"
"QLD","174","Oxley","0","ABSENT","0","7","40913","TENTO","William Rainero","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","174","Oxley","0","ABSENT","0","7","40913","TENTO","William Rainero","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","174","Oxley","0","ABSENT","1","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1636"
"QLD","174","Oxley","0","ABSENT","1","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","46.560"
"QLD","174","Oxley","0","ABSENT","1","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","11"
"QLD","174","Oxley","0","ABSENT","1","1","40800","DICK","Dugald Milton","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","17.190"
"QLD","174","Oxley","0","ABSENT","1","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Preference Count","254"
"QLD","174","Oxley","0","ABSENT","1","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Preference Percent","7.230"
"QLD","174","Oxley","0","ABSENT","1","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Transfer Count","5"
"QLD","174","Oxley","0","ABSENT","1","2","40952","BAKER","Darren Leslie","ON","Pauline Hanson's One Nation","N","Transfer Percent","7.810"
"QLD","174","Oxley","0","ABSENT","1","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Preference Count","0"
"QLD","174","Oxley","0","ABSENT","1","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Preference Percent","0.000"
"QLD","174","Oxley","0","ABSENT","1","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Transfer Count","-64"
"QLD","174","Oxley","0","ABSENT","1","3","41465","HEAD","Michael Owen","","Non Affiliated","N","Transfer Percent","-100.000"
"QLD","174","Oxley","0","ABSENT","1","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Preference Count","131"
"QLD","174","Oxley","0","ABSENT","1","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Preference Percent","3.730"
"QLD","174","Oxley","0","ABSENT","1","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Transfer Count","9"
"QLD","174","Oxley","0","ABSENT","1","4","41397","MAGUIRE","Mark","CYA","Trumpet of Patriots","N","Transfer Percent","14.060"
"QLD","174","Oxley","0","ABSENT","1","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Preference Count","614"
"QLD","174","Oxley","0","ABSENT","1","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Preference Percent","17.470"
"QLD","174","Oxley","0","ABSENT","1","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Transfer Count","5"
"QLD","174","Oxley","0","ABSENT","1","5","41181","BURNS","Kevin Thomas","LNP","Liberal National Party of Queensland","N","Transfer Percent","7.810"
"QLD","174","Oxley","0","ABSENT","1","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Preference Count","716"
"QLD","174","Oxley","0","ABSENT","1","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Preference Percent","20.380"
"QLD","174","Oxley","0","ABSENT","1","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Transfer Count","23"
"QLD","174","Oxley","0","ABSENT","1","6","41281","HOLT","Brandan Allen","GRN","Queensland Greens","N","Transfer Percent","35.940"
"QLD","174","Oxley","0","ABSENT","1","7","40913","TENTO","William Rainero","FFPA","Family First Party Australia","N","Preference Count","163"
