2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","176","Rankin","0","ABSENT","0","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Preference Count","216"
"QLD","176","Rankin","0","ABSENT","0","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Preference Percent","7.160"
"QLD","176","Rankin","0","ABSENT","0","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Preference Count","141"
"QLD","176","Rankin","0","ABSENT","0","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Preference Percent","4.680"
"QLD","176","Rankin","0","ABSENT","0","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Count","472"
"QLD","176","Rankin","0","ABSENT","0","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Percent","15.650"
"QLD","176","Rankin","0","ABSENT","0","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","4","41283","RIETHMULLER","Joshua","GRN","Queensland Greens","N","Preference Count","579"
"QLD","176","Rankin","0","ABSENT","0","4","41283","RIETHMULLER","Joshua","GRN","Queensland Greens","N","Preference Percent","19.200"
"QLD","176","Rankin","0","ABSENT","0","4","41283","RIETHMULLER","Joshua","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","4","41283","RIETHMULLER","Joshua","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","5","40805","CHALMERS","James Edward","ALP","Australian Labor Party (State of Queensland)","Y","Preference Count","1199"
"QLD","176","Rankin","0","ABSENT","0","5","40805","CHALMERS","James Edward","ALP","Australian Labor Party (State of Queensland)","Y","Preference Percent","39.750"
"QLD","176","Rankin","0","ABSENT","0","5","40805","CHALMERS","James Edward","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","5","40805","CHALMERS","James Edward","ALP","Australian Labor Party (State of Queensland)","Y","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","6","41479","BAINBRIDGE","Alexander James","SAL","Socialist Alliance","N","Preference Count","44"
"QLD","176","Rankin","0","ABSENT","0","6","41479","BAINBRIDGE","Alexander James","SAL","Socialist Alliance","N","Preference Percent","1.460"
"QLD","176","Rankin","0","ABSENT","0","6","41479","BAINBRIDGE","Alexander James","SAL","Socialist Alliance","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","6","41479","BAINBRIDGE","Alexander James","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","7","40958","LENTZ","Kyle Justin","ON","Pauline Hanson's One Nation","N","Preference Count","219"
"QLD","176","Rankin","0","ABSENT","0","7","40958","LENTZ","Kyle Justin","ON","Pauline Hanson's One Nation","N","Preference Percent","7.260"
"QLD","176","Rankin","0","ABSENT","0","7","40958","LENTZ","Kyle Justin","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","7","40958","LENTZ","Kyle Justin","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","0","8","41412","LINDBOM","Janet Lorraine","CYA","Trumpet of Patriots","N","Preference Count","146"
"QLD","176","Rankin","0","ABSENT","0","8","41412","LINDBOM","Janet Lorraine","CYA","Trumpet of Patriots","N","Preference Percent","4.840"
"QLD","176","Rankin","0","ABSENT","0","8","41412","LINDBOM","Janet Lorraine","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","0","8","41412","LINDBOM","Janet Lorraine","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","176","Rankin","0","ABSENT","1","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Preference Count","217"
"QLD","176","Rankin","0","ABSENT","1","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Preference Percent","7.190"
"QLD","176","Rankin","0","ABSENT","1","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Transfer Count","1"
"QLD","176","Rankin","0","ABSENT","1","1","40897","ORDISH","Carol Joy","FFPA","Family First Party Australia","N","Transfer Percent","2.270"
"QLD","176","Rankin","0","ABSENT","1","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Preference Count","144"
"QLD","176","Rankin","0","ABSENT","1","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Preference Percent","4.770"
"QLD","176","Rankin","0","ABSENT","1","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Transfer Count","3"
"QLD","176","Rankin","0","ABSENT","1","2","40972","HUDSON","Lana Natasha","GRPF","Gerard Rennick People First","N","Transfer Percent","6.820"
"QLD","176","Rankin","0","ABSENT","1","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Count","472"
"QLD","176","Rankin","0","ABSENT","1","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Preference Percent","15.650"
"QLD","176","Rankin","0","ABSENT","1","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Count","0"
"QLD","176","Rankin","0","ABSENT","1","3","41189","DARWEN","Paul James","LNP","Liberal National Party of Queensland","N","Transfer Percent","0.000"
