2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","178","Wide Bay","0","ABSENT","0","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Preference Count","210"
"QLD","178","Wide Bay","0","ABSENT","0","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Preference Percent","8.640"
"QLD","178","Wide Bay","0","ABSENT","0","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","531"
"QLD","178","Wide Bay","0","ABSENT","0","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","21.840"
"QLD","178","Wide Bay","0","ABSENT","0","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Preference Count","329"
"QLD","178","Wide Bay","0","ABSENT","0","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Preference Percent","13.530"
"QLD","178","Wide Bay","0","ABSENT","0","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Preference Count","674"
"QLD","178","Wide Bay","0","ABSENT","0","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Preference Percent","27.730"
"QLD","178","Wide Bay","0","ABSENT","0","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","5","40717","IDDON","Casey Joseph","IND","Independent","N","Preference Count","149"
"QLD","178","Wide Bay","0","ABSENT","0","5","40717","IDDON","Casey Joseph","IND","Independent","N","Preference Percent","6.130"
"QLD","178","Wide Bay","0","ABSENT","0","5","40717","IDDON","Casey Joseph","IND","Independent","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","5","40717","IDDON","Casey Joseph","IND","Independent","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Preference Count","385"
"QLD","178","Wide Bay","0","ABSENT","0","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Preference Percent","15.840"
"QLD","178","Wide Bay","0","ABSENT","0","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","0","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Preference Count","153"
"QLD","178","Wide Bay","0","ABSENT","0","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Preference Percent","6.290"
"QLD","178","Wide Bay","0","ABSENT","0","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Transfer Count","0"
"QLD","178","Wide Bay","0","ABSENT","0","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","1","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Preference Count","239"
"QLD","178","Wide Bay","0","ABSENT","1","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Preference Percent","9.830"
"QLD","178","Wide Bay","0","ABSENT","1","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Transfer Count","29"
"QLD","178","Wide Bay","0","ABSENT","1","1","40909","KENNINGALE","Kirsti Rose","FFPA","Family First Party Australia","N","Transfer Percent","18.950"
"QLD","178","Wide Bay","0","ABSENT","1","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","539"
"QLD","178","Wide Bay","0","ABSENT","1","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","22.170"
"QLD","178","Wide Bay","0","ABSENT","1","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","8"
"QLD","178","Wide Bay","0","ABSENT","1","2","40788","CHALMERS","Elliott","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","5.230"
"QLD","178","Wide Bay","0","ABSENT","1","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Preference Count","386"
"QLD","178","Wide Bay","0","ABSENT","1","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Preference Percent","15.880"
"QLD","178","Wide Bay","0","ABSENT","1","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Transfer Count","57"
"QLD","178","Wide Bay","0","ABSENT","1","3","40961","BURGESS","Chad","ON","Pauline Hanson's One Nation","N","Transfer Percent","37.250"
"QLD","178","Wide Bay","0","ABSENT","1","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Preference Count","687"
"QLD","178","Wide Bay","0","ABSENT","1","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Preference Percent","28.260"
"QLD","178","Wide Bay","0","ABSENT","1","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Transfer Count","13"
"QLD","178","Wide Bay","0","ABSENT","1","4","41195","O'BRIEN","Llewellyn Stephen","LNP","Liberal National Party of Queensland","Y","Transfer Percent","8.500"
"QLD","178","Wide Bay","0","ABSENT","1","5","40717","IDDON","Casey Joseph","IND","Independent","N","Preference Count","176"
"QLD","178","Wide Bay","0","ABSENT","1","5","40717","IDDON","Casey Joseph","IND","Independent","N","Preference Percent","7.240"
"QLD","178","Wide Bay","0","ABSENT","1","5","40717","IDDON","Casey Joseph","IND","Independent","N","Transfer Count","27"
"QLD","178","Wide Bay","0","ABSENT","1","5","40717","IDDON","Casey Joseph","IND","Independent","N","Transfer Percent","17.650"
"QLD","178","Wide Bay","0","ABSENT","1","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Preference Count","404"
"QLD","178","Wide Bay","0","ABSENT","1","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Preference Percent","16.620"
"QLD","178","Wide Bay","0","ABSENT","1","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Transfer Count","19"
"QLD","178","Wide Bay","0","ABSENT","1","6","41287","BUHSE","Emma Rachel","GRN","Queensland Greens","N","Transfer Percent","12.420"
"QLD","178","Wide Bay","0","ABSENT","1","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Preference Count","0"
"QLD","178","Wide Bay","0","ABSENT","1","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"QLD","178","Wide Bay","0","ABSENT","1","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Transfer Count","-153"
"QLD","178","Wide Bay","0","ABSENT","1","7","41428","PENNICOTT","Gabrial Neil","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
