2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","182","Boothby","0","ABSENT","0","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Preference Count","186"
"SA","182","Boothby","0","ABSENT","0","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Preference Percent","4.230"
"SA","182","Boothby","0","ABSENT","0","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","0","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Preference Count","152"
"SA","182","Boothby","0","ABSENT","0","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Preference Percent","3.450"
"SA","182","Boothby","0","ABSENT","0","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","0","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Preference Count","202"
"SA","182","Boothby","0","ABSENT","0","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Preference Percent","4.590"
"SA","182","Boothby","0","ABSENT","0","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","0","4","41197","MILLER-FROST","Louise Jane","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1621"
"SA","182","Boothby","0","ABSENT","0","4","41197","MILLER-FROST","Louise Jane","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","36.820"
"SA","182","Boothby","0","ABSENT","0","4","41197","MILLER-FROST","Louise Jane","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","4","41197","MILLER-FROST","Louise Jane","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","0","5","41019","WELLS","Joanna Margaret","GRN","Australian Greens","N","Preference Count","1118"
"SA","182","Boothby","0","ABSENT","0","5","41019","WELLS","Joanna Margaret","GRN","Australian Greens","N","Preference Percent","25.400"
"SA","182","Boothby","0","ABSENT","0","5","41019","WELLS","Joanna Margaret","GRN","Australian Greens","N","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","5","41019","WELLS","Joanna Margaret","GRN","Australian Greens","N","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","0","6","41021","FLINT","Nicolle Jane","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","1123"
"SA","182","Boothby","0","ABSENT","0","6","41021","FLINT","Nicolle Jane","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","25.510"
"SA","182","Boothby","0","ABSENT","0","6","41021","FLINT","Nicolle Jane","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","0"
"SA","182","Boothby","0","ABSENT","0","6","41021","FLINT","Nicolle Jane","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","0.000"
"SA","182","Boothby","0","ABSENT","1","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Preference Count","217"
"SA","182","Boothby","0","ABSENT","1","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Preference Percent","4.930"
"SA","182","Boothby","0","ABSENT","1","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Transfer Count","31"
"SA","182","Boothby","0","ABSENT","1","1","41043","HUSSEY","Nicole Dominique","CYA","Trumpet of Patriots","N","Transfer Percent","20.390"
"SA","182","Boothby","0","ABSENT","1","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Preference Count","0"
"SA","182","Boothby","0","ABSENT","1","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"SA","182","Boothby","0","ABSENT","1","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Transfer Count","-152"
"SA","182","Boothby","0","ABSENT","1","2","41062","PRIOR","Samuel Michael","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"SA","182","Boothby","0","ABSENT","1","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Preference Count","246"
"SA","182","Boothby","0","ABSENT","1","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Preference Percent","5.590"
"SA","182","Boothby","0","ABSENT","1","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Transfer Count","44"
"SA","182","Boothby","0","ABSENT","1","3","42028","SCOTT","Tonya Lee","ON","Pauline Hanson's One Nation","N","Transfer Percent","28.950"
"SA","182","Boothby","0","ABSENT","1","4","41197","MILLER-FROST","Louise Jane","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1649"
