2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","185","Hindmarsh","0","ABSENT","0","1","41045","TOWNSEND","Andrew James","CYA","Trumpet of Patriots","N","Preference Count","251"
"SA","185","Hindmarsh","0","ABSENT","0","1","41045","TOWNSEND","Andrew James","CYA","Trumpet of Patriots","N","Preference Percent","6.330"
"SA","185","Hindmarsh","0","ABSENT","0","1","41045","TOWNSEND","Andrew James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","185","Hindmarsh","0","ABSENT","0","1","41045","TOWNSEND","Andrew James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","185","Hindmarsh","0","ABSENT","0","2","41063","ALOE","Adrien","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","33"
"SA","185","Hindmarsh","0","ABSENT","0","2","41063","ALOE","Adrien","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","0.830"
"SA","185","Hindmarsh","0","ABSENT","0","2","41063","ALOE","Adrien","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"SA","185","Hindmarsh","0","ABSENT","0","2","41063","ALOE","Adrien","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"SA","185","Hindmarsh","0","ABSENT","0","3","41053","TENNIKOFF","Alex","FFPA","Family First Party Australia","N","Preference Count","128"
"SA","185","Hindmarsh","0","ABSENT","0","3","41053","TENNIKOFF","Alex","FFPA","Family First Party Australia","N","Preference Percent","3.230"
"SA","185","Hindmarsh","0","ABSENT","0","3","41053","TENNIKOFF","Alex","FFPA","Family First Party Australia","N","Transfer Count","0"
"SA","185","Hindmarsh","0","ABSENT","0","3","41053","TENNIKOFF","Alex","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"SA","185","Hindmarsh","0","ABSENT","0","4","42033","DeANGELIS","Rocco","ON","Pauline Hanson's One Nation","N","Preference Count","258"
