2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","187","Makin","0","ABSENT","0","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Preference Count","176"
"SA","187","Makin","0","ABSENT","0","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Preference Percent","4.170"
"SA","187","Makin","0","ABSENT","0","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Preference Count","751"
"SA","187","Makin","0","ABSENT","0","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Preference Percent","17.800"
"SA","187","Makin","0","ABSENT","0","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Preference Count","182"
"SA","187","Makin","0","ABSENT","0","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Preference Percent","4.310"
"SA","187","Makin","0","ABSENT","0","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Preference Count","253"
"SA","187","Makin","0","ABSENT","0","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Preference Percent","6.000"
"SA","187","Makin","0","ABSENT","0","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","5","42036","DEW-FENNELL","Alison Lee-anne","ON","Pauline Hanson's One Nation","N","Preference Count","335"
"SA","187","Makin","0","ABSENT","0","5","42036","DEW-FENNELL","Alison Lee-anne","ON","Pauline Hanson's One Nation","N","Preference Percent","7.940"
"SA","187","Makin","0","ABSENT","0","5","42036","DEW-FENNELL","Alison Lee-anne","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","5","42036","DEW-FENNELL","Alison Lee-anne","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","6","41071","HANNA","Amelie","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Count","52"
"SA","187","Makin","0","ABSENT","0","6","41071","HANNA","Amelie","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Preference Percent","1.230"
"SA","187","Makin","0","ABSENT","0","6","41071","HANNA","Amelie","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","6","41071","HANNA","Amelie","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","7","41033","ZAGLADOV","Iryna","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","741"
"SA","187","Makin","0","ABSENT","0","7","41033","ZAGLADOV","Iryna","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","17.560"
"SA","187","Makin","0","ABSENT","0","7","41033","ZAGLADOV","Iryna","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","7","41033","ZAGLADOV","Iryna","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","0","8","41172","ZAPPIA","Antonio","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1729"
"SA","187","Makin","0","ABSENT","0","8","41172","ZAPPIA","Antonio","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","40.980"
"SA","187","Makin","0","ABSENT","0","8","41172","ZAPPIA","Antonio","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","187","Makin","0","ABSENT","0","8","41172","ZAPPIA","Antonio","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","187","Makin","0","ABSENT","1","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Preference Count","187"
"SA","187","Makin","0","ABSENT","1","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Preference Percent","4.430"
"SA","187","Makin","0","ABSENT","1","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Transfer Count","11"
"SA","187","Makin","0","ABSENT","1","1","41802","RUSSELL","Geoffrey John","AJP","Animal Justice Party","N","Transfer Percent","21.150"
"SA","187","Makin","0","ABSENT","1","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Preference Count","763"
"SA","187","Makin","0","ABSENT","1","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Preference Percent","18.080"
"SA","187","Makin","0","ABSENT","1","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Transfer Count","12"
"SA","187","Makin","0","ABSENT","1","2","41028","MOORE","Samuel James","GRN","Australian Greens","N","Transfer Percent","23.080"
"SA","187","Makin","0","ABSENT","1","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Preference Count","187"
"SA","187","Makin","0","ABSENT","1","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Preference Percent","4.430"
"SA","187","Makin","0","ABSENT","1","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Transfer Count","5"
"SA","187","Makin","0","ABSENT","1","3","41057","NANCARROW","Sue Maree","FFPA","Family First Party Australia","N","Transfer Percent","9.620"
"SA","187","Makin","0","ABSENT","1","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Preference Count","256"
"SA","187","Makin","0","ABSENT","1","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Preference Percent","6.070"
"SA","187","Makin","0","ABSENT","1","4","41047","ALDRIDGE","Mark Marshell","CYA","Trumpet of Patriots","N","Transfer Count","3"
