2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"SA","190","Sturt","0","ABSENT","0","1","41209","CLUTTERHAM","Claire Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Count","1485"
"SA","190","Sturt","0","ABSENT","0","1","41209","CLUTTERHAM","Claire Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Preference Percent","34.900"
"SA","190","Sturt","0","ABSENT","0","1","41209","CLUTTERHAM","Claire Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Count","0"
"SA","190","Sturt","0","ABSENT","0","1","41209","CLUTTERHAM","Claire Louise","ALP","Australian Labor Party (South Australian Branch)","Y","Transfer Percent","0.000"
"SA","190","Sturt","0","ABSENT","0","2","41061","MERVIN JOSHUA","","FFPA","Family First Party Australia","N","Preference Count","155"
"SA","190","Sturt","0","ABSENT","0","2","41061","MERVIN JOSHUA","","FFPA","Family First Party Australia","N","Preference Percent","3.640"
"SA","190","Sturt","0","ABSENT","0","2","41061","MERVIN JOSHUA","","FFPA","Family First Party Australia","N","Transfer Count","0"
"SA","190","Sturt","0","ABSENT","0","2","41061","MERVIN JOSHUA","","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"SA","190","Sturt","0","ABSENT","0","3","41042","STEVENS","James William","LP","Liberal Party of Australia (S.A. Division)","N","Preference Count","1109"
"SA","190","Sturt","0","ABSENT","0","3","41042","STEVENS","James William","LP","Liberal Party of Australia (S.A. Division)","N","Preference Percent","26.060"
"SA","190","Sturt","0","ABSENT","0","3","41042","STEVENS","James William","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Count","0"
"SA","190","Sturt","0","ABSENT","0","3","41042","STEVENS","James William","LP","Liberal Party of Australia (S.A. Division)","N","Transfer Percent","0.000"
"SA","190","Sturt","0","ABSENT","0","4","40618","COOPER","Verity Jane","IND","Independent","N","Preference Count","228"
"SA","190","Sturt","0","ABSENT","0","4","40618","COOPER","Verity Jane","IND","Independent","N","Preference Percent","5.360"
"SA","190","Sturt","0","ABSENT","0","4","40618","COOPER","Verity Jane","IND","Independent","N","Transfer Count","0"
"SA","190","Sturt","0","ABSENT","0","4","40618","COOPER","Verity Jane","IND","Independent","N","Transfer Percent","0.000"
"SA","190","Sturt","0","ABSENT","0","5","42052","BOGATEC","Peter Ross","ON","Pauline Hanson's One Nation","N","Preference Count","194"
"SA","190","Sturt","0","ABSENT","0","5","42052","BOGATEC","Peter Ross","ON","Pauline Hanson's One Nation","N","Preference Percent","4.560"
"SA","190","Sturt","0","ABSENT","0","5","42052","BOGATEC","Peter Ross","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
