2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"TAS","193","Braddon","0","ABSENT","0","1","42109","KENNEY","Stephen John","CYA","Trumpet of Patriots","N","Preference Count","67"
"TAS","193","Braddon","0","ABSENT","0","1","42109","KENNEY","Stephen John","CYA","Trumpet of Patriots","N","Preference Percent","5.930"
"TAS","193","Braddon","0","ABSENT","0","1","42109","KENNEY","Stephen John","CYA","Trumpet of Patriots","N","Transfer Count","0"
"TAS","193","Braddon","0","ABSENT","0","1","42109","KENNEY","Stephen John","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"TAS","193","Braddon","0","ABSENT","0","2","41321","MORROW","Erin Louise","GRN","Australian Greens","N","Preference Count","174"
"TAS","193","Braddon","0","ABSENT","0","2","41321","MORROW","Erin Louise","GRN","Australian Greens","N","Preference Percent","15.400"
"TAS","193","Braddon","0","ABSENT","0","2","41321","MORROW","Erin Louise","GRN","Australian Greens","N","Transfer Count","0"
"TAS","193","Braddon","0","ABSENT","0","2","41321","MORROW","Erin Louise","GRN","Australian Greens","N","Transfer Percent","0.000"
"TAS","193","Braddon","0","ABSENT","0","3","42065","METHORST","Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","93"
"TAS","193","Braddon","0","ABSENT","0","3","42065","METHORST","Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","8.230"
"TAS","193","Braddon","0","ABSENT","0","3","42065","METHORST","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"TAS","193","Braddon","0","ABSENT","0","3","42065","METHORST","Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"TAS","193","Braddon","0","ABSENT","0","4","41513","URQUHART","Anne Elizabeth","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Count","362"
"TAS","193","Braddon","0","ABSENT","0","4","41513","URQUHART","Anne Elizabeth","ALP","Australian Labor Party (Tasmanian Branch)","Y","Preference Percent","32.040"
"TAS","193","Braddon","0","ABSENT","0","4","41513","URQUHART","Anne Elizabeth","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Count","0"
"TAS","193","Braddon","0","ABSENT","0","4","41513","URQUHART","Anne Elizabeth","ALP","Australian Labor Party (Tasmanian Branch)","Y","Transfer Percent","0.000"
"TAS","193","Braddon","0","ABSENT","0","5","42059","MARTIN","Adam James","IND","Independent","N","Preference Count","105"
"TAS","193","Braddon","0","ABSENT","0","5","42059","MARTIN","Adam James","IND","Independent","N","Preference Percent","9.290"
"TAS","193","Braddon","0","ABSENT","0","5","42059","MARTIN","Adam James","IND","Independent","N","Transfer Count","0"
"TAS","193","Braddon","0","ABSENT","0","5","42059","MARTIN","Adam James","IND","Independent","N","Transfer Percent","0.000"
"TAS","193","Braddon","0","ABSENT","0","6","40762","HINGSTON","Malcolm Bruce","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Count","329"
