2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"TAS","319","Clark","0","ABSENT","0","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Preference Count","1063"
"TAS","319","Clark","0","ABSENT","0","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Preference Percent","42.420"
"TAS","319","Clark","0","ABSENT","0","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Transfer Count","0"
"TAS","319","Clark","0","ABSENT","0","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Transfer Percent","0.000"
"TAS","319","Clark","0","ABSENT","0","2","41157","SHELLEY","Janet Anne","GRN","Australian Greens","N","Preference Count","440"
"TAS","319","Clark","0","ABSENT","0","2","41157","SHELLEY","Janet Anne","GRN","Australian Greens","N","Preference Percent","17.560"
"TAS","319","Clark","0","ABSENT","0","2","41157","SHELLEY","Janet Anne","GRN","Australian Greens","N","Transfer Count","0"
"TAS","319","Clark","0","ABSENT","0","2","41157","SHELLEY","Janet Anne","GRN","Australian Greens","N","Transfer Percent","0.000"
"TAS","319","Clark","0","ABSENT","0","3","40766","DI FLORIO","Marilena","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Count","311"
"TAS","319","Clark","0","ABSENT","0","3","40766","DI FLORIO","Marilena","LP","Liberal Party of Australia - Tasmanian Division","N","Preference Percent","12.410"
"TAS","319","Clark","0","ABSENT","0","3","40766","DI FLORIO","Marilena","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Count","0"
"TAS","319","Clark","0","ABSENT","0","3","40766","DI FLORIO","Marilena","LP","Liberal Party of Australia - Tasmanian Division","N","Transfer Percent","0.000"
"TAS","319","Clark","0","ABSENT","0","4","41524","HECK","Heidi Louise","ALP","Australian Labor Party (Tasmanian Branch)","N","Preference Count","542"
"TAS","319","Clark","0","ABSENT","0","4","41524","HECK","Heidi Louise","ALP","Australian Labor Party (Tasmanian Branch)","N","Preference Percent","21.630"
"TAS","319","Clark","0","ABSENT","0","4","41524","HECK","Heidi Louise","ALP","Australian Labor Party (Tasmanian Branch)","N","Transfer Count","0"
"TAS","319","Clark","0","ABSENT","0","4","41524","HECK","Heidi Louise","ALP","Australian Labor Party (Tasmanian Branch)","N","Transfer Percent","0.000"
"TAS","319","Clark","0","ABSENT","0","5","42055","GRIGGS","Cathy Barbara","ON","Pauline Hanson's One Nation","N","Preference Count","150"
"TAS","319","Clark","0","ABSENT","0","5","42055","GRIGGS","Cathy Barbara","ON","Pauline Hanson's One Nation","N","Preference Percent","5.990"
"TAS","319","Clark","0","ABSENT","0","5","42055","GRIGGS","Cathy Barbara","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"TAS","319","Clark","0","ABSENT","0","5","42055","GRIGGS","Cathy Barbara","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"TAS","319","Clark","0","ABSENT","1","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Preference Count","1128"
"TAS","319","Clark","0","ABSENT","1","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Preference Percent","45.010"
"TAS","319","Clark","0","ABSENT","1","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Transfer Count","65"
"TAS","319","Clark","0","ABSENT","1","1","33553","WILKIE","Andrew Damien","IND","Independent","Y","Transfer Percent","43.330"
"TAS","319","Clark","0","ABSENT","1","2","41157","SHELLEY","Janet Anne","GRN","Australian Greens","N","Preference Count","453"
