2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","198","Ballarat","0","ABSENT","0","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","554"
"VIC","198","Ballarat","0","ABSENT","0","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.980"
"VIC","198","Ballarat","0","ABSENT","0","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","552"
"VIC","198","Ballarat","0","ABSENT","0","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","22.900"
"VIC","198","Ballarat","0","ABSENT","0","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Count","219"
"VIC","198","Ballarat","0","ABSENT","0","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Percent","9.080"
"VIC","198","Ballarat","0","ABSENT","0","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","853"
"VIC","198","Ballarat","0","ABSENT","0","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","35.380"
"VIC","198","Ballarat","0","ABSENT","0","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","5","41833","PARKER","Luke","IND","Independent","N","Preference Count","104"
"VIC","198","Ballarat","0","ABSENT","0","5","41833","PARKER","Luke","IND","Independent","N","Preference Percent","4.310"
"VIC","198","Ballarat","0","ABSENT","0","5","41833","PARKER","Luke","IND","Independent","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","5","41833","PARKER","Luke","IND","Independent","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Count","44"
"VIC","198","Ballarat","0","ABSENT","0","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Percent","1.820"
"VIC","198","Ballarat","0","ABSENT","0","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Count","85"
"VIC","198","Ballarat","0","ABSENT","0","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Percent","3.530"
"VIC","198","Ballarat","0","ABSENT","0","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","1","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","559"
"VIC","198","Ballarat","0","ABSENT","1","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.190"
"VIC","198","Ballarat","0","ABSENT","1","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","5"
"VIC","198","Ballarat","0","ABSENT","1","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","11.360"
"VIC","198","Ballarat","0","ABSENT","1","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","556"
"VIC","198","Ballarat","0","ABSENT","1","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","23.060"
"VIC","198","Ballarat","0","ABSENT","1","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","4"
"VIC","198","Ballarat","0","ABSENT","1","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","9.090"
"VIC","198","Ballarat","0","ABSENT","1","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Count","231"
"VIC","198","Ballarat","0","ABSENT","1","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Percent","9.580"
"VIC","198","Ballarat","0","ABSENT","1","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Count","12"
"VIC","198","Ballarat","0","ABSENT","1","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Percent","27.270"
"VIC","198","Ballarat","0","ABSENT","1","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","859"
"VIC","198","Ballarat","0","ABSENT","1","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","35.630"
"VIC","198","Ballarat","0","ABSENT","1","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","6"
"VIC","198","Ballarat","0","ABSENT","1","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","13.640"
"VIC","198","Ballarat","0","ABSENT","1","5","41833","PARKER","Luke","IND","Independent","N","Preference Count","113"
"VIC","198","Ballarat","0","ABSENT","1","5","41833","PARKER","Luke","IND","Independent","N","Preference Percent","4.690"
"VIC","198","Ballarat","0","ABSENT","1","5","41833","PARKER","Luke","IND","Independent","N","Transfer Count","9"
"VIC","198","Ballarat","0","ABSENT","1","5","41833","PARKER","Luke","IND","Independent","N","Transfer Percent","20.450"
"VIC","198","Ballarat","0","ABSENT","1","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","1","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","1","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Count","-44"
"VIC","198","Ballarat","0","ABSENT","1","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"VIC","198","Ballarat","0","ABSENT","1","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Count","93"
"VIC","198","Ballarat","0","ABSENT","1","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Percent","3.860"
"VIC","198","Ballarat","0","ABSENT","1","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Count","8"
"VIC","198","Ballarat","0","ABSENT","1","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Percent","18.180"
"VIC","198","Ballarat","0","ABSENT","2","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","570"
"VIC","198","Ballarat","0","ABSENT","2","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.640"
"VIC","198","Ballarat","0","ABSENT","2","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","11"
"VIC","198","Ballarat","0","ABSENT","2","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","9.730"
"VIC","198","Ballarat","0","ABSENT","2","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","583"
"VIC","198","Ballarat","0","ABSENT","2","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","24.180"
"VIC","198","Ballarat","0","ABSENT","2","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","27"
"VIC","198","Ballarat","0","ABSENT","2","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","23.890"
"VIC","198","Ballarat","0","ABSENT","2","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Count","247"
"VIC","198","Ballarat","0","ABSENT","2","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Percent","10.240"
"VIC","198","Ballarat","0","ABSENT","2","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"VIC","198","Ballarat","0","ABSENT","2","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Percent","14.160"
"VIC","198","Ballarat","0","ABSENT","2","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","874"
"VIC","198","Ballarat","0","ABSENT","2","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","36.250"
"VIC","198","Ballarat","0","ABSENT","2","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","15"
"VIC","198","Ballarat","0","ABSENT","2","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","13.270"
"VIC","198","Ballarat","0","ABSENT","2","5","41833","PARKER","Luke","IND","Independent","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","2","5","41833","PARKER","Luke","IND","Independent","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","2","5","41833","PARKER","Luke","IND","Independent","N","Transfer Count","-113"
"VIC","198","Ballarat","0","ABSENT","2","5","41833","PARKER","Luke","IND","Independent","N","Transfer Percent","-100.000"
"VIC","198","Ballarat","0","ABSENT","2","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","2","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","2","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","2","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","2","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Count","137"
"VIC","198","Ballarat","0","ABSENT","2","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Percent","5.680"
"VIC","198","Ballarat","0","ABSENT","2","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Count","44"
"VIC","198","Ballarat","0","ABSENT","2","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Percent","38.940"
"VIC","198","Ballarat","0","ABSENT","3","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","596"
"VIC","198","Ballarat","0","ABSENT","3","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","24.720"
"VIC","198","Ballarat","0","ABSENT","3","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","26"
"VIC","198","Ballarat","0","ABSENT","3","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","18.980"
"VIC","198","Ballarat","0","ABSENT","3","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","601"
"VIC","198","Ballarat","0","ABSENT","3","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","24.930"
"VIC","198","Ballarat","0","ABSENT","3","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","18"
"VIC","198","Ballarat","0","ABSENT","3","2","41081","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","13.140"
"VIC","198","Ballarat","0","ABSENT","3","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Count","308"
"VIC","198","Ballarat","0","ABSENT","3","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Preference Percent","12.770"
"VIC","198","Ballarat","0","ABSENT","3","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Count","61"
"VIC","198","Ballarat","0","ABSENT","3","3","41508","PRYSE-SMITH","Terri Elizabeth","ON","Pauline Hanson's One Nation","N","Transfer Percent","44.530"
"VIC","198","Ballarat","0","ABSENT","3","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","906"
"VIC","198","Ballarat","0","ABSENT","3","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.580"
"VIC","198","Ballarat","0","ABSENT","3","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","32"
"VIC","198","Ballarat","0","ABSENT","3","4","40839","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","23.360"
"VIC","198","Ballarat","0","ABSENT","3","5","41833","PARKER","Luke","IND","Independent","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","3","5","41833","PARKER","Luke","IND","Independent","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","3","5","41833","PARKER","Luke","IND","Independent","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","3","5","41833","PARKER","Luke","IND","Independent","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","3","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","3","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","3","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","3","6","41312","REDFERN","Ryan James","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","3","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","198","Ballarat","0","ABSENT","3","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","3","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Count","-137"
"VIC","198","Ballarat","0","ABSENT","3","7","41571","HARKNESS","Ian Maxwell","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"VIC","198","Ballarat","0","ABSENT","4","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","762"
"VIC","198","Ballarat","0","ABSENT","4","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","31.610"
"VIC","198","Ballarat","0","ABSENT","4","1","40785","DORAN","Paula Mary","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","166"
