2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","203","Calwell","0","ABSENT","0","1","40630","MOORE","Carly Anne","IND","Independent","N","Preference Count","363"
"VIC","203","Calwell","0","ABSENT","0","1","40630","MOORE","Carly Anne","IND","Independent","N","Preference Percent","9.510"
"VIC","203","Calwell","0","ABSENT","0","1","40630","MOORE","Carly Anne","IND","Independent","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","1","40630","MOORE","Carly Anne","IND","Independent","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","2","41604","BENGTSSON","Maria","FFPA","Family First Party Australia","N","Preference Count","157"
"VIC","203","Calwell","0","ABSENT","0","2","41604","BENGTSSON","Maria","FFPA","Family First Party Australia","N","Preference Percent","4.110"
"VIC","203","Calwell","0","ABSENT","0","2","41604","BENGTSSON","Maria","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","2","41604","BENGTSSON","Maria","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","3","41232","DEL ROSARIO-MAKRIDIS","Gianni Nicholas","HMP","Legalise Cannabis Australia","N","Preference Count","243"
"VIC","203","Calwell","0","ABSENT","0","3","41232","DEL ROSARIO-MAKRIDIS","Gianni Nicholas","HMP","Legalise Cannabis Australia","N","Preference Percent","6.360"
"VIC","203","Calwell","0","ABSENT","0","3","41232","DEL ROSARIO-MAKRIDIS","Gianni Nicholas","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","3","41232","DEL ROSARIO-MAKRIDIS","Gianni Nicholas","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","4","42008","MOSLIH","Samim Esmat Sayed","IND","Independent","N","Preference Count","182"
"VIC","203","Calwell","0","ABSENT","0","4","42008","MOSLIH","Samim Esmat Sayed","IND","Independent","N","Preference Percent","4.770"
