2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","205","Chisholm","0","ABSENT","0","1","41086","RANDALL","Timothy John","GVIC","The Australian Greens - Victoria","N","Preference Count","930"
"VIC","205","Chisholm","0","ABSENT","0","1","41086","RANDALL","Timothy John","GVIC","The Australian Greens - Victoria","N","Preference Percent","21.130"
"VIC","205","Chisholm","0","ABSENT","0","1","41086","RANDALL","Timothy John","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","205","Chisholm","0","ABSENT","0","1","41086","RANDALL","Timothy John","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","205","Chisholm","0","ABSENT","0","2","41551","ONG","Gary Lik-Tao","FFPA","Family First Party Australia","N","Preference Count","141"
"VIC","205","Chisholm","0","ABSENT","0","2","41551","ONG","Gary Lik-Tao","FFPA","Family First Party Australia","N","Preference Percent","3.200"
"VIC","205","Chisholm","0","ABSENT","0","2","41551","ONG","Gary Lik-Tao","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","205","Chisholm","0","ABSENT","0","2","41551","ONG","Gary Lik-Tao","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","205","Chisholm","0","ABSENT","0","3","41519","LIVORI","Guy Mitchel","ON","Pauline Hanson's One Nation","N","Preference Count","148"
"VIC","205","Chisholm","0","ABSENT","0","3","41519","LIVORI","Guy Mitchel","ON","Pauline Hanson's One Nation","N","Preference Percent","3.360"
"VIC","205","Chisholm","0","ABSENT","0","3","41519","LIVORI","Guy Mitchel","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","205","Chisholm","0","ABSENT","0","3","41519","LIVORI","Guy Mitchel","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","205","Chisholm","0","ABSENT","0","4","40754","ALLEN","Katrina Jane","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1319"
"VIC","205","Chisholm","0","ABSENT","0","4","40754","ALLEN","Katrina Jane","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","29.960"
"VIC","205","Chisholm","0","ABSENT","0","4","40754","ALLEN","Katrina Jane","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","205","Chisholm","0","ABSENT","0","4","40754","ALLEN","Katrina Jane","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","205","Chisholm","0","ABSENT","0","5","41379","McSHANE","Christine Ann","CYA","Trumpet of Patriots","N","Preference Count","118"
"VIC","205","Chisholm","0","ABSENT","0","5","41379","McSHANE","Christine Ann","CYA","Trumpet of Patriots","N","Preference Percent","2.680"
"VIC","205","Chisholm","0","ABSENT","0","5","41379","McSHANE","Christine Ann","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","205","Chisholm","0","ABSENT","0","5","41379","McSHANE","Christine Ann","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","205","Chisholm","0","ABSENT","0","6","40845","GARLAND","Carina Mary Lindsay","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1504"
"VIC","205","Chisholm","0","ABSENT","0","6","40845","GARLAND","Carina Mary Lindsay","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","34.170"
