2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","328","Corangamite","0","ABSENT","0","1","41191","LOCKHART","Kathryn Fay","IND","Independent","N","Preference Count","171"
"VIC","328","Corangamite","0","ABSENT","0","1","41191","LOCKHART","Kathryn Fay","IND","Independent","N","Preference Percent","4.940"
"VIC","328","Corangamite","0","ABSENT","0","1","41191","LOCKHART","Kathryn Fay","IND","Independent","N","Transfer Count","0"
"VIC","328","Corangamite","0","ABSENT","0","1","41191","LOCKHART","Kathryn Fay","IND","Independent","N","Transfer Percent","0.000"
"VIC","328","Corangamite","0","ABSENT","0","2","41380","JACKSON","James","CYA","Trumpet of Patriots","N","Preference Count","135"
"VIC","328","Corangamite","0","ABSENT","0","2","41380","JACKSON","James","CYA","Trumpet of Patriots","N","Preference Percent","3.900"
"VIC","328","Corangamite","0","ABSENT","0","2","41380","JACKSON","James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","328","Corangamite","0","ABSENT","0","2","41380","JACKSON","James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","328","Corangamite","0","ABSENT","0","3","41911","BARKER","Paul Adam","LTP","Libertarian Party","N","Preference Count","64"
"VIC","328","Corangamite","0","ABSENT","0","3","41911","BARKER","Paul Adam","LTP","Libertarian Party","N","Preference Percent","1.850"
"VIC","328","Corangamite","0","ABSENT","0","3","41911","BARKER","Paul Adam","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","328","Corangamite","0","ABSENT","0","3","41911","BARKER","Paul Adam","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","328","Corangamite","0","ABSENT","0","4","41088","POPE","Mitchell Christopher","GVIC","The Australian Greens - Victoria","N","Preference Count","745"
