2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","212","Gellibrand","0","ABSENT","0","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1529"
"VIC","212","Gellibrand","0","ABSENT","0","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","43.560"
"VIC","212","Gellibrand","0","ABSENT","0","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","212","Gellibrand","0","ABSENT","0","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","0","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Count","244"
"VIC","212","Gellibrand","0","ABSENT","0","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Percent","6.950"
"VIC","212","Gellibrand","0","ABSENT","0","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","212","Gellibrand","0","ABSENT","0","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","0","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","760"
"VIC","212","Gellibrand","0","ABSENT","0","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","21.650"
"VIC","212","Gellibrand","0","ABSENT","0","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","212","Gellibrand","0","ABSENT","0","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","0","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Preference Count","785"
"VIC","212","Gellibrand","0","ABSENT","0","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Preference Percent","22.360"
"VIC","212","Gellibrand","0","ABSENT","0","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","212","Gellibrand","0","ABSENT","0","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","0","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Preference Count","192"
"VIC","212","Gellibrand","0","ABSENT","0","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Preference Percent","5.470"
"VIC","212","Gellibrand","0","ABSENT","0","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","212","Gellibrand","0","ABSENT","0","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","1","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1565"
"VIC","212","Gellibrand","0","ABSENT","1","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","44.590"
"VIC","212","Gellibrand","0","ABSENT","1","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","36"
"VIC","212","Gellibrand","0","ABSENT","1","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","18.750"
"VIC","212","Gellibrand","0","ABSENT","1","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Count","303"
"VIC","212","Gellibrand","0","ABSENT","1","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Percent","8.630"
"VIC","212","Gellibrand","0","ABSENT","1","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Count","59"
"VIC","212","Gellibrand","0","ABSENT","1","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.730"
"VIC","212","Gellibrand","0","ABSENT","1","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","794"
"VIC","212","Gellibrand","0","ABSENT","1","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.620"
"VIC","212","Gellibrand","0","ABSENT","1","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","34"
"VIC","212","Gellibrand","0","ABSENT","1","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","17.710"
"VIC","212","Gellibrand","0","ABSENT","1","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Preference Count","848"
"VIC","212","Gellibrand","0","ABSENT","1","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Preference Percent","24.160"
"VIC","212","Gellibrand","0","ABSENT","1","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Transfer Count","63"
"VIC","212","Gellibrand","0","ABSENT","1","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Transfer Percent","32.810"
"VIC","212","Gellibrand","0","ABSENT","1","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","212","Gellibrand","0","ABSENT","1","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","1","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Transfer Count","-192"
"VIC","212","Gellibrand","0","ABSENT","1","5","41577","GARCIA","Joanne Margaret","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"VIC","212","Gellibrand","0","ABSENT","2","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1635"
"VIC","212","Gellibrand","0","ABSENT","2","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","46.580"
"VIC","212","Gellibrand","0","ABSENT","2","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","70"
"VIC","212","Gellibrand","0","ABSENT","2","1","40836","WATTS","Timothy Graham","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","23.100"
"VIC","212","Gellibrand","0","ABSENT","2","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","212","Gellibrand","0","ABSENT","2","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","212","Gellibrand","0","ABSENT","2","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Count","-303"
"VIC","212","Gellibrand","0","ABSENT","2","2","41537","BENNETT","Stephen Max","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"VIC","212","Gellibrand","0","ABSENT","2","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","972"
"VIC","212","Gellibrand","0","ABSENT","2","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.690"
"VIC","212","Gellibrand","0","ABSENT","2","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","178"
"VIC","212","Gellibrand","0","ABSENT","2","3","40755","REESON","Benjamin Joshua","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","58.750"
"VIC","212","Gellibrand","0","ABSENT","2","4","41121","KRISHNA PANDI","Ponraj","GVIC","The Australian Greens - Victoria","N","Preference Count","903"
