2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","309","Gorton","0","ABSENT","0","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Count","336"
"VIC","309","Gorton","0","ABSENT","0","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Percent","9.650"
"VIC","309","Gorton","0","ABSENT","0","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Count","70"
"VIC","309","Gorton","0","ABSENT","0","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Percent","2.010"
"VIC","309","Gorton","0","ABSENT","0","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1321"
"VIC","309","Gorton","0","ABSENT","0","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.930"
"VIC","309","Gorton","0","ABSENT","0","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Count","176"
"VIC","309","Gorton","0","ABSENT","0","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Percent","5.050"
"VIC","309","Gorton","0","ABSENT","0","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","759"
"VIC","309","Gorton","0","ABSENT","0","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","21.790"
"VIC","309","Gorton","0","ABSENT","0","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","218"
"VIC","309","Gorton","0","ABSENT","0","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","6.260"
"VIC","309","Gorton","0","ABSENT","0","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","0","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Count","603"
"VIC","309","Gorton","0","ABSENT","0","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.310"
"VIC","309","Gorton","0","ABSENT","0","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","0","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","1","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Count","351"
"VIC","309","Gorton","0","ABSENT","1","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Percent","10.080"
"VIC","309","Gorton","0","ABSENT","1","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Count","15"
"VIC","309","Gorton","0","ABSENT","1","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Percent","21.430"
"VIC","309","Gorton","0","ABSENT","1","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Count","0"
"VIC","309","Gorton","0","ABSENT","1","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","309","Gorton","0","ABSENT","1","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Count","-70"
"VIC","309","Gorton","0","ABSENT","1","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"VIC","309","Gorton","0","ABSENT","1","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1329"
"VIC","309","Gorton","0","ABSENT","1","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","38.160"
"VIC","309","Gorton","0","ABSENT","1","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","8"
"VIC","309","Gorton","0","ABSENT","1","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","11.430"
"VIC","309","Gorton","0","ABSENT","1","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Count","196"
"VIC","309","Gorton","0","ABSENT","1","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Percent","5.630"
"VIC","309","Gorton","0","ABSENT","1","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Count","20"
"VIC","309","Gorton","0","ABSENT","1","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Percent","28.570"
"VIC","309","Gorton","0","ABSENT","1","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","772"
"VIC","309","Gorton","0","ABSENT","1","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.160"
"VIC","309","Gorton","0","ABSENT","1","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","13"
"VIC","309","Gorton","0","ABSENT","1","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","18.570"
"VIC","309","Gorton","0","ABSENT","1","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","231"
"VIC","309","Gorton","0","ABSENT","1","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","6.630"
"VIC","309","Gorton","0","ABSENT","1","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","13"
"VIC","309","Gorton","0","ABSENT","1","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","18.570"
"VIC","309","Gorton","0","ABSENT","1","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Count","604"
"VIC","309","Gorton","0","ABSENT","1","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.340"
"VIC","309","Gorton","0","ABSENT","1","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Count","1"
"VIC","309","Gorton","0","ABSENT","1","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Percent","1.430"
"VIC","309","Gorton","0","ABSENT","2","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Count","385"
"VIC","309","Gorton","0","ABSENT","2","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Percent","11.050"
"VIC","309","Gorton","0","ABSENT","2","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Count","34"
"VIC","309","Gorton","0","ABSENT","2","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Transfer Percent","17.350"
"VIC","309","Gorton","0","ABSENT","2","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Count","0"
"VIC","309","Gorton","0","ABSENT","2","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","309","Gorton","0","ABSENT","2","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","309","Gorton","0","ABSENT","2","2","41313","McCATHIE","Robert Andrew","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","309","Gorton","0","ABSENT","2","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1383"
"VIC","309","Gorton","0","ABSENT","2","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","39.710"
"VIC","309","Gorton","0","ABSENT","2","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","54"
"VIC","309","Gorton","0","ABSENT","2","3","40823","JORDAN-BAIRD","Marion Alice Marguerite","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","27.550"
"VIC","309","Gorton","0","ABSENT","2","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","309","Gorton","0","ABSENT","2","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","309","Gorton","0","ABSENT","2","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Count","-196"
"VIC","309","Gorton","0","ABSENT","2","4","41586","ASHTON","Kathrine Elizabeth","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"VIC","309","Gorton","0","ABSENT","2","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","808"
"VIC","309","Gorton","0","ABSENT","2","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.200"
"VIC","309","Gorton","0","ABSENT","2","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","36"
"VIC","309","Gorton","0","ABSENT","2","5","40743","FLETCHER","John William","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","18.370"
"VIC","309","Gorton","0","ABSENT","2","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Count","276"
"VIC","309","Gorton","0","ABSENT","2","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Preference Percent","7.920"
"VIC","309","Gorton","0","ABSENT","2","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Count","45"
"VIC","309","Gorton","0","ABSENT","2","6","41553","REID","Alan Christopher","ON","Pauline Hanson's One Nation","N","Transfer Percent","22.960"
"VIC","309","Gorton","0","ABSENT","2","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Count","631"
"VIC","309","Gorton","0","ABSENT","2","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.120"
"VIC","309","Gorton","0","ABSENT","2","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Count","27"
"VIC","309","Gorton","0","ABSENT","2","7","41107","HUYNH","Thuc Bao","GVIC","The Australian Greens - Victoria","N","Transfer Percent","13.780"
"VIC","309","Gorton","0","ABSENT","3","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Count","0"
"VIC","309","Gorton","0","ABSENT","3","1","41218","MENTA","Xavier","HMP","Legalise Cannabis Australia","N","Preference Percent","0.000"
