2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","217","Hotham","0","ABSENT","0","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Preference Count","172"
"VIC","217","Hotham","0","ABSENT","0","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Preference Percent","3.430"
"VIC","217","Hotham","0","ABSENT","0","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","0","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Preference Count","1060"
"VIC","217","Hotham","0","ABSENT","0","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Preference Percent","21.120"
"VIC","217","Hotham","0","ABSENT","0","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","0","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Preference Count","310"
"VIC","217","Hotham","0","ABSENT","0","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Preference Percent","6.180"
"VIC","217","Hotham","0","ABSENT","0","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","0","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Preference Count","228"
"VIC","217","Hotham","0","ABSENT","0","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Preference Percent","4.540"
"VIC","217","Hotham","0","ABSENT","0","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","0","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","2061"
"VIC","217","Hotham","0","ABSENT","0","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","41.070"
"VIC","217","Hotham","0","ABSENT","0","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","0","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1187"
"VIC","217","Hotham","0","ABSENT","0","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.650"
"VIC","217","Hotham","0","ABSENT","0","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","217","Hotham","0","ABSENT","0","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","217","Hotham","0","ABSENT","1","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Preference Count","0"
"VIC","217","Hotham","0","ABSENT","1","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Preference Percent","0.000"
"VIC","217","Hotham","0","ABSENT","1","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Transfer Count","-172"
"VIC","217","Hotham","0","ABSENT","1","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Transfer Percent","-100.000"
"VIC","217","Hotham","0","ABSENT","1","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Preference Count","1152"
"VIC","217","Hotham","0","ABSENT","1","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Preference Percent","22.960"
"VIC","217","Hotham","0","ABSENT","1","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Transfer Count","92"
"VIC","217","Hotham","0","ABSENT","1","2","41115","BARRY","Martin Ryan","GVIC","The Australian Greens - Victoria","N","Transfer Percent","53.490"
"VIC","217","Hotham","0","ABSENT","1","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Preference Count","336"
"VIC","217","Hotham","0","ABSENT","1","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Preference Percent","6.700"
"VIC","217","Hotham","0","ABSENT","1","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Transfer Count","26"
"VIC","217","Hotham","0","ABSENT","1","3","41627","FOGARTY","Stuart John","ON","Pauline Hanson's One Nation","N","Transfer Percent","15.120"
"VIC","217","Hotham","0","ABSENT","1","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Preference Count","260"
"VIC","217","Hotham","0","ABSENT","1","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Preference Percent","5.180"
"VIC","217","Hotham","0","ABSENT","1","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Transfer Count","32"
"VIC","217","Hotham","0","ABSENT","1","4","41595","BROWN","Mark Ashley","FFPA","Family First Party Australia","N","Transfer Percent","18.600"
"VIC","217","Hotham","0","ABSENT","1","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","2075"
"VIC","217","Hotham","0","ABSENT","1","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","41.350"
"VIC","217","Hotham","0","ABSENT","1","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","14"
"VIC","217","Hotham","0","ABSENT","1","5","40848","O'NEIL","Clare Ellen","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","8.140"
"VIC","217","Hotham","0","ABSENT","1","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1195"
"VIC","217","Hotham","0","ABSENT","1","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.810"
"VIC","217","Hotham","0","ABSENT","1","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","8"
"VIC","217","Hotham","0","ABSENT","1","6","40744","MATHARU","Harmick Singh","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","4.650"
"VIC","217","Hotham","0","ABSENT","2","1","40701","VAINORAS","Anthony","CEC","Australian Citizens Party","N","Preference Count","0"
