2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","221","Kooyong","0","ABSENT","0","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Count","104"
"VIC","221","Kooyong","0","ABSENT","0","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Percent","2.220"
"VIC","221","Kooyong","0","ABSENT","0","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1597"
"VIC","221","Kooyong","0","ABSENT","0","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","34.120"
"VIC","221","Kooyong","0","ABSENT","0","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","740"
"VIC","221","Kooyong","0","ABSENT","0","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","15.810"
"VIC","221","Kooyong","0","ABSENT","0","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Count","95"
"VIC","221","Kooyong","0","ABSENT","0","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Percent","2.030"
"VIC","221","Kooyong","0","ABSENT","0","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Count","67"
"VIC","221","Kooyong","0","ABSENT","0","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Percent","1.430"
"VIC","221","Kooyong","0","ABSENT","0","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Count","1269"
"VIC","221","Kooyong","0","ABSENT","0","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Percent","27.120"
"VIC","221","Kooyong","0","ABSENT","0","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","0","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","808"
"VIC","221","Kooyong","0","ABSENT","0","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","17.260"
"VIC","221","Kooyong","0","ABSENT","0","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","0","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","1","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Count","106"
"VIC","221","Kooyong","0","ABSENT","1","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Percent","2.260"
"VIC","221","Kooyong","0","ABSENT","1","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Count","2"
"VIC","221","Kooyong","0","ABSENT","1","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Percent","2.990"
"VIC","221","Kooyong","0","ABSENT","1","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1615"
"VIC","221","Kooyong","0","ABSENT","1","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","34.510"
"VIC","221","Kooyong","0","ABSENT","1","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","18"
"VIC","221","Kooyong","0","ABSENT","1","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","26.870"
"VIC","221","Kooyong","0","ABSENT","1","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","744"
"VIC","221","Kooyong","0","ABSENT","1","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","15.900"
"VIC","221","Kooyong","0","ABSENT","1","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","4"
"VIC","221","Kooyong","0","ABSENT","1","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","5.970"
"VIC","221","Kooyong","0","ABSENT","1","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Count","124"
"VIC","221","Kooyong","0","ABSENT","1","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Percent","2.650"
"VIC","221","Kooyong","0","ABSENT","1","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Count","29"
"VIC","221","Kooyong","0","ABSENT","1","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Percent","43.280"
"VIC","221","Kooyong","0","ABSENT","1","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","1","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","1","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Count","-67"
"VIC","221","Kooyong","0","ABSENT","1","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Percent","-100.000"
"VIC","221","Kooyong","0","ABSENT","1","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Count","1278"
"VIC","221","Kooyong","0","ABSENT","1","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Percent","27.310"
"VIC","221","Kooyong","0","ABSENT","1","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Count","9"
"VIC","221","Kooyong","0","ABSENT","1","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Percent","13.430"
"VIC","221","Kooyong","0","ABSENT","1","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","813"
"VIC","221","Kooyong","0","ABSENT","1","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","17.370"
"VIC","221","Kooyong","0","ABSENT","1","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","5"
"VIC","221","Kooyong","0","ABSENT","1","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","7.460"
"VIC","221","Kooyong","0","ABSENT","2","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","2","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","2","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Count","-106"
"VIC","221","Kooyong","0","ABSENT","2","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Percent","-100.000"
"VIC","221","Kooyong","0","ABSENT","2","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1656"
"VIC","221","Kooyong","0","ABSENT","2","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","35.380"
"VIC","221","Kooyong","0","ABSENT","2","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","41"
"VIC","221","Kooyong","0","ABSENT","2","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","38.680"
"VIC","221","Kooyong","0","ABSENT","2","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","752"
"VIC","221","Kooyong","0","ABSENT","2","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.070"
"VIC","221","Kooyong","0","ABSENT","2","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","8"
"VIC","221","Kooyong","0","ABSENT","2","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","7.550"
"VIC","221","Kooyong","0","ABSENT","2","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Count","163"
"VIC","221","Kooyong","0","ABSENT","2","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Percent","3.480"
"VIC","221","Kooyong","0","ABSENT","2","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Count","39"
"VIC","221","Kooyong","0","ABSENT","2","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Percent","36.790"
"VIC","221","Kooyong","0","ABSENT","2","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","2","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","2","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","2","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","2","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Count","1288"
"VIC","221","Kooyong","0","ABSENT","2","6","36081","RYAN","Monique Marie","IND","Independent","Y","Preference Percent","27.520"
"VIC","221","Kooyong","0","ABSENT","2","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Count","10"
"VIC","221","Kooyong","0","ABSENT","2","6","36081","RYAN","Monique Marie","IND","Independent","Y","Transfer Percent","9.430"
"VIC","221","Kooyong","0","ABSENT","2","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","821"
"VIC","221","Kooyong","0","ABSENT","2","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","17.540"
"VIC","221","Kooyong","0","ABSENT","2","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","8"
"VIC","221","Kooyong","0","ABSENT","2","7","40827","CROSBY","Clive Stuart","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","7.550"
"VIC","221","Kooyong","0","ABSENT","3","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","3","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","3","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","3","1","41311","PEPPARD","Richard Francis","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","3","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1758"
"VIC","221","Kooyong","0","ABSENT","3","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","37.560"
"VIC","221","Kooyong","0","ABSENT","3","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","102"
"VIC","221","Kooyong","0","ABSENT","3","2","40763","HAMER","Amelia Elizabeth","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","62.580"
"VIC","221","Kooyong","0","ABSENT","3","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Count","768"
"VIC","221","Kooyong","0","ABSENT","3","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.410"
"VIC","221","Kooyong","0","ABSENT","3","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Count","16"
"VIC","221","Kooyong","0","ABSENT","3","3","41098","CARTER","Jacqueline Maree","GVIC","The Australian Greens - Victoria","N","Transfer Percent","9.820"
"VIC","221","Kooyong","0","ABSENT","3","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","3","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","3","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Count","-163"
"VIC","221","Kooyong","0","ABSENT","3","4","41611","BRACHE","Camille","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"VIC","221","Kooyong","0","ABSENT","3","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Count","0"
"VIC","221","Kooyong","0","ABSENT","3","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Preference Percent","0.000"
"VIC","221","Kooyong","0","ABSENT","3","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","221","Kooyong","0","ABSENT","3","5","41384","VADER","David James","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
