2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","222","Lalor","0","ABSENT","0","1","41103","PARRIS","Owen McDonald","GVIC","The Australian Greens - Victoria","N","Preference Count","688"
"VIC","222","Lalor","0","ABSENT","0","1","41103","PARRIS","Owen McDonald","GVIC","The Australian Greens - Victoria","N","Preference Percent","23.010"
"VIC","222","Lalor","0","ABSENT","0","1","41103","PARRIS","Owen McDonald","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","1","41103","PARRIS","Owen McDonald","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","222","Lalor","0","ABSENT","0","2","40835","RYAN","Joanne","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1172"
"VIC","222","Lalor","0","ABSENT","0","2","40835","RYAN","Joanne","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","39.200"
"VIC","222","Lalor","0","ABSENT","0","2","40835","RYAN","Joanne","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","2","40835","RYAN","Joanne","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","222","Lalor","0","ABSENT","0","3","41566","EMERSON","Matthew James Alexander","FFPA","Family First Party Australia","N","Preference Count","180"
"VIC","222","Lalor","0","ABSENT","0","3","41566","EMERSON","Matthew James Alexander","FFPA","Family First Party Australia","N","Preference Percent","6.020"
"VIC","222","Lalor","0","ABSENT","0","3","41566","EMERSON","Matthew James Alexander","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","3","41566","EMERSON","Matthew James Alexander","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","222","Lalor","0","ABSENT","0","4","41615","OOSTHUIZEN","Jason Charles","ON","Pauline Hanson's One Nation","N","Preference Count","206"
"VIC","222","Lalor","0","ABSENT","0","4","41615","OOSTHUIZEN","Jason Charles","ON","Pauline Hanson's One Nation","N","Preference Percent","6.890"
"VIC","222","Lalor","0","ABSENT","0","4","41615","OOSTHUIZEN","Jason Charles","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","4","41615","OOSTHUIZEN","Jason Charles","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","222","Lalor","0","ABSENT","0","5","40779","D'SILVA","Meera","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","621"
"VIC","222","Lalor","0","ABSENT","0","5","40779","D'SILVA","Meera","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","20.770"
"VIC","222","Lalor","0","ABSENT","0","5","40779","D'SILVA","Meera","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","5","40779","D'SILVA","Meera","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","222","Lalor","0","ABSENT","0","6","32267","MOINUDDIN","Aijaz","IND","Independent","N","Preference Count","85"
"VIC","222","Lalor","0","ABSENT","0","6","32267","MOINUDDIN","Aijaz","IND","Independent","N","Preference Percent","2.840"
"VIC","222","Lalor","0","ABSENT","0","6","32267","MOINUDDIN","Aijaz","IND","Independent","N","Transfer Count","0"
"VIC","222","Lalor","0","ABSENT","0","6","32267","MOINUDDIN","Aijaz","IND","Independent","N","Transfer Percent","0.000"
