2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","223","La Trobe","0","ABSENT","0","1","41404","HARDIMAN","Gregory Thomas","CYA","Trumpet of Patriots","N","Preference Count","255"
"VIC","223","La Trobe","0","ABSENT","0","1","41404","HARDIMAN","Gregory Thomas","CYA","Trumpet of Patriots","N","Preference Percent","6.170"
"VIC","223","La Trobe","0","ABSENT","0","1","41404","HARDIMAN","Gregory Thomas","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","223","La Trobe","0","ABSENT","0","1","41404","HARDIMAN","Gregory Thomas","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","223","La Trobe","0","ABSENT","0","2","40828","SPRINGFIELD","Jeffrey Frederick","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","1292"
"VIC","223","La Trobe","0","ABSENT","0","2","40828","SPRINGFIELD","Jeffrey Frederick","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","31.280"
"VIC","223","La Trobe","0","ABSENT","0","2","40828","SPRINGFIELD","Jeffrey Frederick","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","223","La Trobe","0","ABSENT","0","2","40828","SPRINGFIELD","Jeffrey Frederick","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","223","La Trobe","0","ABSENT","0","3","41735","MALHOTRA","Ron","FFPA","Family First Party Australia","N","Preference Count","216"
"VIC","223","La Trobe","0","ABSENT","0","3","41735","MALHOTRA","Ron","FFPA","Family First Party Australia","N","Preference Percent","5.230"
"VIC","223","La Trobe","0","ABSENT","0","3","41735","MALHOTRA","Ron","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","223","La Trobe","0","ABSENT","0","3","41735","MALHOTRA","Ron","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","223","La Trobe","0","ABSENT","0","4","40772","WOOD","Jason Peter","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","1236"
"VIC","223","La Trobe","0","ABSENT","0","4","40772","WOOD","Jason Peter","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","29.930"
"VIC","223","La Trobe","0","ABSENT","0","4","40772","WOOD","Jason Peter","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","223","La Trobe","0","ABSENT","0","4","40772","WOOD","Jason Peter","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","223","La Trobe","0","ABSENT","0","5","41104","LONGMUIR","Jamie Trevor","GVIC","The Australian Greens - Victoria","N","Preference Count","715"
"VIC","223","La Trobe","0","ABSENT","0","5","41104","LONGMUIR","Jamie Trevor","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.310"
"VIC","223","La Trobe","0","ABSENT","0","5","41104","LONGMUIR","Jamie Trevor","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","223","La Trobe","0","ABSENT","0","5","41104","LONGMUIR","Jamie Trevor","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","223","La Trobe","0","ABSENT","0","6","41612","PANETTA","Leo Gustavo","ON","Pauline Hanson's One Nation","N","Preference Count","416"
"VIC","223","La Trobe","0","ABSENT","0","6","41612","PANETTA","Leo Gustavo","ON","Pauline Hanson's One Nation","N","Preference Percent","10.070"
"VIC","223","La Trobe","0","ABSENT","0","6","41612","PANETTA","Leo Gustavo","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
