2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","224","Mallee","0","ABSENT","0","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","334"
"VIC","224","Mallee","0","ABSENT","0","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.900"
"VIC","224","Mallee","0","ABSENT","0","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Preference Count","552"
"VIC","224","Mallee","0","ABSENT","0","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Preference Percent","29.580"
"VIC","224","Mallee","0","ABSENT","0","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Preference Count","26"
"VIC","224","Mallee","0","ABSENT","0","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Preference Percent","1.390"
"VIC","224","Mallee","0","ABSENT","0","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Preference Count","111"
"VIC","224","Mallee","0","ABSENT","0","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Preference Percent","5.950"
"VIC","224","Mallee","0","ABSENT","0","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","5","40824","OLSEN","Gregory Alan","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","427"
"VIC","224","Mallee","0","ABSENT","0","5","40824","OLSEN","Gregory Alan","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","22.880"
"VIC","224","Mallee","0","ABSENT","0","5","40824","OLSEN","Gregory Alan","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","5","40824","OLSEN","Gregory Alan","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","6","41613","WILLIAMS","Vaughan Robert","ON","Pauline Hanson's One Nation","N","Preference Count","221"
"VIC","224","Mallee","0","ABSENT","0","6","41613","WILLIAMS","Vaughan Robert","ON","Pauline Hanson's One Nation","N","Preference Percent","11.840"
"VIC","224","Mallee","0","ABSENT","0","6","41613","WILLIAMS","Vaughan Robert","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","6","41613","WILLIAMS","Vaughan Robert","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","7","41308","BARRY","Jeffrey Robert William","LTP","Libertarian Party","N","Preference Count","96"
"VIC","224","Mallee","0","ABSENT","0","7","41308","BARRY","Jeffrey Robert William","LTP","Libertarian Party","N","Preference Percent","5.140"
"VIC","224","Mallee","0","ABSENT","0","7","41308","BARRY","Jeffrey Robert William","LTP","Libertarian Party","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","7","41308","BARRY","Jeffrey Robert William","LTP","Libertarian Party","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","0","8","41583","GRAY","Ashleigh Lyndon","FFPA","Family First Party Australia","N","Preference Count","99"
"VIC","224","Mallee","0","ABSENT","0","8","41583","GRAY","Ashleigh Lyndon","FFPA","Family First Party Australia","N","Preference Percent","5.310"
"VIC","224","Mallee","0","ABSENT","0","8","41583","GRAY","Ashleigh Lyndon","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","224","Mallee","0","ABSENT","0","8","41583","GRAY","Ashleigh Lyndon","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","224","Mallee","0","ABSENT","1","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","338"
"VIC","224","Mallee","0","ABSENT","1","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.110"
"VIC","224","Mallee","0","ABSENT","1","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","4"
"VIC","224","Mallee","0","ABSENT","1","1","41116","ROWAN","Nicole Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","15.380"
"VIC","224","Mallee","0","ABSENT","1","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Preference Count","558"
"VIC","224","Mallee","0","ABSENT","1","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Preference Percent","29.900"
"VIC","224","Mallee","0","ABSENT","1","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Transfer Count","6"
"VIC","224","Mallee","0","ABSENT","1","2","41140","WEBSTER","Anne Elizabeth","NP","National Party of Australia - Victoria","Y","Transfer Percent","23.080"
"VIC","224","Mallee","0","ABSENT","1","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Preference Count","0"
"VIC","224","Mallee","0","ABSENT","1","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Preference Percent","0.000"
"VIC","224","Mallee","0","ABSENT","1","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Transfer Count","-26"
"VIC","224","Mallee","0","ABSENT","1","3","40699","LAHY","Christopher Michael","CEC","Australian Citizens Party","N","Transfer Percent","-100.000"
"VIC","224","Mallee","0","ABSENT","1","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Preference Count","115"
"VIC","224","Mallee","0","ABSENT","1","4","41418","VEITCH","Adam Troy","CYA","Trumpet of Patriots","N","Preference Percent","6.160"
