2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","225","Maribyrnong","0","ABSENT","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","1348"
"VIC","225","Maribyrnong","0","ABSENT","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","31.580"
"VIC","225","Maribyrnong","0","ABSENT","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","ABSENT","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1593"
"VIC","225","Maribyrnong","0","ABSENT","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.320"
"VIC","225","Maribyrnong","0","ABSENT","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","225","Maribyrnong","0","ABSENT","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1006"
"VIC","225","Maribyrnong","0","ABSENT","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.570"
"VIC","225","Maribyrnong","0","ABSENT","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","ABSENT","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","322"
"VIC","225","Maribyrnong","0","ABSENT","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","7.540"
"VIC","225","Maribyrnong","0","ABSENT","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","ABSENT","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","1409"
"VIC","225","Maribyrnong","0","ABSENT","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","33.010"
"VIC","225","Maribyrnong","0","ABSENT","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","61"
"VIC","225","Maribyrnong","0","ABSENT","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","18.940"
"VIC","225","Maribyrnong","0","ABSENT","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1655"
"VIC","225","Maribyrnong","0","ABSENT","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","38.770"
"VIC","225","Maribyrnong","0","ABSENT","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","62"
"VIC","225","Maribyrnong","0","ABSENT","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","19.250"
"VIC","225","Maribyrnong","0","ABSENT","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1205"
"VIC","225","Maribyrnong","0","ABSENT","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","28.230"
"VIC","225","Maribyrnong","0","ABSENT","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","199"
"VIC","225","Maribyrnong","0","ABSENT","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","61.800"
"VIC","225","Maribyrnong","0","ABSENT","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","225","Maribyrnong","0","ABSENT","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","-322"
"VIC","225","Maribyrnong","0","ABSENT","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"VIC","225","Maribyrnong","0","ABSENT","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","0"
"VIC","225","Maribyrnong","0","ABSENT","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","-1409"
"VIC","225","Maribyrnong","0","ABSENT","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","-100.000"
"VIC","225","Maribyrnong","0","ABSENT","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","2913"
"VIC","225","Maribyrnong","0","ABSENT","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","68.240"
"VIC","225","Maribyrnong","0","ABSENT","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","1258"
"VIC","225","Maribyrnong","0","ABSENT","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","89.280"
"VIC","225","Maribyrnong","0","ABSENT","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1356"
"VIC","225","Maribyrnong","0","ABSENT","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","31.760"
"VIC","225","Maribyrnong","0","ABSENT","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","151"
"VIC","225","Maribyrnong","0","ABSENT","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","10.720"
"VIC","225","Maribyrnong","0","ABSENT","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","225","Maribyrnong","0","ABSENT","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","ABSENT","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","ABSENT","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","3308"
"VIC","225","Maribyrnong","0","POSTAL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.090"
"VIC","225","Maribyrnong","0","POSTAL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","POSTAL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","8718"
"VIC","225","Maribyrnong","0","POSTAL","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","42.400"
"VIC","225","Maribyrnong","0","POSTAL","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","225","Maribyrnong","0","POSTAL","0","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","6833"
"VIC","225","Maribyrnong","0","POSTAL","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","33.230"
"VIC","225","Maribyrnong","0","POSTAL","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","POSTAL","0","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","1701"
"VIC","225","Maribyrnong","0","POSTAL","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","8.270"
"VIC","225","Maribyrnong","0","POSTAL","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","POSTAL","0","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","3591"
"VIC","225","Maribyrnong","0","POSTAL","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.470"
"VIC","225","Maribyrnong","0","POSTAL","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","283"
"VIC","225","Maribyrnong","0","POSTAL","1","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","16.640"
"VIC","225","Maribyrnong","0","POSTAL","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","9024"
"VIC","225","Maribyrnong","0","POSTAL","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","43.890"
"VIC","225","Maribyrnong","0","POSTAL","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","306"
"VIC","225","Maribyrnong","0","POSTAL","1","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","17.990"
"VIC","225","Maribyrnong","0","POSTAL","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","7945"
"VIC","225","Maribyrnong","0","POSTAL","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","38.640"
"VIC","225","Maribyrnong","0","POSTAL","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","1112"
"VIC","225","Maribyrnong","0","POSTAL","1","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","65.370"
"VIC","225","Maribyrnong","0","POSTAL","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","225","Maribyrnong","0","POSTAL","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","-1701"
"VIC","225","Maribyrnong","0","POSTAL","1","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"VIC","225","Maribyrnong","0","POSTAL","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","0"
"VIC","225","Maribyrnong","0","POSTAL","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","-3591"
"VIC","225","Maribyrnong","0","POSTAL","2","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","-100.000"
"VIC","225","Maribyrnong","0","POSTAL","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","12184"
"VIC","225","Maribyrnong","0","POSTAL","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","59.260"
"VIC","225","Maribyrnong","0","POSTAL","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","3160"
"VIC","225","Maribyrnong","0","POSTAL","2","2","40821","BRISKEY","Joanna Leigh","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","88.000"
"VIC","225","Maribyrnong","0","POSTAL","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","8376"
"VIC","225","Maribyrnong","0","POSTAL","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","40.740"
"VIC","225","Maribyrnong","0","POSTAL","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","431"
"VIC","225","Maribyrnong","0","POSTAL","2","3","40781","BEDDOE","Tim","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","12.000"
"VIC","225","Maribyrnong","0","POSTAL","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","225","Maribyrnong","0","POSTAL","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","225","Maribyrnong","0","POSTAL","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","POSTAL","2","4","41606","CASEY","Alannah Dorothy","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","225","Maribyrnong","0","PRE_POLL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Count","1047"
"VIC","225","Maribyrnong","0","PRE_POLL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Preference Percent","26.950"
"VIC","225","Maribyrnong","0","PRE_POLL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","225","Maribyrnong","0","PRE_POLL","0","1","41117","WILLIAMS","James Leslie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
