2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","324","Nicholls","0","ABSENT","0","1","40815","TRAVERS","Kim Luise","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","662"
"VIC","324","Nicholls","0","ABSENT","0","1","40815","TRAVERS","Kim Luise","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","28.520"
"VIC","324","Nicholls","0","ABSENT","0","1","40815","TRAVERS","Kim Luise","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","1","40815","TRAVERS","Kim Luise","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","2","41549","BACHELOR","Paul Edward","FFPA","Family First Party Australia","N","Preference Count","134"
"VIC","324","Nicholls","0","ABSENT","0","2","41549","BACHELOR","Paul Edward","FFPA","Family First Party Australia","N","Preference Percent","5.770"
"VIC","324","Nicholls","0","ABSENT","0","2","41549","BACHELOR","Paul Edward","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","2","41549","BACHELOR","Paul Edward","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","3","41394","FLOYD","Glenn Francis","CYA","Trumpet of Patriots","N","Preference Count","133"
"VIC","324","Nicholls","0","ABSENT","0","3","41394","FLOYD","Glenn Francis","CYA","Trumpet of Patriots","N","Preference Percent","5.730"
"VIC","324","Nicholls","0","ABSENT","0","3","41394","FLOYD","Glenn Francis","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","3","41394","FLOYD","Glenn Francis","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","4","41597","TYRRELL","Aaron William","ON","Pauline Hanson's One Nation","N","Preference Count","337"
"VIC","324","Nicholls","0","ABSENT","0","4","41597","TYRRELL","Aaron William","ON","Pauline Hanson's One Nation","N","Preference Percent","14.520"
"VIC","324","Nicholls","0","ABSENT","0","4","41597","TYRRELL","Aaron William","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","4","41597","TYRRELL","Aaron William","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","5","41134","BIRRELL","Samuel James","NP","National Party of Australia - Victoria","Y","Preference Count","642"
"VIC","324","Nicholls","0","ABSENT","0","5","41134","BIRRELL","Samuel James","NP","National Party of Australia - Victoria","Y","Preference Percent","27.660"
"VIC","324","Nicholls","0","ABSENT","0","5","41134","BIRRELL","Samuel James","NP","National Party of Australia - Victoria","Y","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","5","41134","BIRRELL","Samuel James","NP","National Party of Australia - Victoria","Y","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","6","40702","DAVY","Jeffrey Ross","CEC","Australian Citizens Party","N","Preference Count","41"
"VIC","324","Nicholls","0","ABSENT","0","6","40702","DAVY","Jeffrey Ross","CEC","Australian Citizens Party","N","Preference Percent","1.770"
"VIC","324","Nicholls","0","ABSENT","0","6","40702","DAVY","Jeffrey Ross","CEC","Australian Citizens Party","N","Transfer Count","0"
"VIC","324","Nicholls","0","ABSENT","0","6","40702","DAVY","Jeffrey Ross","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"VIC","324","Nicholls","0","ABSENT","0","7","41106","EADE","Shelby Kate","GVIC","The Australian Greens - Victoria","N","Preference Count","372"
