2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","232","Scullin","0","ABSENT","0","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Count","252"
"VIC","232","Scullin","0","ABSENT","0","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Percent","7.420"
"VIC","232","Scullin","0","ABSENT","0","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Count","172"
"VIC","232","Scullin","0","ABSENT","0","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Percent","5.070"
"VIC","232","Scullin","0","ABSENT","0","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Preference Count","204"
"VIC","232","Scullin","0","ABSENT","0","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Preference Percent","6.010"
"VIC","232","Scullin","0","ABSENT","0","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Preference Count","230"
"VIC","232","Scullin","0","ABSENT","0","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Preference Percent","6.770"
"VIC","232","Scullin","0","ABSENT","0","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Preference Count","561"
"VIC","232","Scullin","0","ABSENT","0","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.520"
"VIC","232","Scullin","0","ABSENT","0","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","641"
"VIC","232","Scullin","0","ABSENT","0","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","18.880"
"VIC","232","Scullin","0","ABSENT","0","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1246"
"VIC","232","Scullin","0","ABSENT","0","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","36.700"
"VIC","232","Scullin","0","ABSENT","0","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Preference Count","89"
"VIC","232","Scullin","0","ABSENT","0","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Preference Percent","2.620"
"VIC","232","Scullin","0","ABSENT","0","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","1","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Count","267"
"VIC","232","Scullin","0","ABSENT","1","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Percent","7.860"
"VIC","232","Scullin","0","ABSENT","1","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Count","15"
"VIC","232","Scullin","0","ABSENT","1","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Percent","16.850"
"VIC","232","Scullin","0","ABSENT","1","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Count","193"
"VIC","232","Scullin","0","ABSENT","1","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Percent","5.680"
"VIC","232","Scullin","0","ABSENT","1","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Count","21"
"VIC","232","Scullin","0","ABSENT","1","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Percent","23.600"
"VIC","232","Scullin","0","ABSENT","1","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Preference Count","209"
"VIC","232","Scullin","0","ABSENT","1","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Preference Percent","6.160"
"VIC","232","Scullin","0","ABSENT","1","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Transfer Count","5"
"VIC","232","Scullin","0","ABSENT","1","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Transfer Percent","5.620"
"VIC","232","Scullin","0","ABSENT","1","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Preference Count","241"
"VIC","232","Scullin","0","ABSENT","1","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Preference Percent","7.100"
"VIC","232","Scullin","0","ABSENT","1","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Transfer Count","11"
"VIC","232","Scullin","0","ABSENT","1","4","41605","TSOUTSOULIS","Arthur","ON","Pauline Hanson's One Nation","N","Transfer Percent","12.360"
"VIC","232","Scullin","0","ABSENT","1","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Preference Count","570"
"VIC","232","Scullin","0","ABSENT","1","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.790"
"VIC","232","Scullin","0","ABSENT","1","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Transfer Count","9"
"VIC","232","Scullin","0","ABSENT","1","5","41113","SANGARYA","Lokesh Sarvesh","GVIC","The Australian Greens - Victoria","N","Transfer Percent","10.110"
"VIC","232","Scullin","0","ABSENT","1","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","651"
"VIC","232","Scullin","0","ABSENT","1","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","19.180"
"VIC","232","Scullin","0","ABSENT","1","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","10"
"VIC","232","Scullin","0","ABSENT","1","6","40782","TAGGAR","Rohit Kumar","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","11.240"
"VIC","232","Scullin","0","ABSENT","1","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1264"
"VIC","232","Scullin","0","ABSENT","1","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.230"
"VIC","232","Scullin","0","ABSENT","1","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","18"
"VIC","232","Scullin","0","ABSENT","1","7","40819","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","20.220"
"VIC","232","Scullin","0","ABSENT","1","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","1","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","1","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Transfer Count","-89"
"VIC","232","Scullin","0","ABSENT","1","8","40987","van BREE","Ursula","GRPF","Gerard Rennick People First","N","Transfer Percent","-100.000"
"VIC","232","Scullin","0","ABSENT","2","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Count","306"
"VIC","232","Scullin","0","ABSENT","2","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Preference Percent","9.010"
"VIC","232","Scullin","0","ABSENT","2","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Count","39"
"VIC","232","Scullin","0","ABSENT","2","1","41392","BUCCIANTI","Adriana","CYA","Trumpet of Patriots","N","Transfer Percent","20.210"
"VIC","232","Scullin","0","ABSENT","2","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","2","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","2","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Count","-193"
"VIC","232","Scullin","0","ABSENT","2","2","41540","BELL","Cassandra Mary","FFPA","Family First Party Australia","N","Transfer Percent","-100.000"
"VIC","232","Scullin","0","ABSENT","2","3","41001","HASSAN","Omar","VNS","Victorian Socialists","N","Preference Count","249"
