2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","235","Brand","0","ABSENT","0","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Preference Count","725"
"WA","235","Brand","0","ABSENT","0","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Preference Percent","18.350"
"WA","235","Brand","0","ABSENT","0","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","235","Brand","0","ABSENT","0","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","235","Brand","0","ABSENT","0","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Preference Count","624"
"WA","235","Brand","0","ABSENT","0","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Preference Percent","15.800"
"WA","235","Brand","0","ABSENT","0","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","235","Brand","0","ABSENT","0","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","235","Brand","0","ABSENT","0","3","41243","KING","Madeleine Mary Harvie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1390"
"WA","235","Brand","0","ABSENT","0","3","41243","KING","Madeleine Mary Harvie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","35.190"
"WA","235","Brand","0","ABSENT","0","3","41243","KING","Madeleine Mary Harvie","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","235","Brand","0","ABSENT","0","3","41243","KING","Madeleine Mary Harvie","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","235","Brand","0","ABSENT","0","4","41662","MATTERS","James Angus","HMP","Legalise Cannabis Australia","N","Preference Count","502"
"WA","235","Brand","0","ABSENT","0","4","41662","MATTERS","James Angus","HMP","Legalise Cannabis Australia","N","Preference Percent","12.710"
"WA","235","Brand","0","ABSENT","0","4","41662","MATTERS","James Angus","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","235","Brand","0","ABSENT","0","4","41662","MATTERS","James Angus","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","235","Brand","0","ABSENT","0","5","41216","MOODY","Claire Amy","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","709"
"WA","235","Brand","0","ABSENT","0","5","41216","MOODY","Claire Amy","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","17.950"
"WA","235","Brand","0","ABSENT","0","5","41216","MOODY","Claire Amy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","235","Brand","0","ABSENT","0","5","41216","MOODY","Claire Amy","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","235","Brand","0","ABSENT","1","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Preference Count","917"
"WA","235","Brand","0","ABSENT","1","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Preference Percent","23.220"
"WA","235","Brand","0","ABSENT","1","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Transfer Count","192"
"WA","235","Brand","0","ABSENT","1","1","41660","FREEMAN","Jody Leanne","GRN","The Greens (WA) Inc","N","Transfer Percent","38.250"
"WA","235","Brand","0","ABSENT","1","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Preference Count","743"
"WA","235","Brand","0","ABSENT","1","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Preference Percent","18.810"
"WA","235","Brand","0","ABSENT","1","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Transfer Count","119"
"WA","235","Brand","0","ABSENT","1","2","41610","BOX","Stephen John","ON","Pauline Hanson's One Nation","N","Transfer Percent","23.710"
"WA","235","Brand","0","ABSENT","1","3","41243","KING","Madeleine Mary Harvie","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1509"
