2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","239","Forrest","0","ABSENT","0","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","602"
"WA","239","Forrest","0","ABSENT","0","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","19.230"
"WA","239","Forrest","0","ABSENT","0","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","2","42105","CHAPMAN","Susan Margaret","IND","Independent","N","Preference Count","404"
"WA","239","Forrest","0","ABSENT","0","2","42105","CHAPMAN","Susan Margaret","IND","Independent","N","Preference Percent","12.910"
"WA","239","Forrest","0","ABSENT","0","2","42105","CHAPMAN","Susan Margaret","IND","Independent","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","2","42105","CHAPMAN","Susan Margaret","IND","Independent","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","3","41777","BEARDMAN","Georgia","GRN","The Greens (WA) Inc","N","Preference Count","503"
"WA","239","Forrest","0","ABSENT","0","3","41777","BEARDMAN","Georgia","GRN","The Greens (WA) Inc","N","Preference Percent","16.070"
"WA","239","Forrest","0","ABSENT","0","3","41777","BEARDMAN","Georgia","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","3","41777","BEARDMAN","Georgia","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","4","41661","van der MEY","Paul Francis","ON","Pauline Hanson's One Nation","N","Preference Count","327"
"WA","239","Forrest","0","ABSENT","0","4","41661","van der MEY","Paul Francis","ON","Pauline Hanson's One Nation","N","Preference Percent","10.450"
"WA","239","Forrest","0","ABSENT","0","4","41661","van der MEY","Paul Francis","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","4","41661","van der MEY","Paul Francis","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","5","41653","GREENLAND","Peter Anthony","CYA","Trumpet of Patriots","N","Preference Count","73"
"WA","239","Forrest","0","ABSENT","0","5","41653","GREENLAND","Peter Anthony","CYA","Trumpet of Patriots","N","Preference Percent","2.330"
"WA","239","Forrest","0","ABSENT","0","5","41653","GREENLAND","Peter Anthony","CYA","Trumpet of Patriots","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","5","41653","GREENLAND","Peter Anthony","CYA","Trumpet of Patriots","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","6","41922","PARSONS","Cameron Raydon","NP","National Party of Australia (WA) Inc","N","Preference Count","155"
"WA","239","Forrest","0","ABSENT","0","6","41922","PARSONS","Cameron Raydon","NP","National Party of Australia (WA) Inc","N","Preference Percent","4.950"
"WA","239","Forrest","0","ABSENT","0","6","41922","PARSONS","Cameron Raydon","NP","National Party of Australia (WA) Inc","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","6","41922","PARSONS","Cameron Raydon","NP","National Party of Australia (WA) Inc","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","7","41745","PEET","Aaron","HMP","Legalise Cannabis Australia","N","Preference Count","292"
"WA","239","Forrest","0","ABSENT","0","7","41745","PEET","Aaron","HMP","Legalise Cannabis Australia","N","Preference Percent","9.330"
"WA","239","Forrest","0","ABSENT","0","7","41745","PEET","Aaron","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","7","41745","PEET","Aaron","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","0","8","41252","SMALL","Benjamin John","LP","Liberal Party (W.A. Division) Inc","Y","Preference Count","774"
"WA","239","Forrest","0","ABSENT","0","8","41252","SMALL","Benjamin John","LP","Liberal Party (W.A. Division) Inc","Y","Preference Percent","24.730"
"WA","239","Forrest","0","ABSENT","0","8","41252","SMALL","Benjamin John","LP","Liberal Party (W.A. Division) Inc","Y","Transfer Count","0"
"WA","239","Forrest","0","ABSENT","0","8","41252","SMALL","Benjamin John","LP","Liberal Party (W.A. Division) Inc","Y","Transfer Percent","0.000"
"WA","239","Forrest","0","ABSENT","1","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Count","607"
"WA","239","Forrest","0","ABSENT","1","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Preference Percent","19.390"
"WA","239","Forrest","0","ABSENT","1","1","41369","DOWDING","Tabitha Raye","ALP","Australian Labor Party (Western Australian Branch)","N","Transfer Count","5"
