2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","240","Fremantle","0","ABSENT","0","1","42074","HULETT","Kate Jane","IND","Independent","N","Preference Count","960"
"WA","240","Fremantle","0","ABSENT","0","1","42074","HULETT","Kate Jane","IND","Independent","N","Preference Percent","20.840"
"WA","240","Fremantle","0","ABSENT","0","1","42074","HULETT","Kate Jane","IND","Independent","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","1","42074","HULETT","Kate Jane","IND","Independent","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Preference Count","48"
"WA","240","Fremantle","0","ABSENT","0","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Preference Percent","1.040"
"WA","240","Fremantle","0","ABSENT","0","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1332"
"WA","240","Fremantle","0","ABSENT","0","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","28.910"
"WA","240","Fremantle","0","ABSENT","0","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Preference Count","879"
"WA","240","Fremantle","0","ABSENT","0","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Preference Percent","19.080"
"WA","240","Fremantle","0","ABSENT","0","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","5","41256","MARSTON","Tait Anthony","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","939"
"WA","240","Fremantle","0","ABSENT","0","5","41256","MARSTON","Tait Anthony","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","20.380"
"WA","240","Fremantle","0","ABSENT","0","5","41256","MARSTON","Tait Anthony","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","5","41256","MARSTON","Tait Anthony","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","6","41708","MARRINER","Hannah Rose","ON","Pauline Hanson's One Nation","N","Preference Count","398"
"WA","240","Fremantle","0","ABSENT","0","6","41708","MARRINER","Hannah Rose","ON","Pauline Hanson's One Nation","N","Preference Percent","8.640"
"WA","240","Fremantle","0","ABSENT","0","6","41708","MARRINER","Hannah Rose","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","6","41708","MARRINER","Hannah Rose","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","0","7","40671","LAST","Joshua Richard","SAL","Socialist Alliance","N","Preference Count","51"
"WA","240","Fremantle","0","ABSENT","0","7","40671","LAST","Joshua Richard","SAL","Socialist Alliance","N","Preference Percent","1.110"
"WA","240","Fremantle","0","ABSENT","0","7","40671","LAST","Joshua Richard","SAL","Socialist Alliance","N","Transfer Count","0"
"WA","240","Fremantle","0","ABSENT","0","7","40671","LAST","Joshua Richard","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"WA","240","Fremantle","0","ABSENT","1","1","42074","HULETT","Kate Jane","IND","Independent","N","Preference Count","976"
"WA","240","Fremantle","0","ABSENT","1","1","42074","HULETT","Kate Jane","IND","Independent","N","Preference Percent","21.190"
"WA","240","Fremantle","0","ABSENT","1","1","42074","HULETT","Kate Jane","IND","Independent","N","Transfer Count","16"
"WA","240","Fremantle","0","ABSENT","1","1","42074","HULETT","Kate Jane","IND","Independent","N","Transfer Percent","33.330"
"WA","240","Fremantle","0","ABSENT","1","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Preference Count","0"
"WA","240","Fremantle","0","ABSENT","1","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Preference Percent","0.000"
"WA","240","Fremantle","0","ABSENT","1","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Transfer Count","-48"
"WA","240","Fremantle","0","ABSENT","1","2","41841","BIRD","John Alexander","CEC","Australian Citizens Party","N","Transfer Percent","-100.000"
"WA","240","Fremantle","0","ABSENT","1","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1334"
"WA","240","Fremantle","0","ABSENT","1","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","28.960"
"WA","240","Fremantle","0","ABSENT","1","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","2"
"WA","240","Fremantle","0","ABSENT","1","3","41377","WILSON","Joshua Hamilton","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","4.170"
"WA","240","Fremantle","0","ABSENT","1","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Preference Count","886"
"WA","240","Fremantle","0","ABSENT","1","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Preference Percent","19.230"
"WA","240","Fremantle","0","ABSENT","1","4","41789","WARNE","Amy Elizabeth","GRN","The Greens (WA) Inc","N","Transfer Count","7"
