2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","242","Moore","0","ABSENT","0","1","36592","GOODENOUGH","Ian Reginald","","Non Affiliated","N","Preference Count","372"
"WA","242","Moore","0","ABSENT","0","1","36592","GOODENOUGH","Ian Reginald","","Non Affiliated","N","Preference Percent","9.320"
"WA","242","Moore","0","ABSENT","0","1","36592","GOODENOUGH","Ian Reginald","","Non Affiliated","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","1","36592","GOODENOUGH","Ian Reginald","","Non Affiliated","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","2","41414","FRENCH","Thomas Alan","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Count","1169"
"WA","242","Moore","0","ABSENT","0","2","41414","FRENCH","Thomas Alan","ALP","Australian Labor Party (Western Australian Branch)","Y","Preference Percent","29.280"
"WA","242","Moore","0","ABSENT","0","2","41414","FRENCH","Thomas Alan","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","2","41414","FRENCH","Thomas Alan","ALP","Australian Labor Party (Western Australian Branch)","Y","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","3","40666","BARTON","Nathan","IND","Independent","N","Preference Count","191"
"WA","242","Moore","0","ABSENT","0","3","40666","BARTON","Nathan","IND","Independent","N","Preference Percent","4.780"
"WA","242","Moore","0","ABSENT","0","3","40666","BARTON","Nathan","IND","Independent","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","3","40666","BARTON","Nathan","IND","Independent","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","4","41097","BARTLEY","Trevor Alan","AUC","Australian Christians","N","Preference Count","95"
"WA","242","Moore","0","ABSENT","0","4","41097","BARTLEY","Trevor Alan","AUC","Australian Christians","N","Preference Percent","2.380"
"WA","242","Moore","0","ABSENT","0","4","41097","BARTLEY","Trevor Alan","AUC","Australian Christians","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","4","41097","BARTLEY","Trevor Alan","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","5","41715","FIMOGNARI","Paul William","ON","Pauline Hanson's One Nation","N","Preference Count","303"
"WA","242","Moore","0","ABSENT","0","5","41715","FIMOGNARI","Paul William","ON","Pauline Hanson's One Nation","N","Preference Percent","7.590"
"WA","242","Moore","0","ABSENT","0","5","41715","FIMOGNARI","Paul William","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","5","41715","FIMOGNARI","Paul William","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","6","41803","McCARTHY","Scott","GRN","The Greens (WA) Inc","N","Preference Count","776"
"WA","242","Moore","0","ABSENT","0","6","41803","McCARTHY","Scott","GRN","The Greens (WA) Inc","N","Preference Percent","19.440"
"WA","242","Moore","0","ABSENT","0","6","41803","McCARTHY","Scott","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","6","41803","McCARTHY","Scott","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","7","41264","CONNELLY","Vincent Gerard","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","959"
"WA","242","Moore","0","ABSENT","0","7","41264","CONNELLY","Vincent Gerard","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","24.020"
"WA","242","Moore","0","ABSENT","0","7","41264","CONNELLY","Vincent Gerard","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
"WA","242","Moore","0","ABSENT","0","7","41264","CONNELLY","Vincent Gerard","LP","Liberal Party (W.A. Division) Inc","N","Transfer Percent","0.000"
"WA","242","Moore","0","ABSENT","0","8","41901","RENNICK","Christopher Andrew Tate","CYA","Trumpet of Patriots","N","Preference Count","127"
"WA","242","Moore","0","ABSENT","0","8","41901","RENNICK","Christopher Andrew Tate","CYA","Trumpet of Patriots","N","Preference Percent","3.180"
"WA","242","Moore","0","ABSENT","0","8","41901","RENNICK","Christopher Andrew Tate","CYA","Trumpet of Patriots","N","Transfer Count","0"
