2025 Federal Election House of Representatives Distribution of Preferences By Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"WA","244","Pearce","0","ABSENT","0","1","41819","D'ALONZO","Nicholas James","GRN","The Greens (WA) Inc","N","Preference Count","812"
"WA","244","Pearce","0","ABSENT","0","1","41819","D'ALONZO","Nicholas James","GRN","The Greens (WA) Inc","N","Preference Percent","19.360"
"WA","244","Pearce","0","ABSENT","0","1","41819","D'ALONZO","Nicholas James","GRN","The Greens (WA) Inc","N","Transfer Count","0"
"WA","244","Pearce","0","ABSENT","0","1","41819","D'ALONZO","Nicholas James","GRN","The Greens (WA) Inc","N","Transfer Percent","0.000"
"WA","244","Pearce","0","ABSENT","0","2","41764","GRANADOS RANGEL","Ramon Fernando","HMP","Legalise Cannabis Australia","N","Preference Count","476"
"WA","244","Pearce","0","ABSENT","0","2","41764","GRANADOS RANGEL","Ramon Fernando","HMP","Legalise Cannabis Australia","N","Preference Percent","11.350"
"WA","244","Pearce","0","ABSENT","0","2","41764","GRANADOS RANGEL","Ramon Fernando","HMP","Legalise Cannabis Australia","N","Transfer Count","0"
"WA","244","Pearce","0","ABSENT","0","2","41764","GRANADOS RANGEL","Ramon Fernando","HMP","Legalise Cannabis Australia","N","Transfer Percent","0.000"
"WA","244","Pearce","0","ABSENT","0","3","41130","MONTGOMERY","Vanessa Marie","AUC","Australian Christians","N","Preference Count","150"
"WA","244","Pearce","0","ABSENT","0","3","41130","MONTGOMERY","Vanessa Marie","AUC","Australian Christians","N","Preference Percent","3.580"
"WA","244","Pearce","0","ABSENT","0","3","41130","MONTGOMERY","Vanessa Marie","AUC","Australian Christians","N","Transfer Count","0"
"WA","244","Pearce","0","ABSENT","0","3","41130","MONTGOMERY","Vanessa Marie","AUC","Australian Christians","N","Transfer Percent","0.000"
"WA","244","Pearce","0","ABSENT","0","4","41531","NORBERGER","Jan-Henrick","LP","Liberal Party (W.A. Division) Inc","N","Preference Count","935"
"WA","244","Pearce","0","ABSENT","0","4","41531","NORBERGER","Jan-Henrick","LP","Liberal Party (W.A. Division) Inc","N","Preference Percent","22.290"
"WA","244","Pearce","0","ABSENT","0","4","41531","NORBERGER","Jan-Henrick","LP","Liberal Party (W.A. Division) Inc","N","Transfer Count","0"
