2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","629","66.140"
"ACT","101","Canberra","0","ABSENT","0","","","First Preferences","","0","41390","GRN","Australian Greens","MUDFORD","Isabel","1","322","33.860"
"ACT","101","Canberra","0","ABSENT","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","20","64.520"
"ACT","101","Canberra","0","ABSENT","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","41390","GRN","Australian Greens","MUDFORD","Isabel","1","11","35.480"
"ACT","101","Canberra","0","ABSENT","41696","IND","Independent","MILES","Claire","3","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","103","55.980"
"ACT","101","Canberra","0","ABSENT","41696","IND","Independent","MILES","Claire","3","41390","GRN","Australian Greens","MUDFORD","Isabel","1","81","44.020"
"ACT","101","Canberra","0","ABSENT","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","153","63.490"
"ACT","101","Canberra","0","ABSENT","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","41390","GRN","Australian Greens","MUDFORD","Isabel","1","88","36.510"
"ACT","101","Canberra","0","ABSENT","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","41390","GRN","Australian Greens","MUDFORD","Isabel","1","24","58.540"
"ACT","101","Canberra","0","ABSENT","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","17","41.460"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","41390","GRN","Australian Greens","MUDFORD","Isabel","1","1135","24.740"
"ACT","101","Canberra","0","POSTAL","0","","","First Preferences","","0","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","3452","75.260"
"ACT","101","Canberra","0","POSTAL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","41390","GRN","Australian Greens","MUDFORD","Isabel","1","48","40.680"
"ACT","101","Canberra","0","POSTAL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","70","59.320"
"ACT","101","Canberra","0","POSTAL","41696","IND","Independent","MILES","Claire","3","41390","GRN","Australian Greens","MUDFORD","Isabel","1","311","35.910"
"ACT","101","Canberra","0","POSTAL","41696","IND","Independent","MILES","Claire","3","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","555","64.090"
"ACT","101","Canberra","0","POSTAL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","41390","GRN","Australian Greens","MUDFORD","Isabel","1","499","26.530"
"ACT","101","Canberra","0","POSTAL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","1382","73.470"
"ACT","101","Canberra","0","POSTAL","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","41390","GRN","Australian Greens","MUDFORD","Isabel","1","59","46.830"
"ACT","101","Canberra","0","POSTAL","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","67","53.170"
"ACT","101","Canberra","0","PRE_POLL","0","","","First Preferences","","0","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","2885","69.750"
"ACT","101","Canberra","0","PRE_POLL","0","","","First Preferences","","0","41390","GRN","Australian Greens","MUDFORD","Isabel","1","1251","30.250"
"ACT","101","Canberra","0","PRE_POLL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","41390","GRN","Australian Greens","MUDFORD","Isabel","1","27","39.710"
"ACT","101","Canberra","0","PRE_POLL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","41","60.290"
"ACT","101","Canberra","0","PRE_POLL","41696","IND","Independent","MILES","Claire","3","41390","GRN","Australian Greens","MUDFORD","Isabel","1","195","40.460"
"ACT","101","Canberra","0","PRE_POLL","41696","IND","Independent","MILES","Claire","3","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","287","59.540"
"ACT","101","Canberra","0","PRE_POLL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","41390","GRN","Australian Greens","MUDFORD","Isabel","1","291","28.140"
"ACT","101","Canberra","0","PRE_POLL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","743","71.860"
"ACT","101","Canberra","0","PRE_POLL","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","41390","GRN","Australian Greens","MUDFORD","Isabel","1","41","66.130"
"ACT","101","Canberra","0","PRE_POLL","41706","AJP","Animal Justice Party","McTAGGART","Teresa","6","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","21","33.870"
"ACT","101","Canberra","0","PROVISIONAL","0","","","First Preferences","","0","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","172","68.250"
"ACT","101","Canberra","0","PROVISIONAL","0","","","First Preferences","","0","41390","GRN","Australian Greens","MUDFORD","Isabel","1","80","31.750"
"ACT","101","Canberra","0","PROVISIONAL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","41390","GRN","Australian Greens","MUDFORD","Isabel","1","4","66.670"
"ACT","101","Canberra","0","PROVISIONAL","41742","IMO","Health Environment Accountability Rights Transparency (HEART)","LIDDICOAT","Mary-Jane","2","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","2","33.330"
"ACT","101","Canberra","0","PROVISIONAL","41696","IND","Independent","MILES","Claire","3","41390","GRN","Australian Greens","MUDFORD","Isabel","1","11","34.380"
"ACT","101","Canberra","0","PROVISIONAL","41696","IND","Independent","MILES","Claire","3","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","21","65.630"
"ACT","101","Canberra","0","PROVISIONAL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","41390","GRN","Australian Greens","MUDFORD","Isabel","1","12","23.530"
"ACT","101","Canberra","0","PROVISIONAL","41077","LP","Liberal Party of Australia - ACT Division","ROCHE","Will","4","40677","ALP","Australian Labor Party (ACT Branch)","PAYNE","Alicia","5","39","76.470"
