2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"ACT","102","Fenner","0","ABSENT","0","","","First Preferences","","0","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","390","30.300"
"ACT","102","Fenner","0","ABSENT","0","","","First Preferences","","0","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","897","69.700"
"ACT","102","Fenner","0","ABSENT","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","97","57.060"
"ACT","102","Fenner","0","ABSENT","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","73","42.940"
"ACT","102","Fenner","0","ABSENT","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","50","12.320"
"ACT","102","Fenner","0","ABSENT","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","356","87.680"
"ACT","102","Fenner","0","POSTAL","0","","","First Preferences","","0","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","3400","65.500"
"ACT","102","Fenner","0","POSTAL","0","","","First Preferences","","0","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","1791","34.500"
"ACT","102","Fenner","0","POSTAL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","234","43.010"
"ACT","102","Fenner","0","POSTAL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","310","56.990"
"ACT","102","Fenner","0","POSTAL","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","810","90.500"
"ACT","102","Fenner","0","POSTAL","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","85","9.500"
"ACT","102","Fenner","0","PRE_POLL","0","","","First Preferences","","0","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","734","32.940"
"ACT","102","Fenner","0","PRE_POLL","0","","","First Preferences","","0","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","1494","67.060"
"ACT","102","Fenner","0","PRE_POLL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","107","42.130"
"ACT","102","Fenner","0","PRE_POLL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","147","57.870"
"ACT","102","Fenner","0","PRE_POLL","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","475","92.770"
"ACT","102","Fenner","0","PRE_POLL","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","37","7.230"
"ACT","102","Fenner","0","PROVISIONAL","0","","","First Preferences","","0","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","184","73.600"
"ACT","102","Fenner","0","PROVISIONAL","0","","","First Preferences","","0","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","66","26.400"
"ACT","102","Fenner","0","PROVISIONAL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","12","38.710"
"ACT","102","Fenner","0","PROVISIONAL","41713","FFPA","Family First Party Australia","KIKKERT","Elizabeth","2","41079","LP","Liberal Party of Australia - ACT Division","OLATUNBOSUN","Bola","1","19","61.290"
"ACT","102","Fenner","0","PROVISIONAL","41398","GRN","Australian Greens","HUNTERFORD","Dani","4","40678","ALP","Australian Labor Party (ACT Branch)","LEIGH","Andrew","3","55","94.830"
