2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","108","Bradfield","0","ABSENT","0","","","First Preferences","","0","36047","IND","Independent","BOELE","Nicolette","7","504","37.200"
"NSW","108","Bradfield","0","ABSENT","0","","","First Preferences","","0","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","851","62.800"
"NSW","108","Bradfield","0","ABSENT","42097","LTP","Libertarian Party","GUNNING","Samuel Joseph","1","36047","IND","Independent","BOELE","Nicolette","7","27","30.340"
"NSW","108","Bradfield","0","ABSENT","42097","LTP","Libertarian Party","GUNNING","Samuel Joseph","1","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","62","69.660"
"NSW","108","Bradfield","0","ABSENT","41511","GRN","The Greens NSW","SINGH","Harjit","2","36047","IND","Independent","BOELE","Nicolette","7","325","79.460"
"NSW","108","Bradfield","0","ABSENT","41511","GRN","The Greens NSW","SINGH","Harjit","2","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","84","20.540"
"NSW","108","Bradfield","0","ABSENT","41989","IND","Independent","YIN","Andy","3","36047","IND","Independent","BOELE","Nicolette","7","53","55.210"
"NSW","108","Bradfield","0","ABSENT","41989","IND","Independent","YIN","Andy","3","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","43","44.790"
"NSW","108","Bradfield","0","ABSENT","41324","ALP","Australian Labor Party (N.S.W. Branch)","McCALLUM","Louise","4","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","341","42.260"
"NSW","108","Bradfield","0","ABSENT","41324","ALP","Australian Labor Party (N.S.W. Branch)","McCALLUM","Louise","4","36047","IND","Independent","BOELE","Nicolette","7","466","57.740"
"NSW","108","Bradfield","0","ABSENT","41891","ON","Pauline Hanson's One Nation","MANTON","John","5","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","67","78.820"
"NSW","108","Bradfield","0","ABSENT","41891","ON","Pauline Hanson's One Nation","MANTON","John","5","36047","IND","Independent","BOELE","Nicolette","7","18","21.180"
"NSW","108","Bradfield","0","ABSENT","41790","CYA","Trumpet of Patriots","MULLIGAN","Rosemary","8","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","39","61.900"
"NSW","108","Bradfield","0","ABSENT","41790","CYA","Trumpet of Patriots","MULLIGAN","Rosemary","8","36047","IND","Independent","BOELE","Nicolette","7","24","38.100"
"NSW","108","Bradfield","0","POSTAL","0","","","First Preferences","","0","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","6098","65.630"
"NSW","108","Bradfield","0","POSTAL","0","","","First Preferences","","0","36047","IND","Independent","BOELE","Nicolette","7","3193","34.370"
"NSW","108","Bradfield","0","POSTAL","42097","LTP","Libertarian Party","GUNNING","Samuel Joseph","1","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","137","76.970"
"NSW","108","Bradfield","0","POSTAL","42097","LTP","Libertarian Party","GUNNING","Samuel Joseph","1","36047","IND","Independent","BOELE","Nicolette","7","41","23.030"
"NSW","108","Bradfield","0","POSTAL","41511","GRN","The Greens NSW","SINGH","Harjit","2","41464","LP","Liberal Party of Australia, NSW Division","KAPTERIAN","Gisele","6","155","18.790"
