2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","111","Chifley","0","ABSENT","0","","","First Preferences","","0","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","651","30.010"
"NSW","111","Chifley","0","ABSENT","0","","","First Preferences","","0","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","1518","69.990"
"NSW","111","Chifley","0","ABSENT","41791","FFPA","Family First Party Australia","GREEN","Jamie","1","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","164","40.800"
"NSW","111","Chifley","0","ABSENT","41791","FFPA","Family First Party Australia","GREEN","Jamie","1","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","238","59.200"
"NSW","111","Chifley","0","ABSENT","40694","IND","Independent","BURNS","Leigh","2","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","37","43.530"
"NSW","111","Chifley","0","ABSENT","40694","IND","Independent","BURNS","Leigh","2","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","48","56.470"
"NSW","111","Chifley","0","ABSENT","41527","GRN","The Greens NSW","SINGH","Sukhjinder Pal","3","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","77","18.780"
"NSW","111","Chifley","0","ABSENT","41527","GRN","The Greens NSW","SINGH","Sukhjinder Pal","3","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","333","81.220"
"NSW","111","Chifley","0","ABSENT","41906","ON","Pauline Hanson's One Nation","NIKOLIC","Tony","6","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","89","35.740"
"NSW","111","Chifley","0","ABSENT","41906","ON","Pauline Hanson's One Nation","NIKOLIC","Tony","6","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","160","64.260"
"NSW","111","Chifley","0","ABSENT","41748","CYA","Trumpet of Patriots","ARCHER","Ryan","7","41323","ALP","Australian Labor Party (N.S.W. Branch)","HUSIC","Ed","4","50","40.650"
"NSW","111","Chifley","0","ABSENT","41748","CYA","Trumpet of Patriots","ARCHER","Ryan","7","41599","LP","Liberal Party of Australia, NSW Division","GREEN","Allan","5","73","59.350"
