2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","113","Cowper","0","ABSENT","0","","","First Preferences","","0","36245","IND","Independent","HEISE","Caz","9","424","48.850"
"NSW","113","Cowper","0","ABSENT","0","","","First Preferences","","0","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","444","51.150"
"NSW","113","Cowper","0","ABSENT","41332","ALP","Australian Labor Party (N.S.W. Branch)","VIGORS","Greg","1","36245","IND","Independent","HEISE","Caz","9","220","57.140"
"NSW","113","Cowper","0","ABSENT","41332","ALP","Australian Labor Party (N.S.W. Branch)","VIGORS","Greg","1","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","165","42.860"
"NSW","113","Cowper","0","ABSENT","41718","IND","Independent","DALEY","Zeke","2","36245","IND","Independent","HEISE","Caz","9","17","60.710"
"NSW","113","Cowper","0","ABSENT","41718","IND","Independent","DALEY","Zeke","2","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","11","39.290"
"NSW","113","Cowper","0","ABSENT","41443","HMP","Legalise Cannabis Australia","MATHEW","Megan","3","36245","IND","Independent","HEISE","Caz","9","155","55.760"
"NSW","113","Cowper","0","ABSENT","41443","HMP","Legalise Cannabis Australia","MATHEW","Megan","3","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","123","44.240"
"NSW","113","Cowper","0","ABSENT","41775","CYA","Trumpet of Patriots","SHANNON","Geoffrey","4","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","34","47.220"
"NSW","113","Cowper","0","ABSENT","41775","CYA","Trumpet of Patriots","SHANNON","Geoffrey","4","36245","IND","Independent","HEISE","Caz","9","38","52.780"
"NSW","113","Cowper","0","ABSENT","41689","LTP","Libertarian Party","TEMPLETON","Paul","6","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","45","67.160"
"NSW","113","Cowper","0","ABSENT","41689","LTP","Libertarian Party","TEMPLETON","Paul","6","36245","IND","Independent","HEISE","Caz","9","22","32.840"
"NSW","113","Cowper","0","ABSENT","41798","FFPA","Family First Party Australia","JACKEL","Peter","7","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","58","77.330"
"NSW","113","Cowper","0","ABSENT","41798","FFPA","Family First Party Australia","JACKEL","Peter","7","36245","IND","Independent","HEISE","Caz","9","17","22.670"
"NSW","113","Cowper","0","ABSENT","41528","GRN","The Greens NSW","FIREFLY","Wendy","8","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","55","26.320"
"NSW","113","Cowper","0","ABSENT","41528","GRN","The Greens NSW","FIREFLY","Wendy","8","36245","IND","Independent","HEISE","Caz","9","154","73.680"
"NSW","113","Cowper","0","ABSENT","41860","SOPA","FUSION | Planet Rescue | Whistleblower Protection | Innovation","MARLOW","Geoffrey","10","41937","NP","National Party of Australia - N.S.W.","CONAGHAN","Pat","5","7","63.640"
