2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","115","Dobell","0","ABSENT","0","","","First Preferences","","0","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","674","39.760"
"NSW","115","Dobell","0","ABSENT","0","","","First Preferences","","0","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","1021","60.240"
"NSW","115","Dobell","0","ABSENT","41558","GRN","The Greens NSW","COOPER","Simon George","1","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","406","78.080"
"NSW","115","Dobell","0","ABSENT","41558","GRN","The Greens NSW","COOPER","Simon George","1","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","114","21.920"
"NSW","115","Dobell","0","ABSENT","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","90","28.300"
"NSW","115","Dobell","0","ABSENT","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","228","71.700"
"NSW","115","Dobell","0","ABSENT","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","51","42.500"
"NSW","115","Dobell","0","ABSENT","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","69","57.500"
"NSW","115","Dobell","0","ABSENT","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","204","59.820"
"NSW","115","Dobell","0","ABSENT","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","137","40.180"
"NSW","115","Dobell","0","ABSENT","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","47","66.200"
"NSW","115","Dobell","0","ABSENT","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","24","33.800"
"NSW","115","Dobell","0","ABSENT","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","19","29.690"
"NSW","115","Dobell","0","ABSENT","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","45","70.310"
"NSW","115","Dobell","0","POSTAL","0","","","First Preferences","","0","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","5002","57.980"
"NSW","115","Dobell","0","POSTAL","0","","","First Preferences","","0","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","3625","42.020"
"NSW","115","Dobell","0","POSTAL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","723","84.270"
"NSW","115","Dobell","0","POSTAL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","135","15.730"
"NSW","115","Dobell","0","POSTAL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","222","27.820"
"NSW","115","Dobell","0","POSTAL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","576","72.180"
"NSW","115","Dobell","0","POSTAL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","104","35.250"
"NSW","115","Dobell","0","POSTAL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","191","64.750"
"NSW","115","Dobell","0","POSTAL","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","218","66.060"
"NSW","115","Dobell","0","POSTAL","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","112","33.940"
"NSW","115","Dobell","0","POSTAL","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","168","65.120"
"NSW","115","Dobell","0","POSTAL","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","90","34.880"
"NSW","115","Dobell","0","POSTAL","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","28","27.450"
"NSW","115","Dobell","0","POSTAL","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","74","72.550"
"NSW","115","Dobell","0","PRE_POLL","0","","","First Preferences","","0","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","662","40.490"
"NSW","115","Dobell","0","PRE_POLL","0","","","First Preferences","","0","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","973","59.510"
"NSW","115","Dobell","0","PRE_POLL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","288","84.460"
"NSW","115","Dobell","0","PRE_POLL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","53","15.540"
"NSW","115","Dobell","0","PRE_POLL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","73","28.970"
"NSW","115","Dobell","0","PRE_POLL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","179","71.030"
"NSW","115","Dobell","0","PRE_POLL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","32","38.100"
"NSW","115","Dobell","0","PRE_POLL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","52","61.900"
"NSW","115","Dobell","0","PRE_POLL","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","114","69.940"
"NSW","115","Dobell","0","PRE_POLL","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","49","30.060"
"NSW","115","Dobell","0","PRE_POLL","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","30","60.000"
"NSW","115","Dobell","0","PRE_POLL","40879","AJP","Animal Justice Party","MURPHY","Patrick","6","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","20","40.000"
"NSW","115","Dobell","0","PRE_POLL","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","5","20.000"
"NSW","115","Dobell","0","PRE_POLL","41854","LTP","Libertarian Party","CHALIK","Isaac","7","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","20","80.000"
"NSW","115","Dobell","0","PROVISIONAL","0","","","First Preferences","","0","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","32","41.560"
"NSW","115","Dobell","0","PROVISIONAL","0","","","First Preferences","","0","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","45","58.440"
"NSW","115","Dobell","0","PROVISIONAL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","15","93.750"
"NSW","115","Dobell","0","PROVISIONAL","41558","GRN","The Greens NSW","COOPER","Simon George","1","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","1","6.250"
"NSW","115","Dobell","0","PROVISIONAL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","3","25.000"
"NSW","115","Dobell","0","PROVISIONAL","41919","ON","Pauline Hanson's One Nation","STEVENSON","Martin","3","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","9","75.000"
"NSW","115","Dobell","0","PROVISIONAL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","3","50.000"
"NSW","115","Dobell","0","PROVISIONAL","41784","CYA","Trumpet of Patriots","TAWAF","Anthony","4","41469","LP","Liberal Party of Australia, NSW Division","SMALL","Brendan","2","3","50.000"
"NSW","115","Dobell","0","PROVISIONAL","41933","HMP","Legalise Cannabis Australia","CLAYDON","Tim","5","41358","ALP","Australian Labor Party (N.S.W. Branch)","McBRIDE","Emma","8","3","75.000"
