2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","118","Farrer","0","ABSENT","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","96","21.820"
"NSW","118","Farrer","0","ABSENT","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","344","78.180"
"NSW","118","Farrer","0","ABSENT","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","69","37.100"
"NSW","118","Farrer","0","ABSENT","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","117","62.900"
"NSW","118","Farrer","0","ABSENT","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","27","24.550"
"NSW","118","Farrer","0","ABSENT","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","83","75.450"
"NSW","118","Farrer","0","ABSENT","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","48","59.260"
"NSW","118","Farrer","0","ABSENT","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","33","40.740"
"NSW","118","Farrer","0","ABSENT","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","28","40.000"
"NSW","118","Farrer","0","ABSENT","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","42","60.000"
"NSW","118","Farrer","0","ABSENT","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","11","47.830"
"NSW","118","Farrer","0","ABSENT","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","40627","IND","Independent","MILTHORPE","Michelle","3","12","52.170"
"NSW","118","Farrer","0","ABSENT","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","16","43.240"
"NSW","118","Farrer","0","ABSENT","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","40627","IND","Independent","MILTHORPE","Michelle","3","21","56.760"
"NSW","118","Farrer","0","ABSENT","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","17","53.130"
"NSW","118","Farrer","0","ABSENT","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","40627","IND","Independent","MILTHORPE","Michelle","3","15","46.880"
"NSW","118","Farrer","0","POSTAL","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","5260","75.530"
"NSW","118","Farrer","0","POSTAL","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","1704","24.470"
"NSW","118","Farrer","0","POSTAL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","325","22.820"
"NSW","118","Farrer","0","POSTAL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","1099","77.180"
"NSW","118","Farrer","0","POSTAL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","63","14.550"
"NSW","118","Farrer","0","POSTAL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","370","85.450"
"NSW","118","Farrer","0","POSTAL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","404","50.440"
"NSW","118","Farrer","0","POSTAL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","397","49.560"
"NSW","118","Farrer","0","POSTAL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","193","51.060"
"NSW","118","Farrer","0","POSTAL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","185","48.940"
"NSW","118","Farrer","0","POSTAL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","82","48.810"
"NSW","118","Farrer","0","POSTAL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","40627","IND","Independent","MILTHORPE","Michelle","3","86","51.190"
"NSW","118","Farrer","0","POSTAL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","99","53.800"
"NSW","118","Farrer","0","POSTAL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","40627","IND","Independent","MILTHORPE","Michelle","3","85","46.200"
"NSW","118","Farrer","0","POSTAL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","98","41.530"
"NSW","118","Farrer","0","POSTAL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","40627","IND","Independent","MILTHORPE","Michelle","3","138","58.470"
"NSW","118","Farrer","0","PRE_POLL","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","479","22.340"
"NSW","118","Farrer","0","PRE_POLL","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","1665","77.660"
"NSW","118","Farrer","0","PRE_POLL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","255","33.770"
"NSW","118","Farrer","0","PRE_POLL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","500","66.230"
"NSW","118","Farrer","0","PRE_POLL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","73","19.680"
"NSW","118","Farrer","0","PRE_POLL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","298","80.320"
"NSW","118","Farrer","0","PRE_POLL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","175","57.570"
"NSW","118","Farrer","0","PRE_POLL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","129","42.430"
"NSW","118","Farrer","0","PRE_POLL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","93","46.730"
"NSW","118","Farrer","0","PRE_POLL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","106","53.270"
"NSW","118","Farrer","0","PRE_POLL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","40","48.190"
"NSW","118","Farrer","0","PRE_POLL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","40627","IND","Independent","MILTHORPE","Michelle","3","43","51.810"
"NSW","118","Farrer","0","PRE_POLL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","54","55.100"
"NSW","118","Farrer","0","PRE_POLL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","40627","IND","Independent","MILTHORPE","Michelle","3","44","44.900"
"NSW","118","Farrer","0","PRE_POLL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","58","44.270"
"NSW","118","Farrer","0","PRE_POLL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","40627","IND","Independent","MILTHORPE","Michelle","3","73","55.730"
"NSW","118","Farrer","0","PROVISIONAL","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","11","40.740"
"NSW","118","Farrer","0","PROVISIONAL","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","16","59.260"
"NSW","118","Farrer","0","PROVISIONAL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","2","18.180"
"NSW","118","Farrer","0","PROVISIONAL","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","9","81.820"
"NSW","118","Farrer","0","PROVISIONAL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","0","0.000"
"NSW","118","Farrer","0","PROVISIONAL","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","5","100.000"
"NSW","118","Farrer","0","PROVISIONAL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","4","57.140"
"NSW","118","Farrer","0","PROVISIONAL","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","3","42.860"
"NSW","118","Farrer","0","PROVISIONAL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","3","60.000"
"NSW","118","Farrer","0","PROVISIONAL","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","2","40.000"
"NSW","118","Farrer","0","PROVISIONAL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","2","100.000"
"NSW","118","Farrer","0","PROVISIONAL","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","40627","IND","Independent","MILTHORPE","Michelle","3","0","0.000"
"NSW","118","Farrer","0","PROVISIONAL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","0","0.000"
"NSW","118","Farrer","0","PROVISIONAL","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","40627","IND","Independent","MILTHORPE","Michelle","3","2","100.000"
"NSW","118","Farrer","0","PROVISIONAL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","1","50.000"
"NSW","118","Farrer","0","PROVISIONAL","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","40627","IND","Independent","MILTHORPE","Michelle","3","1","50.000"
"NSW","118","Farrer","746","Albury","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","490","55.370"
"NSW","118","Farrer","746","Albury","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","395","44.630"
"NSW","118","Farrer","746","Albury","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","46","23.960"
"NSW","118","Farrer","746","Albury","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","146","76.040"
"NSW","118","Farrer","746","Albury","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","17","11.490"
"NSW","118","Farrer","746","Albury","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","131","88.510"
"NSW","118","Farrer","746","Albury","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","27","41.540"
"NSW","118","Farrer","746","Albury","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","38","58.460"
"NSW","118","Farrer","746","Albury","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","15","33.330"
"NSW","118","Farrer","746","Albury","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","30","66.670"
"NSW","118","Farrer","746","Albury","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","40627","IND","Independent","MILTHORPE","Michelle","3","18","48.650"
"NSW","118","Farrer","746","Albury","42016","GRPF","Gerard Rennick People First","O'REILLY","David","7","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","19","51.350"
"NSW","118","Farrer","746","Albury","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","20","50.000"
"NSW","118","Farrer","746","Albury","41793","FFPA","Family First Party Australia","SCRIVEN","Rebecca","8","40627","IND","Independent","MILTHORPE","Michelle","3","20","50.000"
"NSW","118","Farrer","746","Albury","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","14","45.160"
"NSW","118","Farrer","746","Albury","41707","CYA","Trumpet of Patriots","HARGRAVES","Tanya","9","40627","IND","Independent","MILTHORPE","Michelle","3","17","54.840"
"NSW","118","Farrer","747","Albury East","0","","","First Preferences","","0","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","234","44.740"
"NSW","118","Farrer","747","Albury East","0","","","First Preferences","","0","40627","IND","Independent","MILTHORPE","Michelle","3","289","55.260"
"NSW","118","Farrer","747","Albury East","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","16","19.510"
"NSW","118","Farrer","747","Albury East","41352","ALP","Australian Labor Party (N.S.W. Branch)","HYDE","Glen","2","40627","IND","Independent","MILTHORPE","Michelle","3","66","80.490"
"NSW","118","Farrer","747","Albury East","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","15","18.070"
"NSW","118","Farrer","747","Albury East","41559","GRN","The Greens NSW","HENDRIE","Richard August","4","40627","IND","Independent","MILTHORPE","Michelle","3","68","81.930"
"NSW","118","Farrer","747","Albury East","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","21","46.670"
"NSW","118","Farrer","747","Albury East","41959","ON","Pauline Hanson's One Nation","HICKS","Emma","5","40627","IND","Independent","MILTHORPE","Michelle","3","24","53.330"
"NSW","118","Farrer","747","Albury East","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","41463","LP","Liberal Party of Australia, NSW Division","LEY","Sussan","1","9","42.860"
"NSW","118","Farrer","747","Albury East","41644","ASP","Shooters, Fishers and Farmers Party","SINCLAIR","Peter","6","40627","IND","Independent","MILTHORPE","Michelle","3","12","57.140"
