2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","127","Kingsford Smith","0","ABSENT","0","","","First Preferences","","0","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","744","36.330"
"NSW","127","Kingsford Smith","0","ABSENT","0","","","First Preferences","","0","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","1304","63.670"
"NSW","127","Kingsford Smith","0","ABSENT","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","172","66.150"
"NSW","127","Kingsford Smith","0","ABSENT","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","88","33.850"
"NSW","127","Kingsford Smith","0","ABSENT","41978","IND","Independent","PARKER","Elsa","4","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","85","45.950"
"NSW","127","Kingsford Smith","0","ABSENT","41978","IND","Independent","PARKER","Elsa","4","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","100","54.050"
"NSW","127","Kingsford Smith","0","ABSENT","41587","GRN","The Greens NSW","BROWN","Keiron","5","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","65","10.350"
"NSW","127","Kingsford Smith","0","ABSENT","41587","GRN","The Greens NSW","BROWN","Keiron","5","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","563","89.650"
"NSW","127","Kingsford Smith","0","POSTAL","0","","","First Preferences","","0","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","4762","61.780"
"NSW","127","Kingsford Smith","0","POSTAL","0","","","First Preferences","","0","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","2946","38.220"
"NSW","127","Kingsford Smith","0","POSTAL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","162","29.350"
"NSW","127","Kingsford Smith","0","POSTAL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","390","70.650"
"NSW","127","Kingsford Smith","0","POSTAL","41978","IND","Independent","PARKER","Elsa","4","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","133","36.640"
"NSW","127","Kingsford Smith","0","POSTAL","41978","IND","Independent","PARKER","Elsa","4","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","230","63.360"
"NSW","127","Kingsford Smith","0","POSTAL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","921","89.500"
"NSW","127","Kingsford Smith","0","POSTAL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","108","10.500"
"NSW","127","Kingsford Smith","0","PRE_POLL","0","","","First Preferences","","0","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","1658","63.890"
"NSW","127","Kingsford Smith","0","PRE_POLL","0","","","First Preferences","","0","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","937","36.110"
"NSW","127","Kingsford Smith","0","PRE_POLL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","171","60.420"
"NSW","127","Kingsford Smith","0","PRE_POLL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","112","39.580"
"NSW","127","Kingsford Smith","0","PRE_POLL","41978","IND","Independent","PARKER","Elsa","4","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","59","38.820"
"NSW","127","Kingsford Smith","0","PRE_POLL","41978","IND","Independent","PARKER","Elsa","4","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","93","61.180"
"NSW","127","Kingsford Smith","0","PRE_POLL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","56","9.200"
"NSW","127","Kingsford Smith","0","PRE_POLL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","553","90.800"
"NSW","127","Kingsford Smith","0","PROVISIONAL","0","","","First Preferences","","0","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","34","43.590"
"NSW","127","Kingsford Smith","0","PROVISIONAL","0","","","First Preferences","","0","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","44","56.410"
"NSW","127","Kingsford Smith","0","PROVISIONAL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","7","58.330"
"NSW","127","Kingsford Smith","0","PROVISIONAL","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","5","41.670"
"NSW","127","Kingsford Smith","0","PROVISIONAL","41978","IND","Independent","PARKER","Elsa","4","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","0","0.000"
"NSW","127","Kingsford Smith","0","PROVISIONAL","41978","IND","Independent","PARKER","Elsa","4","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","3","100.000"
"NSW","127","Kingsford Smith","0","PROVISIONAL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","1","5.880"
"NSW","127","Kingsford Smith","0","PROVISIONAL","41587","GRN","The Greens NSW","BROWN","Keiron","5","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","16","94.120"
"NSW","127","Kingsford Smith","51","Kyeemagh (Kingsford Smith)","0","","","First Preferences","","0","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","277","41.720"
"NSW","127","Kingsford Smith","51","Kyeemagh (Kingsford Smith)","0","","","First Preferences","","0","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","387","58.280"
"NSW","127","Kingsford Smith","51","Kyeemagh (Kingsford Smith)","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","76","72.380"
"NSW","127","Kingsford Smith","51","Kyeemagh (Kingsford Smith)","42027","ON","Pauline Hanson's One Nation","JELIC","Mark","1","41386","ALP","Australian Labor Party (N.S.W. Branch)","THISTLETHWAITE","Matt","2","29","27.620"
"NSW","127","Kingsford Smith","51","Kyeemagh (Kingsford Smith)","41978","IND","Independent","PARKER","Elsa","4","41477","LP","Liberal Party of Australia, NSW Division","COLE","Brad","3","14","45.160"
