2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","128","Lindsay","0","ABSENT","0","","","First Preferences","","0","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","867","47.250"
"NSW","128","Lindsay","0","ABSENT","0","","","First Preferences","","0","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","968","52.750"
"NSW","128","Lindsay","0","ABSENT","41952","FFPA","Family First Party Australia","EMMANUEL","Antony Victor","2","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","38","34.550"
"NSW","128","Lindsay","0","ABSENT","41952","FFPA","Family First Party Australia","EMMANUEL","Antony Victor","2","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","72","65.450"
"NSW","128","Lindsay","0","ABSENT","41650","ASP","Shooters, Fishers and Farmers Party","HALLEY","Carl","3","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","48","48.480"
"NSW","128","Lindsay","0","ABSENT","41650","ASP","Shooters, Fishers and Farmers Party","HALLEY","Carl","3","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","51","51.520"
"NSW","128","Lindsay","0","ABSENT","41971","IND","Independent","SALEAM","Jim","4","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","13","35.140"
"NSW","128","Lindsay","0","ABSENT","41971","IND","Independent","SALEAM","Jim","4","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","24","64.860"
"NSW","128","Lindsay","0","ABSENT","40863","AJP","Animal Justice Party","BLAZI","Vanessa","5","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","27","36.000"
"NSW","128","Lindsay","0","ABSENT","40863","AJP","Animal Justice Party","BLAZI","Vanessa","5","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","48","64.000"
"NSW","128","Lindsay","0","ABSENT","41961","ON","Pauline Hanson's One Nation","BUCKLEY","Christopher","6","41480","LP","Liberal Party of Australia, NSW Division","McINTOSH","Melissa","1","195","70.910"
"NSW","128","Lindsay","0","ABSENT","41961","ON","Pauline Hanson's One Nation","BUCKLEY","Christopher","6","41383","ALP","Australian Labor Party (N.S.W. Branch)","McLEAN","Hollie","9","80","29.090"
