2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","130","Lyne","0","ABSENT","0","","","First Preferences","","0","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","489","42.630"
"NSW","130","Lyne","0","ABSENT","0","","","First Preferences","","0","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","658","57.370"
"NSW","130","Lyne","0","ABSENT","41601","GRN","The Greens NSW","FERRIER","Tom","1","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","73","17.340"
"NSW","130","Lyne","0","ABSENT","41601","GRN","The Greens NSW","FERRIER","Tom","1","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","348","82.660"
"NSW","130","Lyne","0","ABSENT","41704","CYA","Trumpet of Patriots","CHARSLEY","Cathy","3","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","29","27.100"
"NSW","130","Lyne","0","ABSENT","41704","CYA","Trumpet of Patriots","CHARSLEY","Cathy","3","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","78","72.900"
"NSW","130","Lyne","0","ABSENT","41878","ON","Pauline Hanson's One Nation","HUGHES","Colin","4","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","272","80.240"
"NSW","130","Lyne","0","ABSENT","41878","ON","Pauline Hanson's One Nation","HUGHES","Colin","4","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","67","19.760"
"NSW","130","Lyne","0","ABSENT","41973","IND","Independent","MILLER","Jeremy","6","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","136","52.110"
"NSW","130","Lyne","0","ABSENT","41973","IND","Independent","MILLER","Jeremy","6","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","125","47.890"
"NSW","130","Lyne","0","ABSENT","41839","FFPA","Family First Party Australia","MASTERS","David","7","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","20","25.000"
"NSW","130","Lyne","0","ABSENT","41839","FFPA","Family First Party Australia","MASTERS","David","7","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","60","75.000"
"NSW","130","Lyne","0","ABSENT","41928","HMP","Legalise Cannabis Australia","MANLEY","Keys","8","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","163","53.270"
"NSW","130","Lyne","0","ABSENT","41928","HMP","Legalise Cannabis Australia","MANLEY","Keys","8","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","143","46.730"
"NSW","130","Lyne","0","ABSENT","40872","CEC","Australian Citizens Party","BURKE","Stephen John","9","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","9","36.000"
"NSW","130","Lyne","0","ABSENT","40872","CEC","Australian Citizens Party","BURKE","Stephen John","9","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","16","64.000"
"NSW","130","Lyne","0","ABSENT","41852","LTP","Libertarian Party","HORNSHAW","Mark Alexander","10","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","110","74.830"
"NSW","130","Lyne","0","ABSENT","41852","LTP","Libertarian Party","HORNSHAW","Mark Alexander","10","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","37","25.170"
"NSW","130","Lyne","0","POSTAL","0","","","First Preferences","","0","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","3723","64.430"
"NSW","130","Lyne","0","POSTAL","0","","","First Preferences","","0","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","2055","35.570"
"NSW","130","Lyne","0","POSTAL","41601","GRN","The Greens NSW","FERRIER","Tom","1","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","455","86.670"
"NSW","130","Lyne","0","POSTAL","41601","GRN","The Greens NSW","FERRIER","Tom","1","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","70","13.330"
"NSW","130","Lyne","0","POSTAL","41704","CYA","Trumpet of Patriots","CHARSLEY","Cathy","3","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","170","78.340"
"NSW","130","Lyne","0","POSTAL","41704","CYA","Trumpet of Patriots","CHARSLEY","Cathy","3","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","47","21.660"
"NSW","130","Lyne","0","POSTAL","41878","ON","Pauline Hanson's One Nation","HUGHES","Colin","4","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","764","84.140"
"NSW","130","Lyne","0","POSTAL","41878","ON","Pauline Hanson's One Nation","HUGHES","Colin","4","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","144","15.860"
"NSW","130","Lyne","0","POSTAL","41973","IND","Independent","MILLER","Jeremy","6","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","719","58.550"
"NSW","130","Lyne","0","POSTAL","41973","IND","Independent","MILLER","Jeremy","6","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","509","41.450"
"NSW","130","Lyne","0","POSTAL","41839","FFPA","Family First Party Australia","MASTERS","David","7","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","22","16.920"
"NSW","130","Lyne","0","POSTAL","41839","FFPA","Family First Party Australia","MASTERS","David","7","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","108","83.080"
"NSW","130","Lyne","0","POSTAL","41928","HMP","Legalise Cannabis Australia","MANLEY","Keys","8","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","168","54.900"
"NSW","130","Lyne","0","POSTAL","41928","HMP","Legalise Cannabis Australia","MANLEY","Keys","8","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","138","45.100"
"NSW","130","Lyne","0","POSTAL","40872","CEC","Australian Citizens Party","BURKE","Stephen John","9","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","12","26.670"
"NSW","130","Lyne","0","POSTAL","40872","CEC","Australian Citizens Party","BURKE","Stephen John","9","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","33","73.330"
"NSW","130","Lyne","0","POSTAL","41852","LTP","Libertarian Party","HORNSHAW","Mark Alexander","10","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","37","11.900"
"NSW","130","Lyne","0","POSTAL","41852","LTP","Libertarian Party","HORNSHAW","Mark Alexander","10","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","274","88.100"
"NSW","130","Lyne","0","PRE_POLL","0","","","First Preferences","","0","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","755","51.930"
"NSW","130","Lyne","0","PRE_POLL","0","","","First Preferences","","0","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","699","48.070"
"NSW","130","Lyne","0","PRE_POLL","41601","GRN","The Greens NSW","FERRIER","Tom","1","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","271","85.490"
"NSW","130","Lyne","0","PRE_POLL","41601","GRN","The Greens NSW","FERRIER","Tom","1","41951","NP","National Party of Australia - N.S.W.","PENFOLD","Alison","5","46","14.510"
"NSW","130","Lyne","0","PRE_POLL","41704","CYA","Trumpet of Patriots","CHARSLEY","Cathy","3","41408","ALP","Australian Labor Party (N.S.W. Branch)","WILSON","Digby","2","27","26.730"
