2025 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences by Polling Place [31496 13/06/2025 15:20:14      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercent
"NSW","132","Mackellar","0","ABSENT","0","","","First Preferences","","0","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","755","46.870"
"NSW","132","Mackellar","0","ABSENT","0","","","First Preferences","","0","37450","IND","Independent","SCAMPS","Sophie","8","856","53.130"
"NSW","132","Mackellar","0","ABSENT","41968","IND","Independent","COTTON","Lisa","1","37450","IND","Independent","SCAMPS","Sophie","8","65","54.620"
"NSW","132","Mackellar","0","ABSENT","41968","IND","Independent","COTTON","Lisa","1","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","54","45.380"
"NSW","132","Mackellar","0","ABSENT","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","76","64.960"
"NSW","132","Mackellar","0","ABSENT","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","37450","IND","Independent","SCAMPS","Sophie","8","41","35.040"
"NSW","132","Mackellar","0","ABSENT","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","37450","IND","Independent","SCAMPS","Sophie","8","330","81.080"
"NSW","132","Mackellar","0","ABSENT","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","77","18.920"
"NSW","132","Mackellar","0","ABSENT","41863","LTP","Libertarian Party","ADDISON","Justin","4","37450","IND","Independent","SCAMPS","Sophie","8","21","26.250"
"NSW","132","Mackellar","0","ABSENT","41863","LTP","Libertarian Party","ADDISON","Justin","4","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","59","73.750"
"NSW","132","Mackellar","0","ABSENT","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","37450","IND","Independent","SCAMPS","Sophie","8","33","47.140"
"NSW","132","Mackellar","0","ABSENT","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","37","52.860"
"NSW","132","Mackellar","0","ABSENT","40647","IND","Independent","SINGH","Mandeep","7","37450","IND","Independent","SCAMPS","Sophie","8","17","68.000"
"NSW","132","Mackellar","0","ABSENT","40647","IND","Independent","SINGH","Mandeep","7","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","8","32.000"
"NSW","132","Mackellar","0","ABSENT","41402","ALP","Australian Labor Party (N.S.W. Branch)","QUINN","Jeffrey","9","37450","IND","Independent","SCAMPS","Sophie","8","378","75.750"
"NSW","132","Mackellar","0","ABSENT","41402","ALP","Australian Labor Party (N.S.W. Branch)","QUINN","Jeffrey","9","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","121","24.250"
"NSW","132","Mackellar","0","POSTAL","0","","","First Preferences","","0","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","5030","57.660"
"NSW","132","Mackellar","0","POSTAL","0","","","First Preferences","","0","37450","IND","Independent","SCAMPS","Sophie","8","3693","42.340"
"NSW","132","Mackellar","0","POSTAL","41968","IND","Independent","COTTON","Lisa","1","37450","IND","Independent","SCAMPS","Sophie","8","113","55.120"
"NSW","132","Mackellar","0","POSTAL","41968","IND","Independent","COTTON","Lisa","1","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","92","44.880"
"NSW","132","Mackellar","0","POSTAL","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","37450","IND","Independent","SCAMPS","Sophie","8","95","30.650"
"NSW","132","Mackellar","0","POSTAL","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","215","69.350"
"NSW","132","Mackellar","0","POSTAL","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","37450","IND","Independent","SCAMPS","Sophie","8","463","91.140"
"NSW","132","Mackellar","0","POSTAL","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","45","8.860"
"NSW","132","Mackellar","0","POSTAL","41863","LTP","Libertarian Party","ADDISON","Justin","4","37450","IND","Independent","SCAMPS","Sophie","8","29","22.140"
"NSW","132","Mackellar","0","POSTAL","41863","LTP","Libertarian Party","ADDISON","Justin","4","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","102","77.860"
"NSW","132","Mackellar","0","POSTAL","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","37450","IND","Independent","SCAMPS","Sophie","8","62","37.130"
"NSW","132","Mackellar","0","POSTAL","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","105","62.870"
"NSW","132","Mackellar","0","POSTAL","40647","IND","Independent","SINGH","Mandeep","7","37450","IND","Independent","SCAMPS","Sophie","8","55","50.460"
"NSW","132","Mackellar","0","POSTAL","40647","IND","Independent","SINGH","Mandeep","7","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","54","49.540"
"NSW","132","Mackellar","0","POSTAL","41402","ALP","Australian Labor Party (N.S.W. Branch)","QUINN","Jeffrey","9","37450","IND","Independent","SCAMPS","Sophie","8","1118","75.390"
"NSW","132","Mackellar","0","POSTAL","41402","ALP","Australian Labor Party (N.S.W. Branch)","QUINN","Jeffrey","9","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","365","24.610"
"NSW","132","Mackellar","0","PRE_POLL","0","","","First Preferences","","0","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","765","44.500"
"NSW","132","Mackellar","0","PRE_POLL","0","","","First Preferences","","0","37450","IND","Independent","SCAMPS","Sophie","8","954","55.500"
"NSW","132","Mackellar","0","PRE_POLL","41968","IND","Independent","COTTON","Lisa","1","37450","IND","Independent","SCAMPS","Sophie","8","40","50.630"
"NSW","132","Mackellar","0","PRE_POLL","41968","IND","Independent","COTTON","Lisa","1","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","39","49.370"
"NSW","132","Mackellar","0","PRE_POLL","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","37450","IND","Independent","SCAMPS","Sophie","8","36","33.330"
"NSW","132","Mackellar","0","PRE_POLL","42046","ON","Pauline Hanson's One Nation","HAYMAN","Brad","2","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","72","66.670"
"NSW","132","Mackellar","0","PRE_POLL","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","37450","IND","Independent","SCAMPS","Sophie","8","233","83.510"
"NSW","132","Mackellar","0","PRE_POLL","41629","GRN","The Greens NSW","HRNJAK","Ethan","3","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","46","16.490"
"NSW","132","Mackellar","0","PRE_POLL","41863","LTP","Libertarian Party","ADDISON","Justin","4","37450","IND","Independent","SCAMPS","Sophie","8","12","28.570"
"NSW","132","Mackellar","0","PRE_POLL","41863","LTP","Libertarian Party","ADDISON","Justin","4","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","30","71.430"
"NSW","132","Mackellar","0","PRE_POLL","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","37450","IND","Independent","SCAMPS","Sophie","8","16","27.590"
"NSW","132","Mackellar","0","PRE_POLL","41702","CYA","Trumpet of Patriots","ROBERTSON","Amber","5","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","42","72.410"
"NSW","132","Mackellar","0","PRE_POLL","40647","IND","Independent","SINGH","Mandeep","7","37450","IND","Independent","SCAMPS","Sophie","8","12","60.000"
"NSW","132","Mackellar","0","PRE_POLL","40647","IND","Independent","SINGH","Mandeep","7","41830","LP","Liberal Party of Australia, NSW Division","BROWN","James","6","8","40.000"
"NSW","132","Mackellar","0","PRE_POLL","41402","ALP","Australian Labor Party (N.S.W. Branch)","QUINN","Jeffrey","9","37450","IND","Independent","SCAMPS","Sophie","8","330","79.710"
